N	3gram	Bakhtin_Pr_4	Sotsiolo
1	в том что	2	2
2	дело не в	1	2
3	в конце концов	1	2
4	по отношению к	5	2
5	но только в	1	1
6	историка литературы и	1	1
7	в сущности есть	1	1
8	в каждом своем	1	1
9	конечно не в	2	1
10	а между тем	1	1
11	не может не	1	1
12	как то что	1	1
13	сама по себе	2	1
14	их друг от	1	1
15	друг от друга	1	1
16	в то же	5	1
17	это вовсе не	2	1
18	выходит за пределы	1	1
19	дело конечно не	1	1
20	в связи с	1	1
21	ни на что	1	1
22	все эти вопросы	1	1
23	может развиваться в	1	1
24	то же время	5	1
25	ровно ничего не	1	1
26	в него и	1	1
27	в любой области	1	1
28	и наконец в	1	1
29	не должна быть	1	1
30	и в то	1	1
31	с одной стороны	1	1
32	во всяком случае	1	1
33	мы переходим к	1	1
