N	3gram	Losev_Prob_3	UchenyiS
1	не может быть	5	4
2	с другой стороны	5	3
3	бы то ни	4	3
4	в то же	4	3
5	то ни было	3	3
6	и в этой	1	2
7	в самом деле	1	2
8	но даже и	4	2
9	то же самое	7	2
10	до сих пор	2	2
11	в художественном произведении	1	2
12	в том что	9	2
13	по крайней мере	5	2
14	и то что	7	2
15	и в частности	2	2
16	тех или иных	4	2
17	в конце концов	3	2
18	художественное произведение как	1	1
19	или по крайней	4	1
20	нам представляется что	1	1
21	так или иначе	1	1
22	все же не	1	1
23	это было бы	1	1
24	более или менее	1	1
25	равно как и	1	1
26	что для него	1	1
27	в этом случае	5	1
28	и не только	1	1
29	на первый план	2	1
30	никогда и не	1	1
31	сам по себе	6	1
32	в той же	1	1
33	не в буквальном	1	1
34	само по себе	3	1
35	в первую очередь	3	1
36	не было бы	3	1
37	несомненно и то	1	1
38	литературы и искусства	2	1
39	с тем что	1	1
40	но это не	1	1
41	этом случае он	1	1
42	и все они	1	1
43	понятие формы и	1	1
44	можно сказать что	2	1
45	у нас в	2	1
46	на то что	1	1
47	при таком понимании	1	1
48	прежде всего что	1	1
49	что мы можем	2	1
50	в данном случае	7	1
51	может быть в	1	1
52	не только в	2	1
53	тем что он	1	1
54	с одной стороны	1	1
55	но если нет	1	1
56	на первый взгляд	2	1
