N	3gram	Losev_Vlad_2	Sovremen
1	с точки зрения	3	5
2	не может быть	1	4
3	не может не	1	3
4	что же это	1	3
5	с самого начала	1	3
6	тем не менее	6	2
7	во всяком случае	6	2
8	в отличие от	3	2
9	в свою очередь	2	2
10	же это за	1	2
11	может быть и	1	2
12	в настоящее время	2	2
13	это не важно	1	1
14	в том как	1	1
15	что иное как	1	1
16	по крайней мере	4	1
17	а в конце	1	1
18	в которой он	1	1
19	не в том	3	1
20	в связи с	8	1
21	он уже не	2	1
22	поэтому в дальнейшем	1	1
23	оно может быть	1	1
24	или как он	1	1
25	дело в том	3	1
26	равно как и	1	1
27	в этом смысле	1	1
28	в свое время	1	1
29	в этом случае	1	1
30	не было бы	1	1
31	и все же	2	1
32	в дальнейшем мы	2	1
33	и ни в	1	1
34	до сих пор	1	1
35	вместе с ним	1	1
36	то же время	3	1
37	они не могут	1	1
38	раз и навсегда	1	1
39	и в то	1	1
40	но тем не	1	1
41	бы то ни	1	1
42	а может быть	1	1
43	это значит что	1	1
44	можно было бы	2	1
45	в самом деле	1	1
46	еще в таком	1	1
47	и прежде всего	1	1
48	но все же	1	1
49	этот раз из	1	1
50	о жизни и	1	1
51	все же это	1	1
52	в то же	3	1
53	не что иное	1	1
54	в себе в	1	1
55	в том что	9	1
56	в данном случае	2	1
57	на этот вопрос	1	1
58	может быть в	1	1
59	на этот раз	3	1
