N	2gram	Voloshinov_1	EvropaiC
1	таким образом	7	32
2	в том	2	31
3	и в	38	24
4	том что	3	20
5	все эти	2	19
6	не может	12	18
7	то что	8	17
8	может быть	13	15
9	все же	7	15
10	точки зрения	10	13
11	самом деле	4	12
12	в своем	1	12
13	до сих	1	12
14	в этом	10	12
15	сих пор	2	12
16	с этим	2	11
17	между тем	3	11
18	все это	4	11
19	во всех	6	10
20	культуры и	1	10
21	так и	6	10
22	как бы	28	10
23	все что	1	10
24	того же	1	9
25	на то	1	9
26	при этом	9	9
27	как и	10	9
28	в результате	1	9
29	что в	1	9
30	в самом	4	8
31	с точки	5	8
32	мы говорили	2	8
33	не в	6	8
34	ясно что	2	8
35	если бы	4	8
36	так же	4	8
37	и все	4	8
38	на самом	3	7
39	из этих	1	7
40	в силу	1	7
41	или менее	1	7
42	не менее	1	7
43	того чтобы	7	7
44	по своей	2	7
45	к тому	4	7
46	для этого	1	7
47	о том	4	7
48	и что	1	7
49	что он	2	7
50	для того	9	7
51	но и	13	7
52	и не	14	7
53	более или	1	7
54	о котором	1	7
55	еще не	3	6
56	и на	6	6
57	в общем	1	6
58	в этой	6	6
59	в мире	2	6
60	в сознании	3	6
61	несмотря на	2	6
62	и при	2	6
63	с ним	2	6
64	что и	3	6
65	народов и	1	6
66	того что	4	6
67	говорили выше	1	6
68	только в	6	6
69	все они	1	6
70	так что	1	6
71	так как	7	6
72	мы можем	7	6
73	с другой	1	6
74	вместе с	5	6
75	у них	2	6
76	между двумя	2	5
77	из всех	1	5
78	столь же	1	5
79	как к	1	5
80	и к	4	5
81	но в	5	5
82	в которой	7	5
83	что это	4	5
84	в целом	4	5
85	в себе	9	5
86	тому же	2	5
87	не только	27	5
88	и если	1	5
89	но все	4	5
90	не будет	3	5
91	и с	5	5
92	на все	1	5
93	лишь в	4	5
94	его в	4	5
95	и без	4	5
96	в то	9	5
97	как будто	1	5
98	что при	1	5
99	по сравнению	1	5
100	в его	6	5
101	потому что	5	5
102	и их	5	5
103	у него	1	5
104	именно в	1	5
105	ничем не	1	5
106	другой стороны	1	5
107	по своему	3	5
108	сравнению с	1	5
109	и для	3	5
110	и от	7	5
111	лишь только	1	5
112	к этому	2	5
113	одним из	1	4
114	и то	3	4
115	то же	14	4
116	мы уже	10	4
117	та же	3	4
118	между собой	2	4
119	что его	1	4
120	отношение к	2	4
121	хотя и	3	4
122	ни один	2	4
123	чем больше	1	4
124	своем развитии	1	4
125	он не	2	4
126	всех этих	1	4
127	факт что	1	4
128	из них	3	4
129	должно быть	2	4
130	в их	1	4
131	оказывается что	1	4
132	тем не	1	4
133	том же	1	4
134	из которых	3	4
135	что эта	1	4
136	и проч	1	4
137	связи с	3	4
138	в дальнейшем	2	4
139	с течением	1	4
140	никогда не	7	4
141	будет всегда	1	4
142	лишь при	1	4
143	и т.д	21	4
144	на вопрос	1	4
145	если мы	4	4
146	не есть	1	4
147	в виде	1	4
148	не так	3	4
149	в конце	6	4
150	в области	5	4
151	а с	5	4
152	течением времени	1	4
153	социальной жизни	2	4
154	которых мы	1	4
155	конце концов	3	4
156	тот факт	1	4
157	не могут	1	4
158	в течение	1	4
159	в состоянии	1	4
160	этом случае	3	4
161	мы должны	10	4
162	хотя бы	18	4
163	состоит из	1	4
164	совершенно не	3	4
165	в таком	1	4
166	же как	1	3
167	слагается из	1	3
168	с более	1	3
169	вопрос о	2	3
170	но даже	2	3
171	мы будем	6	3
172	очевидно что	2	3
173	в истории	1	3
174	целый ряд	3	3
175	и наконец	5	3
176	в нашем	5	3
177	в тех	3	3
178	к которой	1	3
179	в нем	4	3
180	это не	3	3
181	в жизни	2	3
182	с тем	8	3
183	и того	1	3
184	одного и	1	3
185	в этих	2	3
186	таким же	1	3
187	для нас	3	3
188	в разных	3	3
189	за ними	2	3
190	от того	3	3
191	у нас	4	3
192	должны быть	1	3
193	что оно	3	3
194	всегда будет	1	3
195	и это	7	3
196	ему приходится	1	3
197	и вообще	2	3
198	может не	1	3
199	тот же	2	3
200	даже если	1	3
201	в эти	1	3
202	конечно не	3	3
203	в начале	3	3
204	при помощи	1	3
205	от тех	1	3
206	каждый из	2	3
207	является ли	1	3
208	прежде всего	21	3
209	в связи	2	3
210	и потому	2	3
211	сейчас же	1	3
212	случаях когда	2	3
213	не то	1	3
214	бы в	5	3
215	тем более	1	3
216	а в	5	3
217	возможно ли	1	3
218	что мы	11	3
219	указывают на	1	3
220	и развитие	1	2
221	постепенно в	1	2
222	в котором	3	2
223	культура не	1	2
224	и до	1	2
225	что эти	2	2
226	со своей	1	2
227	но постепенно	1	2
228	входящих в	1	2
229	также и	2	2
230	общества и	3	2
231	теперь мы	1	2
232	в сущности	1	2
233	так чтобы	1	2
234	в ней	8	2
235	свою очередь	4	2
236	тем как	1	2
237	к такому	1	2
238	но как	2	2
239	в сторону	1	2
240	только тогда	2	2
241	и будет	1	2
242	есть в	1	2
243	и где	1	2
244	то в	1	2
245	и те	1	2
246	если он	3	2
247	вследствие этого	2	2
248	этот процесс	2	2
249	широком смысле	1	2
250	о которой	1	2
251	при виде	1	2
252	он должен	3	2
253	которые носят	2	2
254	одной и	2	2
255	а затем	1	2
256	конечно в	1	2
257	то есть	4	2
258	нашем случае	1	2
259	между отдельными	1	2
260	нет в	1	2
261	со своими	1	2
262	и уже	3	2
263	мы видели	5	2
264	на первый	1	2
265	но если	1	2
266	представить себе	3	2
267	на месте	1	2
268	на каждом	1	2
269	в которых	2	2
270	ответить на	2	2
271	точку зрения	3	2
272	том и	1	2
273	тому что	5	2
274	она не	1	2
275	тем самым	7	2
276	этими двумя	1	2
277	тогда когда	1	2
278	одна из	1	2
279	на него	4	2
280	в процессе	6	2
281	в основе	2	2
282	говорить о	1	2
283	мы все	1	2
284	только не	1	2
285	в самой	1	2
286	и весь	1	2
287	на этом	1	2
288	ему и	1	2
289	заключает в	4	2
290	доказать что	1	2
291	образом здесь	1	2
292	к таким	1	2
293	это конечно	1	2
294	понять что	1	2
295	если же	1	2
296	о них	1	2
297	должен быть	2	2
298	как мы	9	2
299	как не	2	2
300	в себя	1	2
301	и сам	2	2
302	что у	3	2
303	те же	4	2
304	из одного	1	2
305	все его	1	2
306	в виду	3	2
307	а к	2	2
308	и начало	1	2
309	именно потому	1	2
310	в другом	1	2
311	и поэтому	3	2
312	другими словами	7	2
313	же время	7	2
314	к нему	2	2
315	которой мы	4	2
316	за существование	1	2
317	полного тождества	1	2
318	них в	1	2
319	было бы	7	2
320	этот вопрос	2	2
321	в вопросе	1	2
322	и так	6	2
323	между этими	1	2
324	жизни и	3	2
325	борьбы с	1	2
326	отдельные элементы	1	2
327	не будут	1	2
328	для него	3	2
329	вовсе не	2	2
330	к той	1	2
331	не было	2	2
332	с общим	1	2
333	которые по	1	2
334	только один	1	2
335	наконец не	1	2
336	что для	1	2
337	вопросе о	1	2
338	отнюдь не	10	2
339	во внимание	1	2
340	ближе к	1	2
341	в одно	1	2
342	будет иметь	2	2
343	в частности	3	2
344	все то	2	2
345	независимо от	5	2
346	но не	2	2
347	что же	8	2
348	этого слова	3	2
349	только то	1	2
350	с этой	1	2
351	и тому	3	2
352	в гораздо	1	2
353	при условии	2	2
354	но для	3	2
355	говорить что	1	2
356	только мы	1	2
357	с ними	1	2
358	между ними	3	2
359	не знает	3	2
360	возможно лишь	1	2
361	следует искать	2	2
362	в свою	6	2
363	условия которые	1	2
364	однако мы	1	2
365	гораздо более	2	2
366	я и	2	1
367	смысле слова	1	1
368	говоря о	1	1
369	например в	1	1
370	чувствовать себя	1	1
371	и понимает	1	1
372	он может	1	1
373	народов у	1	1
374	показаться что	2	1
375	это и	1	1
376	который можно	1	1
377	которую они	1	1
378	ведь и	2	1
379	в зависимости	5	1
380	долгое время	3	1
381	той же	5	1
382	отношения к	3	1
383	есть не	2	1
384	из всего	2	1
385	мы не	9	1
386	которую мы	1	1
387	наших рассуждений	1	1
388	этом не	1	1
389	только благодаря	2	1
390	благодаря тому	1	1
391	правила и	2	1
392	на себя	1	1
393	я не	1	1
394	группы и	1	1
395	социальной группы	3	1
396	хотя конечно	1	1
397	зависимости от	5	1
398	к своему	4	1
399	эти мысли	1	1
400	всем этим	1	1
401	иное как	2	1
402	с его	7	1
403	бы не	2	1
