N	3gram	Medvedev_F_2	FransuaR
1	то же время	5	8
2	в то же	5	8
3	в большинстве случаев	3	5
4	в конце концов	2	4
5	и в то	3	4
6	более или менее	1	3
7	но и в	3	3
8	для того чтобы	3	3
9	это и есть	1	3
10	с другой стороны	3	3
11	с самого начала	2	3
12	таким образом в	1	3
13	один и тот	1	2
14	с точки зрения	7	2
15	и в других	1	2
16	в узком смысле	1	2
17	с одной стороны	1	2
18	и тот же	1	2
19	как мы видели	4	2
20	и в конце	1	1
21	но как раз	1	1
22	но вовсе не	1	1
23	что каждый из	1	1
24	и до сих	1	1
25	и др но	1	1
26	по преимуществу на	1	1
27	становится особенно ясным	1	1
28	находится в противоречии	1	1
29	в одной из	1	1
30	на первый план	2	1
31	до сих пор	1	1
32	в различных формах	1	1
33	и не может	3	1
34	том случае если	1	1
35	до известной степени	3	1
36	в той же	1	1
37	в чем не	1	1
38	и в дальнейшем	2	1
39	в этом отношении	7	1
40	в том случае	2	1
41	того что они	1	1
42	сочетаются здесь с	1	1
43	здесь все время	1	1
44	в данном случае	1	1
45	были в нем	1	1
46	это время и	2	1
47	но в то	1	1
48	тем что он	1	1
49	можем судить о	1	1
50	смысле этого слова	1	1
51	ни в чем	2	1
52	может быть и	3	1
53	в отличие от	2	1
54	все же не	1	1
55	в связи с	10	1
56	в виду что	1	1
57	как мы увидим	1	1
58	так и в	3	1
59	как мы знаем	2	1
60	не может быть	10	1
61	элементы речи и	1	1
62	раз и навсегда	1	1
63	и без того	1	1
64	в свою очередь	1	1
65	тем путем что	2	1
66	но даже и	1	1
67	на самом деле	3	1
68	в том что	2	1
69	что и в	1	1
70	в ней и	1	1
