N	3gram	Propp_Isto_7	Otkroven
1	от него и	1	4
2	а не в	1	2
3	что у него	4	2
4	не может быть	3	2
5	но и в	2	2
6	в другом месте	1	1
7	ни с того	1	1
8	хотя и не	1	1
9	с того ни	1	1
10	ни с сего	1	1
11	в самом деле	1	1
12	том-то и дело	1	1
13	он не только	1	1
14	о том как	1	1
15	никто не может	1	1
16	и когда он	1	1
17	и религиозное значение	1	1
18	в иных случаях	1	1
19	потому что у	2	1
20	после того как	2	1
21	тем что у	1	1
22	о том что	5	1
23	то что в	3	1
24	в том что	4	1
25	а иногда и	1	1
26	и дело что	1	1
27	и не в	1	1
28	в том-то и	2	1
29	в самом начале	1	1
30	как и в	2	1
31	того ни с	1	1
