N	2gram	Medvedev_S_1	Narrotol
1	не только	3	26
2	но и	2	15
3	и не	1	14
4	в том	5	14
5	в этом	5	13
6	и в	3	13
7	том что	2	13
8	в частности	2	11
9	только в	2	11
10	может быть	2	10
11	в данном	1	10
12	так и	1	9
13	а в	1	9
14	не может	1	8
15	не в	3	8
16	то что	2	8
17	иначе говоря	1	7
18	все же	1	6
19	прежде всего	1	6
20	никогда не	1	6
21	ничего не	1	6
22	в его	3	6
23	у него	1	6
24	как бы	2	6
25	о том	1	5
26	место в	1	5
27	отношению к	2	5
28	таким образом	2	5
29	по отношению	2	5
30	в то	1	5
31	далеко не	2	5
32	одной стороны	1	5
33	в котором	1	5
34	с одной	1	5
35	с другой	1	5
36	что он	1	5
37	как и	1	4
38	что это	1	4
39	с ним	1	4
40	в конце	2	4
41	в своей	1	4
42	то же	2	4
43	отнюдь не	1	4
44	в силу	1	4
45	в этой	1	4
46	в мире	1	4
47	что в	2	4
48	перед нами	1	4
49	все эти	1	3
50	же время	1	3
51	или даже	2	3
52	но не	1	3
53	между собой	1	3
54	между тем	1	3
55	это не	1	3
56	и его	1	3
57	в целом	1	3
58	конечном счете	1	3
59	один из	1	3
60	представить себе	1	3
61	в конечном	1	3
62	тому что	1	3
63	никак не	1	3
64	и по	1	3
65	бы в	1	2
66	для нас	3	2
67	еще не	2	2
68	в виде	1	2
69	эти два	1	2
70	должна быть	2	2
71	зависит от	1	2
72	вовсе не	1	2
73	к которому	2	2
74	хотя бы	1	2
75	мы не	1	2
76	те же	1	2
77	в строгом	1	2
78	вступает в	1	2
79	все то	1	2
80	может служить	1	2
81	более чем	3	2
82	они не	1	2
83	в чем	1	2
84	со своими	1	2
85	том как	1	2
86	а с	1	2
87	именно в	1	2
88	в процессе	1	2
89	и что	2	2
90	в результате	2	2
91	стало быть	1	2
92	тем более	2	2
93	столь же	1	2
94	в него	1	2
95	в области	1	2
96	что она	1	2
97	и более	1	2
98	было бы	2	2
99	может не	1	1
100	по природе	2	1
101	но она	1	1
102	в связи	1	1
103	на первый	1	1
104	или не	1	1
105	именно на	1	1
106	тех кто	1	1
107	кто не	1	1
108	вопрос автор	1	1
109	автор с	1	1
110	связи с	1	1
111	их между	2	1
112	него и	1	1
113	нужно было	2	1
114	наконец в	1	1
115	с помощью	1	1
116	не желая	1	1
117	ли не	1	1
118	на что	1	1
119	но стоит	1	1
120	и наконец	1	1
121	время в	1	1
122	а тем	1	1
123	система не	1	1
124	между ними	1	1
125	за пределы	2	1
126	легко но	1	1
127	более не	1	1
128	это и	2	1
129	же самое	1	1
130	это по	1	1
131	новое и	1	1
132	субъект может	1	1
133	мы должны	1	1
134	в противном	1	1
135	и о	1	1
136	как будто	2	1
137	а между	1	1
138	и потому	1	1
139	всяком случае	1	1
140	результате его	1	1
141	что все	1	1
142	очевидно что	2	1
143	как только	2	1
144	даже не	1	1
145	словесного творчества	1	1
146	в этих	1	1
147	как то	1	1
148	дело не	2	1
149	не от	1	1
150	он говорит	1	1
151	понимаем всю	1	1
152	и стало	1	1
153	противном случае	1	1
154	во всяком	1	1
155	быть для	1	1
156	слова но	1	1
157	на этот	1	1
158	все это	7	1
159	тем же	1	1
160	строгом значении	1	1
161	и как	1	1
162	тем что	1	1
163	благодаря этому	1	1
164	как же	3	1
165	упрощенно говоря	1	1
