N	2gram	Voloshinov_1	IolandNe
1	и с	2	3
2	должен быть	1	2
3	и не	26	2
4	в этом	16	2
5	он не	3	2
6	что в	4	2
7	ничего не	6	2
8	бы что	1	2
9	все это	3	1
10	нисколько не	1	1
11	и др	2	1
12	и тот	4	1
13	и в	19	1
14	а по	1	1
15	то она	1	1
16	бы в	2	1
17	как только	1	1
18	здесь отметим	1	1
19	того же	6	1
20	не остается	2	1
21	с другой	5	1
22	и та	2	1
23	а в	4	1
24	художественного творчества	1	1
25	того что	3	1
26	не дает	3	1
27	и без	1	1
28	это был	1	1
29	другой стороны	6	1
30	и чрезвычайно	1	1
31	в материале	3	1
32	нее и	1	1
33	для него	9	1
34	в основе	2	1
35	что для	1	1
36	в значительной	1	1
37	говорить о	1	1
38	отношению к	2	1
39	а если	1	1
40	так и	11	1
41	отметим только	1	1
42	он с	1	1
43	от этого	2	1
44	того чтобы	5	1
45	никогда не	2	1
46	следующим образом	1	1
47	та и	1	1
48	жизни и	2	1
49	и очень	1	1
50	для других	2	1
51	тем что	2	1
52	в целом	1	1
53	по отношению	3	1
54	все эти	7	1
55	по существу	1	1
56	ибо и	1	1
57	от нее	2	1
58	со всеми	1	1
59	если бы	2	1
60	для того	4	1
61	без этого	1	1
