N	3gram	Tiupa_Disk_1	Istorich
1	с другой стороны	3	8
2	во всех этих	1	6
3	не только в	2	5
4	о том что	5	5
5	за тридевять земель	1	5
6	с одной стороны	9	4
7	в тех случаях	1	4
8	тем не менее	1	4
9	в том что	13	4
10	отца к сыну	1	3
11	не может быть	3	3
12	в данном случае	2	3
13	от отца к	1	3
14	тех случаях когда	1	3
15	дело не в	1	3
16	в одной из	2	2
17	до сих пор	1	2
18	к себе и	1	2
19	в том чтобы	2	2
20	так и в	1	2
21	а в том	2	2
22	от тестя к	1	2
23	но все же	1	2
24	тестя к зятю	1	2
25	как и в	1	2
26	о том как	1	1
27	на том что	1	1
28	только потому что	1	1
29	с точки зрения	1	1
30	состоит в том	2	1
31	а не в	2	1
32	по отношению к	9	1
33	и может быть	1	1
34	и в особенности	2	1
35	в этом случае	1	1
36	то же самое	2	1
37	он не может	1	1
38	но далеко не	1	1
39	и должны быть	1	1
40	только в том	2	1
41	в чистом виде	1	1
42	в какой ситуации	1	1
43	что он не	1	1
44	имеет отношение к	1	1
45	в большинстве случаев	1	1
46	и он мог	1	1
47	а иногда и	1	1
48	и что это	1	1
49	говорит о том	1	1
50	вместе с тем	1	1
51	тогда как в	5	1
52	на передний план	1	1
53	что во всех	1	1
54	не согласиться с	1	1
55	имеем дело с	1	1
56	в которой он	1	1
57	в связи с	1	1
58	власти от тестя	1	1
59	и потому что	1	1
60	на определенной стадии	1	1
61	в сказке но	1	1
62	то чего не	1	1
63	а не от	1	1
64	ситуации в которой	1	1
65	до наших дней	1	1
66	сказка никогда не	1	1
67	более или менее	2	1
68	не в качестве	1	1
69	в этом же	1	1
70	героя а его	1	1
71	той ситуации в	1	1
72	далеко еще не	3	1
73	и тем более	1	1
74	ту или иную	1	1
75	как в сказке	1	1
76	как в мифе	1	1
77	тем более не	1	1
78	как мы видели	1	1
