N	3gram	Bakhtin_Pr_5	Russkaja
1	друг с другом	4	14
2	то же время	10	10
3	в то же	10	10
4	с точки зрения	2	9
5	в том что	2	7
6	на самом деле	9	6
7	во всяком случае	4	6
8	для того чтобы	1	6
9	а между тем	3	5
10	до сих пор	1	5
11	бы то ни	3	4
12	к тому чтобы	2	4
13	не может быть	3	4
14	в этом случае	1	3
15	вместе с тем	1	3
16	можно было бы	2	3
17	и не может	2	3
18	и то что	1	3
19	при том условии	1	3
20	в данном случае	1	3
21	в конце концов	3	3
22	той или иной	4	3
23	в том и	1	2
24	что он не	1	2
25	которой он сам	1	2
26	с самим собой	7	2
27	самим собой и	2	2
28	но она не	1	2
29	в этом направлении	1	2
30	том и в	1	2
31	и в том	1	2
32	и во всяком	1	2
33	это потому что	1	2
34	из которых каждый	1	2
35	и вместе с	1	2
36	о том что	1	2
37	друг от друга	1	2
38	в большинстве случаев	2	2
39	к тому что	1	2
40	сама по себе	1	2
41	и в другом	1	2
42	и того же	1	1
43	что же это	1	1
44	ни того ни	1	1
45	или хотя бы	1	1
46	то есть не	1	1
47	прежде всего в	1	1
48	дело в том	1	1
49	в свою очередь	1	1
50	так же и	1	1
51	как бы не	1	1
52	по отношению к	6	1
53	в самом деле	1	1
54	но как бы	1	1
55	но даже и	1	1
56	то же самое	1	1
57	в том же	1	1
58	он не может	3	1
59	что он может	1	1
60	и в других	1	1
61	в этом отношении	1	1
62	но для этого	1	1
63	за то что	1	1
64	заключает в себе	1	1
65	того ни другого	1	1
66	это как не	1	1
67	что все это	2	1
68	самим собой не	1	1
69	не может но	1	1
70	по крайней мере	1	1
71	в значительной степени	1	1
72	сводится к тому	2	1
73	то что оно	1	1
74	но в то	4	1
75	тем что он	1	1
76	то ни было	3	1
77	смысле этого слова	2	1
78	согласиться с ним	1	1
79	и в этом	2	1
80	и как бы	1	1
81	всяком случае не	1	1
82	не только для	1	1
83	к одному из	1	1
84	это конечно не	1	1
85	друг к другу	3	1
86	и без них	1	1
87	в его целом	2	1
88	потому что они	1	1
89	что он есть	1	1
90	вообще оставаясь в	1	1
91	так чтобы в	1	1
92	но и для	1	1
93	с самого начала	8	1
94	как бы ни	1	1
95	вопрос о том	1	1
96	любви и примирения	1	1
97	для него прежде	1	1
98	но все же	2	1
99	него прежде всего	2	1
100	одного и того	1	1
101	должно быть и	1	1
102	о себе самом	5	1
103	но на самом	4	1
104	и во всем	1	1
105	тем не менее	1	1
106	по сравнению со	1	1
107	и прежде всего	4	1
108	к тому же	3	1
109	именно с точки	1	1
