N	4gram	Vinokur_St_1	EvropaiC
1	до сих пор не	1	4
2	заключается в том что	2	3
3	в то же время	4	2
4	дело в том что	4	1
5	уже о том что	1	1
6	только в том случае	1	1
7	в том числе и	2	1
8	в целом ряде случаев	1	1
9	а на самом деле	1	1
10	в том и другом	1	1
11	мысль о том что	1	1
12	в то время как	1	1
13	но с другой стороны	2	1
14	в этой области не	1	1
15	именно в том что	1	1
16	и в голову не	1	1
17	в том что он	1	1
18	до сих пор еще	1	1
19	не может не быть	1	1
20	не трудно видеть что	1	1
21	и в том и	1	1
22	только с точки зрения	1	1
23	также и то что	1	1
24	не говоря уже о	1	1
25	встать на точку зрения	1	1
26	указание на то что	1	1
27	тем более что он	1	1
