N	3gram	Medvedev_U_1	Myshleni
1	в том что	2	17
2	с одной стороны	1	5
3	друг с другом	1	5
4	в этом отношении	2	3
5	с другой стороны	3	3
6	с тем что	1	3
7	на то что	1	3
8	в этом смысле	2	2
9	на первый план	1	2
10	и то что	2	2
11	не может быть	4	2
12	само по себе	1	2
13	том что она	1	1
14	и не случайно	1	1
15	обе эти тенденции	1	1
16	содержания и формы	1	1
17	знак равенства между	1	1
18	более или менее	1	1
19	так или иначе	1	1
20	то же самое	2	1
21	в этом случае	1	1
22	о котором говорил	1	1
23	идет не о	1	1
24	до сих пор	2	1
25	хотя бы и	2	1
26	сам по себе	1	1
27	является одним из	1	1
28	бы то ни	3	1
29	в этой области	3	1
30	в данном случае	1	1
31	они относятся к	1	1
32	и т.д в	1	1
33	не только в	1	1
34	то ни было	3	1
35	все же не	1	1
36	не могут быть	2	1
37	которые могли бы	1	1
38	но нам представляется	1	1
39	и формы в	1	1
40	если бы это	1	1
41	в конце концов	2	1
