N	2gram	Tiupa_Narr_1	SlovoVZh
1	делает его	1	2
2	к его	1	2
3	а не	12	2
4	высказывания как	1	1
5	у нас	1	1
6	оно не	2	1
7	его и	1	1
8	в процессе	1	1
9	о чем	2	1
10	не довлеет	1	1
11	может быть	25	1
12	отношению к	6	1
13	на самом	1	1
14	в том	18	1
15	довлеет себе	1	1
16	точек зрения	2	1
17	по себе	5	1
18	и по	1	1
19	и его	5	1
20	не может	10	1
21	и того	1	1
22	и делает	1	1
23	и более	1	1
24	к предмету	1	1
25	как к	2	1
26	таким образом	1	1
27	но это	1	1
28	быть и	1	1
29	том же	1	1
30	так и	9	1
31	и для	2	1
32	это же	1	1
33	сами по	2	1
34	по отношению	7	1
35	и к	1	1
36	и сейчас	2	1
37	точки зрения	10	1
