N	2gram	Kanaev_Sov_1	FransuaR
1	и в	7	49
2	прежде всего	5	19
3	в его	2	18
4	не только	4	17
5	и его	1	17
6	в этом	7	15
7	и не	6	15
8	только в	1	13
9	как и	6	11
10	и т.п	1	11
11	как бы	4	11
12	в этой	3	10
13	вовсе не	1	10
14	в нем	3	9
15	все это	3	9
16	то же	3	7
17	все же	3	7
18	все эти	5	7
19	таким образом	11	7
20	как мы	2	7
21	один из	1	7
22	не может	17	7
23	жизни и	4	7
24	мы уже	1	6
25	именно в	1	6
26	во всех	1	6
27	времени и	2	6
28	рядом с	1	6
29	точки зрения	12	6
30	xviii века	1	6
31	в то	1	6
32	же время	1	6
33	здесь в	1	6
34	так как	4	6
35	сказать что	1	6
36	с точки	5	5
37	с его	1	5
38	из этих	2	5
39	но не	1	5
40	в своем	1	5
41	при этом	3	5
42	в эту	1	5
43	никогда не	1	5
44	роль в	2	5
45	тот же	2	5
46	уже в	3	5
47	в начале	1	5
48	может быть	12	5
49	и потому	3	5
50	и до	1	4
51	и к	3	4
52	но в	3	4
53	в себе	3	4
54	этот процесс	1	4
55	но все	2	4
56	и более	1	4
57	с ним	1	4
58	одна из	3	4
59	в области	3	4
60	с другой	1	4
61	и во	2	4
62	и чисто	1	4
63	а в	4	4
64	до сих	1	4
65	не было	1	4
66	там где	1	4
67	благодаря этому	1	4
68	сих пор	1	4
69	том что	1	4
70	в духе	1	4
71	в свое	1	4
72	в своих	1	4
73	значение в	2	4
74	человека и	1	3
75	в самом	2	3
76	своего развития	1	3
77	точка зрения	1	3
78	свое время	1	3
79	можно было	1	3
80	а затем	1	3
81	было бы	3	3
82	из них	4	3
83	ни в	1	3
84	несмотря на	1	3
85	мы видели	4	3
86	в одном	3	3
87	их в	4	3
88	но они	1	3
89	и это	1	3
90	с ее	1	3
91	так в	1	3
92	и вообще	1	3
93	о том	1	3
94	к нему	1	3
95	же в	1	3
96	с одной	2	3
97	не дает	2	3
98	и особенно	1	3
99	нужно сказать	1	3
100	одной стороны	1	3
101	в течение	1	3
102	например у	1	3
103	и все	3	3
104	в том	4	3
105	жизни в	1	3
106	как известно	2	2
107	на самом	1	2
108	по преимуществу	1	2
109	в ней	1	2
110	еще не	3	2
111	это и	1	2
112	дает нам	2	2
113	метод в	1	2
114	та же	1	2
115	в нашем	2	2
116	вследствие этого	1	2
117	на его	2	2
118	должны еще	1	2
119	и еще	1	2
120	в мире	1	2
121	объяснить что	1	2
122	на этой	3	2
123	должен был	1	2
124	наших дней	1	2
125	уже к	1	2
126	в условиях	5	2
127	точку зрения	4	2
128	мы должны	4	2
129	что в	2	2
130	ничего не	6	2
131	связи с	1	2
132	могут быть	2	2
133	в дальнейшем	4	2
134	еще в	1	2
135	и т.д	3	2
136	в другом	1	2
137	одного из	1	2
138	в ту	1	2
139	и следовательно	1	2
140	сомнению что	1	2
141	одной из	1	2
142	целого и	1	2
143	века с	1	2
144	всяком случае	2	2
145	со всеми	2	2
146	в новое	1	2
147	себе в	1	2
148	в конце	3	2
149	мы можем	6	2
