N	3gram	Tiupa_Narr_1	VerxiiNi
1	с одной стороны	1	7
2	с точки зрения	1	6
3	во всяком случае	2	6
4	более или менее	1	5
5	в том числе	1	5
6	до сих пор	2	5
7	по крайней мере	1	5
8	друг с другом	1	5
9	а с другой	1	5
10	для того чтобы	3	5
11	о том что	2	4
12	том числе и	1	4
13	но все же	1	4
14	к тому же	5	4
15	точно так же	1	3
16	в связи с	2	3
17	тем не менее	3	3
18	в том что	5	3
19	и потому что	1	2
20	то же самое	2	2
21	сих пор еще	1	2
22	друг на друга	2	2
23	в этом отношении	3	2
24	и после смерти	1	2
25	заключает в себе	2	2
26	может быть и	1	2
27	то ни было	1	2
28	бы то ни	1	2
29	то же время	4	2
30	той или иной	4	2
31	можно сказать что	2	2
32	на то что	2	2
33	в то же	4	2
34	и того же	1	1
35	и все же	2	1
36	состоит в том	2	1
37	же самое следует	1	1
38	по отношению к	3	1
39	в самом деле	2	1
40	одного и того	1	1
41	в соответствии с	4	1
42	сказать и о	1	1
43	самое следует сказать	1	1
44	и в то	1	1
45	до известной степени	1	1
46	сами по себе	2	1
47	вследствие того что	1	1
48	и т.д вплоть	2	1
49	с этого момента	1	1
50	жизни то есть	1	1
51	случае мы имеем	1	1
52	жизни а именно	1	1
53	в данном случае	8	1
54	в первом случае	3	1
55	на этот раз	1	1
56	следует сказать и	1	1
57	но при этом	1	1
58	говорить не приходится	1	1
59	в отличие от	2	1
60	это главным образом	1	1
61	вернемся к тому	1	1
62	потому что в	1	1
63	из них не	1	1
64	не только от	2	1
65	еще и потому	1	1
66	тем или иным	2	1
67	в одну из	1	1
68	один из этих	1	1
69	с другой стороны	1	1
70	речь идет о	3	1
71	один и тот	1	1
72	только то что	1	1
73	не может быть	4	1
74	т.д вплоть до	2	1
75	в свою очередь	2	1
76	в этом последнем	1	1
77	же самое происходит	1	1
78	для него событий	1	1
79	которые к тому	1	1
80	но и от	2	1
81	здесь говорить не	1	1
82	не представляется возможным	1	1
83	к нему в	1	1
84	еще при жизни	1	1
85	и тот же	1	1
