N	2gram	Tiupa_Vved_1	Istorich
1	и в	13	26
2	мы имеем	5	14
3	никогда не	4	13
4	потому что	5	13
5	и на	3	12
6	в этом	21	12
7	таким образом	4	12
8	в том	10	12
9	что в	3	12
10	мы видели	2	11
11	может быть	18	11
12	связь с	1	11
13	не только	20	10
14	том что	7	10
15	представления о	1	10
16	с другой	5	10
17	и не	12	10
18	еще не	7	9
19	а именно	1	9
20	что он	1	9
21	но и	19	9
22	все эти	1	8
23	все же	6	8
24	в нем	5	8
25	на том	1	8
26	с ним	3	8
27	вместе с	1	8
28	другой стороны	2	8
29	например в	2	7
30	но в	6	7
31	мы можем	2	7
32	и его	5	7
33	о том	5	7
34	с одной	5	7
35	уже не	5	7
36	представлений о	1	7
37	у него	1	7
38	превращается в	1	7
39	одной стороны	5	7
40	мы не	4	6
41	как в	4	6
42	как он	2	6
43	так в	4	6
44	и с	2	6
45	с появлением	2	6
46	в виде	1	6
47	то что	6	6
48	этом случае	1	6
49	не может	7	6
50	то же	5	5
51	в ней	4	5
52	за собой	1	5
53	как и	11	5
54	и что	1	5
55	в то	4	5
56	так и	8	5
57	в его	4	5
58	в приведенных	1	5
59	мы видим	1	5
60	только в	6	5
61	тем что	2	5
62	у нас	1	5
63	как это	1	5
64	как мы	3	4
65	и он	1	4
66	но как	1	4
67	из этих	3	4
68	на его	1	4
69	и по	3	4
70	здесь мы	1	4
71	это не	6	4
72	и тем	2	4
73	с тем	1	4
74	не всегда	2	4
75	не имели	2	4
76	а также	8	4
77	что и	2	4
78	себе в	1	4
79	прежде всего	7	4
80	связано с	3	4
81	зависит от	2	4
82	как бы	4	4
83	у них	1	4
84	но это	3	4
85	все что	3	4
86	и через	1	3
87	должна быть	2	3
88	оттого что	2	3
89	из которых	1	3
90	и наконец	2	3
91	та же	1	3
92	в себе	5	3
93	вообще не	1	3
94	что она	1	3
95	при этом	26	3
96	если бы	7	3
97	и вот	1	3
98	так например	1	3
99	сказке о	1	3
100	в них	2	3
101	в своей	5	3
102	и ее	1	3
103	в одном	1	3
104	не в	6	3
105	их в	2	3
106	на котором	1	3
107	того как	1	3
108	могут быть	4	3
109	его с	2	3
110	данном случае	6	3
111	но так	1	3
112	один из	3	3
113	том как	3	3
114	в качестве	8	3
115	так что	1	3
116	ее не	2	3
117	и увидел	1	3
118	и только	1	3
119	со стороны	5	3
120	далеко не	4	3
121	не было	2	3
122	в частности	13	3
123	в него	1	3
124	к своему	1	3
125	предположить что	1	3
126	в данном	13	3
127	наряду с	2	3
