N	2gram	Bakhtin_fo_1	OGranits
1	и в	50	13
2	и его	16	12
3	прежде всего	15	9
4	может быть	11	8
5	не может	6	8
6	и не	14	8
7	и т.п	4	7
8	в его	13	7
9	и их	8	7
10	точки зрения	5	7
11	только в	4	6
12	как бы	2	6
13	не только	9	6
14	то что	6	6
15	мы должны	2	6
16	таким образом	11	6
17	и т.д	1	5
18	все же	6	5
19	и наконец	1	5
20	с точки	2	5
21	в процессе	4	5
22	хотя бы	2	5
23	и эта	2	5
24	мы не	3	4
25	еще и	2	4
26	на фоне	3	4
27	но в	10	4
28	мы можем	1	4
29	то же	11	4
30	лишь в	6	4
31	в своей	2	4
32	было бы	2	4
33	все это	4	4
34	только и	5	4
35	не является	2	4
36	вполне понятно	4	4
37	в каждом	1	4
38	связана с	1	3
39	и то	4	3
40	в ее	6	3
41	самом деле	1	3
42	в пределах	5	3
43	так и	12	3
44	при анализе	1	3
45	понятно что	4	3
46	в их	6	3
47	по отношению	3	3
48	с этим	6	3
49	в которой	2	3
50	ни один	1	3
51	в себе	3	3
52	не как	2	3
53	в одном	3	3
54	так как	6	3
55	одно и	3	3
56	здесь мы	1	3
57	но и	8	3
58	слово в	1	3
59	как и	8	3
60	и уже	3	3
61	точку зрения	2	3
62	не в	5	3
63	да и	3	3
64	но для	2	3
65	все вопросы	1	3
66	и для	4	3
67	никогда не	2	3
68	и все	6	3
69	отношению к	5	3
70	не столько	1	3
71	что в	5	3
72	в искусстве	1	3
73	поставить вопрос	1	3
74	и наиболее	1	2
75	смысле слова	2	2
76	для себя	7	2
77	и др	9	2
78	данном случае	1	2
79	зависимости от	1	2
80	и может	2	2
81	роль в	9	2
82	конечно в	1	2
83	мы уже	11	2
84	те же	2	2
85	есть не	3	2
86	если бы	5	2
87	с самого	2	2
88	в ней	4	2
89	ее в	2	2
90	а также	2	2
91	в чем	2	2
92	вне всякой	1	2
93	мы понимаем	1	2
94	лишь путем	1	2
95	явлений и	1	2
96	в ряд	1	2
97	во всей	3	2
98	наконец в	1	2
99	и следовательно	4	2
100	может иметь	1	2
101	его на	2	2
102	как в	6	2
103	только ее	1	2
104	в данном	2	2
105	в этом	25	2
106	в полном	1	2
107	в том	9	2
108	мы видим	3	2
109	тот же	1	2
110	с ними	1	2
111	можем поставить	1	2
112	от этого	2	2
113	в этот	2	2
114	которое мы	1	2
115	во времени	3	2
116	в целом	2	2
117	все эти	9	2
118	с одной	3	2
119	уже в	2	2
120	в нем	24	2
121	связанные с	1	2
122	при этом	3	2
123	для него	2	2
124	в другом	1	2
125	вовсе не	13	2
126	в зависимости	1	2
127	тем что	2	2
128	в них	4	2
129	этой проблемы	2	2
130	с другой	2	2
131	а как	3	2
132	в самом	8	2
133	входит в	3	2
134	одной стороны	2	2
135	он только	2	2
136	соответствии с	2	2
137	более того	3	2
138	не на	1	2
139	а не	3	2
140	между собою	1	2
