N	2gram	Medvedev_S_1	Otkroven
1	у него	1	22
2	и в	3	19
3	но и	2	13
4	и не	1	13
5	в этом	5	12
6	не в	3	11
7	не только	3	11
8	может быть	2	11
9	прежде всего	1	9
10	не было	1	9
11	никогда не	1	9
12	в его	3	7
13	как и	1	6
14	все это	7	6
15	в том	5	5
16	в этой	1	5
17	а в	1	5
18	то что	2	5
19	все эти	1	4
20	него и	1	4
21	не может	1	4
22	и его	1	4
23	что в	2	4
24	и есть	1	3
25	о том	1	3
26	еще не	2	3
27	было бы	2	3
28	что он	1	3
29	это не	1	3
30	как бы	2	3
31	с ним	1	3
32	в этих	1	3
33	хотя бы	1	3
34	так и	1	2
35	и о	1	2
36	по себе	1	2
37	все же	1	2
38	вопросом о	1	2
39	и потому	1	2
40	же это	1	2
41	ведь это	2	2
42	тем что	1	2
43	его в	1	2
44	том что	2	2
45	ничего не	1	2
46	в своей	1	2
47	что все	1	2
48	науки о	1	1
49	тем же	1	1
50	должна быть	2	1
51	по природе	2	1
52	мы не	1	1
53	том как	1	1
54	из путей	1	1
55	в сущности	1	1
56	и что	2	1
57	но не	1	1
58	и остаются	1	1
59	но сам	1	1
60	в частности	2	1
61	один из	1	1
62	его собственная	1	1
63	и как	1	1
64	психологии и	1	1
65	что это	1	1
66	и сложность	1	1
67	что она	1	1
68	в силу	1	1
69	вовсе не	1	1
70	в каждом	1	1
71	же не	1	1
72	границы и	1	1
73	он ни	1	1
74	в них	1	1
75	а с	1	1
76	на этот	1	1
77	в мире	1	1
78	этом нужно	1	1
79	в котором	1	1
80	в строгом	1	1
81	слишком много	1	1
82	он говорит	1	1
83	что творчество	1	1
84	творчества это	1	1
85	всяком случае	1	1
86	и более	1	1
87	в конце	2	1
88	единственный путь	1	1
89	быть не	1	1
90	мысли в	1	1
91	она должна	1	1
92	в процессе	1	1
93	есть метод	1	1
94	может служить	1	1
95	бы в	1	1
96	как будто	2	1
97	всему этому	1	1
98	и заключается	2	1
99	у которых	1	1
100	бы он	1	1
101	и никакая	1	1
102	во всяком	1	1
