N	3gram	Bakhtin_Pr_1	Marksizm
1	с точки зрения	13	13
2	не может быть	4	10
3	по отношению к	8	8
4	то же время	9	8
5	в то же	9	8
6	для того чтобы	1	6
7	в том что	6	6
8	в самом деле	2	5
9	то же самое	1	5
10	может быть и	1	5
11	но в то	5	5
12	с самого начала	1	5
13	в свою очередь	1	5
14	в большинстве случаев	2	5
15	бы то ни	2	4
16	как если бы	1	4
17	то ни было	1	4
18	в отношении к	1	4
19	на самом деле	4	4
20	и не может	2	3
21	как мы сказали	1	3
22	до сих пор	2	3
23	в высшей степени	1	3
24	отсюда следует что	1	3
25	о том что	1	3
26	как мы уже	1	3
27	к тому что	1	3
28	как мы видели	1	3
29	какой бы то	1	2
30	в противном случае	1	2
31	более или менее	1	2
32	том что он	4	2
33	того или иного	1	2
34	в зависимости от	5	2
35	не было бы	1	2
36	по крайней мере	1	2
37	во всяком случае	3	2
38	до настоящего времени	1	2
39	оно ни было	1	2
40	неразрывной связи с	1	2
41	в неразрывной связи	1	2
42	или может быть	1	2
43	лишь там где	2	2
44	но и он	1	1
45	в другом месте	1	1
46	и у самого	1	1
47	твердого и устойчивого	1	1
48	относится к области	1	1
49	для него не	2	1
50	приводит его к	1	1
51	вполне понятно что	1	1
52	а следовательно и	1	1
53	растворяет в себе	2	1
54	благоприятная почва для	1	1
55	прямо сказать что	1	1
56	оно ощущается как	1	1
57	в своей отдельности	1	1
58	а вовсе не	1	1
59	в процессе постепенного	1	1
60	дело в том	1	1
61	как и всякое	1	1
62	над бытием и	1	1
63	и так сказать	1	1
64	в сущности ничего	1	1
65	обычном смысле слова	1	1
66	позиции по отношению	1	1
67	как во всяком	1	1
68	в этом случае	1	1
69	том что это	1	1
70	он не может	1	1
71	в нем и	1	1
72	и последнее слово	1	1
73	тому что в	1	1
74	они не могут	1	1
75	где делаются попытки	1	1
76	до известной степени	1	1
77	сами по себе	3	1
78	в той же	2	1
79	что все эти	1	1
80	в этом отношении	3	1
81	независимо от того	1	1
82	но он не	1	1
83	нашу точку зрения	2	1
84	ввести его в	1	1
85	то что обычно	1	1
86	в процессе этого	1	1
87	на себя самого	1	1
88	ведь если бы	1	1
89	и в других	1	1
90	основная тенденция его	1	1
91	в этой форме	2	1
92	должен быть сделан	1	1
93	в этом как	1	1
94	если же мы	1	1
95	мы полагаем что	1	1
96	может быть понято	1	1
97	не только его	1	1
98	не только в	2	1
99	отношении к другому	1	1
100	отношению к нему	1	1
101	в обычном смысле	1	1
102	в одной плоскости	5	1
103	социальной группы к	1	1
104	может выйти за	1	1
105	по сравнению с	1	1
106	является таким образом	1	1
107	для него в	1	1
108	не могут быть	1	1
109	не давая ему	1	1
110	и соответствующие им	1	1
111	в самой жизни	1	1
112	чтобы убедиться в	1	1
113	бы оно ни	1	1
114	мы уже говорили	1	1
115	само по себе	3	1
116	тем или иным	1	1
117	как впрочем и	1	1
118	сущности ничего не	1	1
119	лишь с точки	1	1
120	можно прямо сказать	1	1
121	с другой стороны	3	1
122	в его целом	6	1
123	но они уже	1	1
124	и это не	3	1
125	не совпадает с	1	1
126	однако не все	1	1
127	таким образом в	1	1
128	по себе а	1	1
129	они и не	1	1
130	наиболее яркое и	1	1
131	так и в	1	1
132	не как целое	1	1
133	бы это было	1	1
134	сферах идеологического творчества	1	1
135	в единый контекст	1	1
136	для себя самого	1	1
137	к нему и	2	1
138	то перед нами	2	1
139	ни одна из	1	1
140	друг друга но	1	1
141	не разрушая и	1	1
142	но все же	2	1
143	можно сказать что	1	1
144	но что же	1	1
145	они ни были	1	1
146	это было так	1	1
147	с чужим словом	1	1
148	может быть лишь	1	1
149	конечно не в	1	1
150	было так то	1	1
151	нам важна лишь	1	1
152	друг с другом	1	1
153	при этом совершенно	1	1
154	тем что он	1	1
155	быть не может	1	1
156	как бы оно	1	1
157	но не только	1	1
158	если бы это	1	1
159	совершенно особый тип	1	1
160	за пределы данного	1	1
161	же самое слово	1	1
162	нам кажется что	1	1
