N	3gram	Vinokur_St_2	Morfolog
1	и т д	6	47
2	в этом случае	1	9
3	в связи с	1	8
4	по отношению к	1	4
5	с точки зрения	2	4
6	с другой стороны	3	4
7	тем не менее	2	4
8	на самом деле	1	3
9	но все же	2	3
10	в обоих случаях	1	2
11	более или менее	2	2
12	в настоящее время	1	2
13	точно так же	1	2
14	действующих лиц в	1	2
15	с того что	1	2
16	в то время	1	2
17	для того чтобы	5	2
18	в том что	16	2
19	но кроме того	1	1
20	между прочим и	1	1
21	и по существу	1	1
22	а затем уже	1	1
23	том что он	5	1
24	что же касается	1	1
25	следует сказать что	1	1
26	до сих пор	5	1
27	бы то ни	2	1
28	их и не	1	1
29	и пр на	1	1
30	на первом месте	1	1
31	в наши дни	1	1
32	не то что	1	1
33	одно и то	1	1
34	отличие от других	1	1
35	в данном случае	1	1
36	на этот вопрос	1	1
37	на этом основании	1	1
38	и то же	1	1
39	имеет ничего общего	1	1
40	на самого себя	1	1
41	иметь в виду	3	1
42	то что он	2	1
43	будет зависеть от	1	1
44	во всяком случае	3	1
45	вместо того чтобы	1	1
46	потому что они	1	1
47	не имеет ничего	1	1
48	друг к другу	1	1
49	то же время	1	1
50	в точности соответствует	1	1
51	на ряду с	1	1
52	о том что	11	1
53	и что следовательно	1	1
54	с самого начала	3	1
55	он не может	1	1
56	т е не	1	1
57	на то что	2	1
58	в то же	1	1
59	к тому что	5	1
60	дело не в	1	1
61	действующих лиц по	1	1
