N	3gram	Tiupa_Vved_1	Stilisti
1	в то же	4	9
2	в зависимости от	1	7
3	то же время	3	7
4	то же самое	1	4
5	то что мы	1	4
6	в свою очередь	4	4
7	той или иной	2	4
8	на самом деле	3	3
9	в этом случае	1	3
10	в конце фразы	1	3
11	но и в	2	3
12	заключает в себе	1	3
13	не только в	2	3
14	в данной ситуации	1	3
15	которое может быть	1	3
16	и тем самым	2	3
17	и т.п и	1	3
18	как мы видели	2	3
19	той же самой	1	2
20	и точек зрения	1	2
21	и в то	1	2
22	как мы увидим	1	2
23	и т.п но	1	2
24	не было бы	1	2
25	в этом отношении	4	2
26	в значительной степени	1	2
27	на первый взгляд	1	2
28	но при этом	2	2
29	как бы в	1	2
30	не может быть	3	2
31	не что иное	1	2
32	о том что	4	2
33	и вследствие этого	2	2
34	что иное как	1	2
35	можно сказать что	1	2
36	в связи с	1	2
37	все то что	1	2
38	и того же	1	1
39	и т.п как	1	1
40	прежде всего на	1	1
41	по отношению к	7	1
42	более или менее	2	1
43	мы должны были	1	1
44	или иному типу	1	1
45	и та же	1	1
46	можно было бы	2	1
47	в нашем сознании	1	1
48	по крайней мере	1	1
49	отнюдь не является	1	1
50	и в жизни	2	1
51	которой не может	1	1
52	тому или иному	1	1
53	точек зрения в	1	1
54	и в этом	1	1
55	тем не менее	3	1
56	по большей части	3	1
57	только благодаря этому	1	1
58	событие речевого взаимодействия	1	1
59	благодаря тому что	1	1
60	в нашем случае	2	1
61	тем же самым	1	1
62	одна и та	1	1
63	вследствие того что	1	1
64	могло бы стать	1	1
65	содержит в себе	1	1
66	и все же	4	1
67	мы не можем	1	1
68	пространство и время	1	1
69	само по себе	1	1
70	мы увидим ниже	1	1
71	определяется отнюдь не	1	1
72	в конечном счете	1	1
73	и т.п это	1	1
74	мысль о том	1	1
75	это мы должны	1	1
76	также нуждаются в	1	1
77	с другой стороны	1	1
78	одного и того	1	1
79	вследствие этого как	1	1
80	в том что	3	1
81	как и в	2	1
82	но если бы	1	1
83	в пределах одного	1	1
84	мертвых душ в	1	1
