N	2gram	Vinokur_Ku_1	VelikijI
1	и не	12	20
2	и в	24	16
3	так как	9	9
4	то что	9	9
5	еще не	5	8
6	в истории	3	8
7	что они	4	7
8	а не	8	7
9	и потому	4	7
10	не есть	4	6
11	на себя	3	5
12	но и	6	5
13	по пути	1	5
14	того что	9	5
15	хотя и	3	5
16	все это	6	5
17	как бы	7	5
18	и есть	2	4
19	говорить о	1	4
20	в его	12	4
21	в этом	14	4
22	что он	6	4
23	потому что	23	4
24	в нем	4	4
25	так и	7	4
26	что все	2	4
27	что не	5	4
28	как и	2	4
29	что мы	1	4
30	в котором	3	4
31	в ней	6	4
32	в силах	2	4
33	и все	2	4
34	это еще	1	4
35	все что	1	4
36	от этого	2	3
37	и что	5	3
38	должна быть	3	3
39	за то	1	3
40	хотя бы	10	3
41	то это	3	3
42	как не	1	3
43	лишь в	2	3
44	в чем	1	3
45	с его	4	3
46	во всех	1	3
47	что и	4	3
48	в том	30	3
49	тот же	2	3
50	но в	2	3
51	бы и	2	3
52	все эти	6	3
53	его во	1	3
54	в конце	1	3
55	в своей	2	3
56	и мы	2	3
57	в жизни	1	3
58	не нужна	1	3
59	ни в	2	3
60	в них	7	3
61	не было	3	3
62	должно быть	3	3
63	если не	3	3
64	в этих	4	3
65	нет ничего	1	3
66	что я	2	3
67	и против	2	3
68	не в	11	3
69	любовь к	2	3
70	тому что	3	3
71	но это	1	3
72	не имеет	2	3
73	никогда не	2	3
74	превращается в	2	3
75	и для	2	3
76	к тому	5	3
77	жизни и	1	3
78	что в	17	3
79	оно не	3	3
80	того чтобы	17	2
81	и то	3	2
82	не имел	1	2
83	и сам	1	2
84	и т	33	2
85	можно было	6	2
86	его не	1	2
87	когда в	2	2
88	в последнем	2	2
89	с ним	5	2
90	вместо того	1	2
91	и во	1	2
92	к нам	1	2
93	между тем	5	2
94	которые не	1	2
95	не с	3	2
96	государства и	1	2
97	на нас	1	2
98	его к	3	2
99	только в	11	2
100	и последний	1	2
101	в себя	1	2
102	конечно не	2	2
103	уже не	8	2
104	не только	10	2
105	чтобы овладеть	1	2
106	на этих	1	2
107	раз навсегда	1	2
108	его и	1	2
109	не так	1	2
110	для него	1	2
111	под конец	1	2
112	тем что	8	2
113	на том	3	2
114	это не	7	2
115	т д	14	2
116	истории и	1	2
117	а с	3	2
118	прежде всего	9	2
119	для них	2	2
120	все равно	2	2
121	с тем	5	2
122	мы и	1	2
123	один из	4	2
124	для человека	1	2
125	и тогда	4	2
126	я говорю	1	2
127	нет еще	1	2
128	не могут	2	2
129	значения и	1	2
130	самого себя	1	2
131	что было	2	2
132	да и	1	2
133	одна из	1	2
134	что их	2	2
135	уже на	2	2
136	том что	21	2
137	для нас	2	2
138	в форме	1	2
139	и теперь	1	2
140	они и	1	2
141	ее в	2	2
142	есть уже	1	2
143	до того	2	2
144	давно уже	1	2
145	что теперь	1	2
146	это все	1	2
147	а в	5	2
