N	2gram	Medvedev_S_1	Komedia
1	и в	3	22
2	и не	1	21
3	том что	2	13
4	таким образом	2	12
5	в том	5	12
6	в этом	5	8
7	его в	1	8
8	о том	1	8
9	в его	3	8
10	что он	1	8
11	то же	2	7
12	в конце	2	7
13	а в	1	7
14	еще не	2	6
15	в то	1	6
16	и его	1	6
17	и что	2	6
18	может быть	2	6
19	более чем	3	5
20	не только	3	5
21	в своей	1	5
22	же время	1	5
23	связи с	1	5
24	с ним	1	5
25	что в	2	5
26	по отношению	2	5
27	тем что	1	5
28	прежде всего	1	5
29	все это	7	5
30	с другой	1	4
31	отнюдь не	1	4
32	все же	1	4
33	то что	2	4
34	что она	1	4
35	не в	3	4
36	у него	1	4
37	так и	1	4
38	между собой	1	4
39	с помощью	1	4
40	не дает	1	4
41	вовсе не	1	4
42	но и	2	4
43	в связи	1	4
44	бы в	1	4
45	тем более	2	4
46	хотя бы	1	4
47	столь же	1	3
48	тем же	1	3
49	в этой	1	3
50	было бы	2	3
51	в них	1	3
52	далеко не	2	3
53	как и	1	3
54	том как	1	3
55	никогда не	1	3
56	ничего не	1	3
57	же самое	1	3
58	должно было	1	3
59	и мы	2	3
60	с одной	1	3
61	всяком случае	1	3
62	отношению к	2	3
63	даже не	1	3
64	на этот	1	3
65	один из	1	3
66	в частности	2	3
67	не может	1	3
68	конечно не	1	3
69	одной стороны	1	3
70	как бы	2	3
71	в целом	1	3
72	из себя	1	3
73	бы он	1	3
74	во всяком	1	3
75	мы не	1	2
76	в сущности	1	2
77	он говорит	1	2
78	конечном счете	1	2
79	за пределы	2	2
80	в результате	2	2
81	правда он	1	2
82	в силу	1	2
83	в мире	1	2
84	это не	1	2
85	на основании	1	2
86	остается в	1	2
87	в котором	1	2
88	тому что	1	2
89	дело не	2	2
90	в области	1	2
91	больше того	1	2
92	настаивает на	1	2
93	ли не	1	2
94	и о	1	2
95	в конечном	1	2
96	между тем	1	2
97	же теперь	1	2
98	не мешает	1	2
99	не было	1	2
100	по существу	2	2
101	только для	1	2
102	конце концов	2	2
103	между ними	1	2
104	только как	2	2
105	я и	1	1
106	же по	1	1
107	этом не	1	1
108	ввести в	2	1
109	не успела	1	1
110	первый план	1	1
111	все эти	1	1
112	в чем	1	1
113	не без	1	1
114	но не	1	1
115	но как	1	1
116	очевидно что	2	1
117	друг от	1	1
118	перед нами	1	1
119	и как	1	1
120	и наконец	1	1
121	чуть ли	1	1
122	право на	1	1
123	по крайней	1	1
124	поэта и	1	1
125	в каждом	1	1
126	что все	1	1
127	же не	1	1
128	со своими	1	1
129	работы в	1	1
130	место в	1	1
131	не от	1	1
132	их между	2	1
133	стало быть	1	1
134	том и	1	1
135	а вот	1	1
136	не желая	1	1
137	и по	1	1
138	что на	1	1
139	точке зрения	1	1
140	представляется нам	1	1
141	все то	1	1
142	как только	2	1
143	литературы на	1	1
144	от друга	1	1
145	ни одно	1	1
146	те же	1	1
147	для этого	1	1
148	в настоящее	1	1
149	настоящее время	1	1
150	никак не	1	1
151	на что	1	1
152	может не	1	1
153	мы понимаем	1	1
154	крайней мере	1	1
155	сказать и	1	1
156	в лучшем	1	1
157	только в	2	1
158	это же	1	1
159	не из	1	1
160	может служить	1	1
161	выходит за	1	1
162	а с	1	1
163	мы еще	1	1
164	теперь он	1	1
165	и потому	1	1
166	слишком много	1	1
167	можно принять	1	1
168	быть не	1	1
169	какие же	1	1
170	нашей работы	1	1
171	от окружающих	1	1
172	в смысле	2	1
173	она должна	1	1
174	это как	1	1
175	на первый	1	1
176	для нас	3	1
177	в этих	1	1
178	из современных	1	1
179	и только	3	1
180	перейдет в	1	1
181	они не	1	1
182	в цельном	1	1
