N	2gram	Vinokur_Ku_2	Psycholo
1	то что	9	44
2	и в	23	33
3	в этом	18	28
4	и что	8	25
5	как бы	4	25
6	потому что	25	24
7	для того	9	23
8	того чтобы	11	22
9	может быть	15	22
10	том что	11	22
11	что в	10	21
12	в том	19	21
13	о том	1	20
14	что он	5	20
15	только что	1	15
16	как это	5	14
17	и не	16	13
18	таким образом	5	13
19	так же	4	13
20	что это	7	13
21	все это	5	13
22	сказать что	4	13
23	и все	2	12
24	к тому	4	12
25	в самом	12	12
26	самом деле	9	12
27	было бы	15	12
28	если мы	4	12
29	так как	15	12
30	он не	3	11
31	что все	5	11
32	не может	9	10
33	на то	4	10
34	если бы	12	10
35	в его	5	10
36	говорит что	1	10
37	что она	3	10
38	как раз	3	9
39	по себе	10	9
40	то же	6	9
41	в этой	6	9
42	и если	2	9
43	в каком	4	8
44	совершенно ясно	1	8
45	вместе с	5	8
46	как будто	2	8
47	в конце	4	8
48	для этого	3	8
49	для нас	4	7
50	и только	1	7
51	в нем	4	7
52	так что	1	7
53	показать что	1	7
54	когда он	1	7
55	до конца	3	7
56	не только	20	7
57	в своем	2	7
58	все эти	12	6
59	в себе	1	6
60	когда мы	1	6
61	и вот	5	6
62	но он	1	6
63	что они	2	6
64	как на	1	6
65	точки зрения	14	6
66	у него	3	6
67	что эта	2	6
68	и т	39	6
69	на самом	2	6
70	это не	6	6
71	мы должны	2	6
72	в сущности	9	6
73	тому что	1	6
74	а не	10	6
75	в ней	3	6
76	никак не	3	6
77	в самой	2	6
78	перед нами	4	6
79	что мы	6	6
80	все же	7	5
81	как и	2	5
82	вовсе не	9	5
83	только после	1	5
84	связь с	1	5
85	в какой	1	5
86	мы не	1	5
87	нисколько не	3	5
88	казалось бы	3	5
89	что самое	1	5
90	и на	6	5
91	с этим	3	5
92	что для	2	5
93	и его	3	5
94	в целом	1	5
95	мы можем	1	5
96	это и	3	5
97	ясно что	5	5
98	мы будем	2	5
99	мы уже	1	5
100	с самого	1	5
101	целый ряд	5	5
102	никогда не	2	5
103	самого начала	1	5
104	заключается в	2	5
105	и это	3	5
106	и как	1	5
107	в которой	1	4
108	смысл и	3	4
109	могла бы	2	4
110	смысла и	2	4
111	это в	2	4
112	в своей	2	4
113	об этом	5	4
114	с тем	2	4
115	а в	3	4
116	с этой	2	4
117	совершенно не	3	4
118	того что	3	4
119	знаем что	3	4
120	и уже	1	4
121	что автор	1	4
122	как мы	3	4
123	у нас	12	4
124	что не	6	4
125	что у	2	4
126	не то	2	4
127	и о	4	4
128	только в	5	4
129	той же	2	4
130	от этих	1	4
131	по поводу	2	4
132	одна из	1	4
133	не будет	1	4
134	слова и	5	4
135	не просто	2	4
136	с точки	8	4
137	я не	5	4
138	в частности	2	4
139	и есть	2	4
140	первый раз	1	4
141	том чтобы	1	4
142	так например	1	4
143	этот вопрос	6	4
144	к этому	4	4
145	можно было	9	4
146	какой бы	1	3
147	и здесь	5	3
148	во всяком	5	3
149	конце концов	3	3
150	говорить о	4	3
151	смысле этого	2	3
152	от этого	2	3
153	и для	2	3
154	т п	24	3
155	так и	4	3
156	этого слова	5	3
157	не было	4	3
158	вслед за	1	3
159	в виде	1	3
160	сих пор	1	3
161	тем самым	2	3
162	или его	1	3
163	тому чтобы	1	3
164	и он	1	3
165	в одном	1	3
166	ли это	2	3
167	в то	4	3
168	совершенно новый	1	3
169	эти слова	1	3
170	дело с	1	3
171	но не	6	3
172	всех этих	3	3
173	здесь мы	2	3
174	сами по	1	3
175	в первый	3	3
176	он все	1	3
177	но и	7	3
178	из которых	3	3
179	что этот	1	3
180	сама по	1	3
181	до сих	1	3
182	да и	6	3
183	идет о	1	3
184	как в	3	3
185	в уста	1	3
186	с ее	1	3
187	в той	2	3
188	что если	2	3
189	тот же	5	3
190	и сейчас	2	3
191	к этой	3	3
192	что составляет	1	3
193	мы в	2	3
194	ни в	4	3
195	тому же	1	3
196	должно быть	4	3
197	всяком случае	5	3
198	тем что	3	3
199	к делу	1	3
200	могло бы	1	3
201	одной стороны	1	3
202	еще раз	1	3
203	же как	2	3
204	что именно	1	3
205	с одной	2	3
206	и опять	1	3
207	не для	1	3
208	указывает на	1	3
209	она не	2	3
210	вот как	1	3
211	на этом	3	3
212	далеко не	1	3
213	их в	1	3
214	в своих	2	3
215	за этим	2	3
216	на этот	2	3
217	слова как	3	3
218	и до	2	3
219	был бы	2	3
220	в которых	2	3
221	понятно что	1	3
222	должен был	1	3
223	что и	3	3
224	что оно	3	3
225	точно так	3	3
226	конечно не	2	3
227	он говорит	1	3
228	борьбу с	1	3
