N	2gram	Berdyaev_N_1	Formalny
1	и не	11	30
2	и в	16	27
3	может быть	7	25
4	не может	16	24
5	так и	2	21
6	и его	1	19
7	в этом	7	18
8	а не	17	17
9	в нем	5	15
10	и пр	3	15
11	как и	7	14
12	не в	6	12
13	в самом	1	11
14	в жизни	5	11
15	и от	2	11
16	не могут	1	10
17	место в	2	10
18	но и	3	10
19	не только	5	9
20	лишь в	6	9
21	так как	1	9
22	так же	2	9
23	ни в	6	8
24	только в	1	8
25	то что	4	8
26	и все	4	8
27	что в	9	8
28	с тем	3	7
29	не менее	4	7
30	потому что	4	7
31	в его	1	7
32	в том	8	7
33	для них	1	7
34	все это	5	7
35	в то	2	7
36	еще не	3	6
37	но в	2	6
38	все эти	2	6
39	в своей	3	6
40	всяком случае	1	6
41	все время	2	6
42	было бы	1	6
43	что он	1	6
44	с другой	3	6
45	вместе с	2	6
46	и для	4	6
47	хотя бы	2	6
48	во всяком	1	6
49	становится в	1	5
50	в зависимости	1	5
51	зависимости от	1	5
52	совсем не	12	5
53	но не	2	5
54	в истории	3	5
55	того чтобы	2	5
56	в ней	5	5
57	никогда не	6	5
58	большинстве случаев	1	5
59	и их	1	5
60	друг друга	1	5
61	лишь для	1	5
62	тем что	1	5
63	и потому	4	5
64	тому как	3	5
65	и формы	2	5
66	другой стороны	2	5
67	не есть	3	4
68	мы не	2	4
69	менее всего	1	4
70	как в	3	4
71	но ведь	1	4
72	на ее	1	4
73	подобно тому	3	4
74	в ее	3	4
75	том что	2	4
76	жизнь не	1	4
77	по себе	1	4
78	она не	3	4
79	в смысле	2	4
80	могут быть	2	4
81	к тому	3	4
82	роль в	2	4
83	о том	4	4
84	же и	1	4
85	конечно не	3	4
86	уже в	1	4
87	в большинстве	1	4
88	социальной жизни	1	4
89	для того	1	4
90	прежде всего	4	4
91	как это	2	4
92	от всех	1	4
93	жизни и	8	4
94	они не	1	4
95	формы и	2	3
96	же как	2	3
97	того же	1	3
98	эпоху и	1	3
99	должна быть	3	3
100	мы уже	1	3
101	в виду	1	3
102	и на	2	3
103	во всех	3	3
104	то он	1	3
105	нет и	2	3
106	в себе	2	3
107	и с	2	3
108	это не	4	3
109	заложенных в	1	3
110	он и	1	3
111	в этих	1	3
112	творчества и	1	3
113	и более	1	3
114	в основе	3	3
115	оно не	1	3
116	совершается в	1	3
117	еще в	1	3
118	в эпоху	9	3
119	и что	2	3
120	можно сказать	1	3
121	их в	1	3
122	в них	4	3
123	уже не	2	3
124	нуждается в	1	3
125	в конце	1	3
126	пришли к	1	3
127	у нас	1	3
128	не на	1	3
129	в той	1	3
130	жизни в	3	3
131	сказать что	3	3
132	равно как	2	3
133	смысле слова	3	2
134	человека и	3	2
135	в такой	1	2
136	он может	1	2
137	это и	2	2
138	в котором	1	2
139	высшей степени	6	2
140	в сущности	1	2
141	говорить о	1	2
142	эпохи в	1	2
143	всех сторон	4	2
144	с его	6	2
145	жизни с	1	2
146	россии и	1	2
147	отличие от	1	2
148	за пределы	3	2
149	в своем	1	2
150	с душой	1	2
151	от этого	1	2
152	из этих	1	2
153	в этой	1	2
154	жизнью и	1	2
155	вообще не	1	2
156	что она	2	2
157	сами эти	1	2
158	перестает быть	4	2
159	не значит	3	2
160	в россии	3	2
161	в основу	1	2
162	человека в	1	2
163	это значит	1	2
164	на протяжении	2	2
165	этом смысле	2	2
166	в высшей	6	2
167	для чего	2	2
168	какую угодно	1	2
169	такой же	2	2
170	в эту	1	2
171	бы к	1	2
172	в отличие	1	2
173	что этот	1	2
174	и очень	1	2
175	xviii века	2	2
176	одна из	2	2
177	не останется	1	2
178	в каком	1	2
179	и это	2	2
180	с ее	5	2
181	как не	8	2
182	для этого	2	2
183	познания и	2	2
184	и во	1	2
185	переходит в	1	2
186	и только	1	2
187	может иметь	1	2
188	и мир	1	2
189	в формах	1	2
190	должен быть	5	2
191	от других	1	2
192	из них	1	2
193	к более	2	2
194	сами по	1	2
195	они будут	1	2
196	от того	1	2
197	формы к	1	2
198	лишь к	1	2
199	и даже	2	2
200	в области	1	2
201	и из	1	2
202	связаны с	2	2
203	в каких	1	2
204	к которому	1	2
205	связано с	1	2
206	превращается в	1	2
207	а на	1	2
208	лишается всякого	1	2
209	одну из	1	2
210	новые формы	1	2
211	но оно	1	2
212	быть только	1	2
213	внутреннего единства	1	2
214	распадается на	1	2
215	а к	1	2
216	но это	6	2
217	но для	2	2
218	она должна	1	2
219	мы должны	1	2
220	и периодов	1	2
221	но если	1	2
222	возможно лишь	1	2
223	от этой	1	1
224	нем нет	2	1
225	также что	1	1
226	времени не	1	1
227	и через	1	1
228	переход от	1	1
229	производят впечатление	1	1
230	и до	1	1
231	не имеют	2	1
232	ведь и	2	1
233	к созданию	2	1
234	и этот	1	1
235	и искать	1	1
236	со всех	4	1
237	во времени	1	1
238	осуществляется не	1	1
239	был понят	1	1
240	понять смысл	1	1
241	оно есть	1	1
242	то это	1	1
243	жизни это	1	1
244	это время	1	1
245	оно может	1	1
246	историческую эпоху	1	1
247	же мере	1	1
248	не имел	1	1
249	из сторон	1	1
250	значение и	1	1
251	нужно быть	1	1
252	себе и	1	1
253	значение для	1	1
254	ни одна	2	1
255	с этим	2	1
256	и нет	1	1
257	к новому	7	1
258	обращения к	1	1
259	хотя и	2	1
260	перестал быть	1	1
261	тоже не	1	1
262	с их	2	1
263	эпохи и	4	1
264	не могла	2	1
265	это связано	2	1
266	все другие	1	1
267	он не	8	1
268	как часто	1	1
269	к одному	1	1
270	не к	2	1
271	переходит от	1	1
272	что единство	1	1
273	по существу	2	1
274	смысле как	1	1
275	в нее	1	1
276	находящийся в	1	1
277	но все	1	1
278	значительной степени	1	1
279	в одну	2	1
280	не будет	7	1
281	если нет	2	1
282	значение в	1	1
283	в мире	3	1
284	знает что	1	1
285	с другими	1	1
286	быть не	1	1
287	не привела	1	1
288	и творчества	2	1
289	нет в	1	1
290	быть принята	1	1
291	она осуществляется	1	1
292	была уже	1	1
293	должно быть	4	1
294	и того	1	1
295	не больше	1	1
296	одного и	1	1
297	возможности в	1	1
298	и всеми	1	1
299	возможны только	1	1
300	дальнейшее развитие	1	1
301	на место	1	1
302	к новой	1	1
303	в другие	1	1
304	но он	1	1
305	совершенную пустоту	1	1
306	к реальному	3	1
307	не должна	1	1
308	есть всегда	1	1
309	жизни эпохи	1	1
310	нет никакого	1	1
311	с миром	1	1
312	дня и	3	1
313	с ним	1	1
314	история в	3	1
315	она могла	1	1
316	в познании	1	1
317	и отдельных	1	1
318	из их	1	1
319	техникой с	1	1
320	та или	1	1
321	не их	1	1
322	явление в	1	1
323	не ставит	2	1
324	ему не	1	1
325	во все	1	1
326	числе и	1	1
327	в наши	3	1
328	всегда есть	1	1
329	социальные и	1	1
330	он создает	1	1
331	эпохи не	1	1
332	людей в	1	1
333	чтобы быть	1	1
334	то нужно	1	1
335	небольшое место	1	1
336	можно было	2	1
337	не с	1	1
338	философии жизни	1	1
339	совершенно невозможно	1	1
340	выходит за	1	1
341	что оставалось	1	1
342	и человека	1	1
343	и должно	2	1
344	не был	1	1
345	противоположного характера	1	1
346	что его	1	1
347	в значительной	1	1
348	на человека	1	1
349	все в	1	1
350	других людей	1	1
351	как например	1	1
352	понята как	1	1
353	привела бы	1	1
354	который в	2	1
355	и жизни	1	1
356	с одной	2	1
357	это совсем	2	1
358	в эти	1	1
359	себя в	2	1
360	для всех	1	1
361	есть в	2	1
362	вот что	1	1
363	и у	1	1
364	вопроса о	1	1
365	основе их	1	1
366	мир не	1	1
367	и нового	1	1
368	слова в	1	1
369	которые могут	1	1
370	и вместе	1	1
371	всякого содержания	1	1
372	нет они	1	1
373	ней и	1	1
374	до сих	1	1
375	и быть	1	1
376	в природе	2	1
377	борьба за	1	1
378	не было	4	1
379	одной стороны	2	1
380	зависит от	2	1
381	ничем не	1	1
382	жизнь в	1	1
383	как ни	1	1
384	что мы	1	1
385	все более	1	1
386	нет ничего	1	1
387	может идти	1	1
388	в это	1	1
389	сих пор	1	1
390	только для	1	1
391	за его	1	1
392	ее роли	1	1
393	мира и	2	1
394	пр в	1	1
395	мы конечно	1	1
396	от формализма	1	1
397	ни к	2	1
398	все они	2	1
399	и роста	1	1
400	или не	1	1
401	есть уже	1	1
402	групп и	1	1
403	а в	2	1
404	лишь там	1	1
405	быть понята	1	1
406	с окончанием	1	1
407	и начинается	2	1
408	связанный с	1	1
409	не знает	6	1
410	от старой	1	1
411	к единству	1	1
412	в каком-то	1	1
413	можно назвать	2	1
414	тогда не	1	1
415	как результат	1	1
416	том числе	1	1
