N	2gram	Propp_Isto_7	KulturaY
1	т е	16	38
2	и т	17	33
3	в том	7	30
4	и в	24	24
5	потому что	9	23
6	том что	10	21
7	т п	1	18
8	что в	13	17
9	для того	1	16
10	было бы	2	15
11	и пр	1	15
12	в этом	12	14
13	т д	16	14
14	точки зрения	4	14
15	может быть	14	13
16	все же	9	12
17	таким образом	7	12
18	и не	4	12
19	в его	1	12
20	не в	9	11
21	только в	6	11
22	хотя бы	1	10
23	в самом	2	10
24	не только	21	10
25	в силу	2	10
26	вовсе не	4	10
27	самом деле	1	9
28	с точки	1	9
29	так как	8	9
30	если бы	1	9
31	о том	9	9
32	того что	6	9
33	отношению к	1	9
34	прежде всего	2	9
35	то что	7	9
36	а только	1	8
37	по отношению	1	8
38	уже не	2	8
39	то же	8	8
40	том чтобы	3	8
41	тем что	6	8
42	а не	8	8
43	не может	14	7
44	это не	10	7
45	в них	3	7
46	не менее	5	7
47	связи с	3	7
48	так и	5	7
49	в качестве	3	7
50	с другой	9	7
51	как бы	4	7
52	вместе с	7	7
53	только потому	1	6
54	мы имеем	12	6
55	зависимости от	1	6
56	в ней	1	6
57	в которой	2	6
58	все эти	2	6
59	при этом	4	6
60	в которых	1	6
61	тогда когда	3	6
62	не случайно	3	6
63	можно было	1	6
64	что он	21	6
65	в какой	1	6
66	но и	11	6
67	именно в	1	6
68	что же	1	6
69	все это	8	6
70	другой стороны	8	6
71	что такое	2	6
72	например в	3	5
73	в зависимости	1	5
74	еще не	8	5
75	xix века	1	5
76	но не	6	5
77	не просто	2	5
78	что это	6	5
79	и с	1	5
80	но уже	1	5
81	рядом с	1	5
82	с тем	1	5
83	и его	3	5
84	к тому	1	5
85	с ним	5	5
86	и что	10	5
87	что не	2	5
88	а в	10	5
89	того же	2	4
90	что эти	2	4
91	и на	2	4
92	с его	3	4
93	что они	3	4
94	как в	12	4
95	в целом	1	4
96	из этих	3	4
97	на то	3	4
98	в нем	6	4
99	в первую	7	4
100	в данном	4	4
101	тем не	4	4
102	стоит в	2	4
103	тем самым	1	4
104	в таких	2	4
105	в науке	1	4
106	того как	3	4
107	к себе	3	4
108	в самой	1	4
109	что и	8	4
110	с ними	1	4
111	должен быть	1	4
112	так что	3	4
113	из них	2	4
114	со стороны	2	4
115	до сих	2	4
116	там где	5	4
