N	3gram	Bakhtin_Pr_2	StatiiOP
1	в том что	1	16
2	о том что	1	11
3	и т д	4	6
4	том что он	2	5
5	до сих пор	7	5
6	в письме к	2	5
7	дело в том	1	4
8	что он не	1	4
9	после того как	1	4
10	в одном из	1	3
11	иметь в виду	1	3
12	и т п	9	3
13	с другой стороны	3	3
14	во всяком случае	1	3
15	в том же	1	2
16	с точки зрения	8	2
17	сами по себе	1	2
18	в отличие от	4	2
19	бы то ни	1	2
20	уже после того	1	2
21	в значительной степени	1	2
22	ни в одном	2	2
23	то ни было	1	2
24	то что он	1	2
25	более или менее	3	2
26	так и в	1	2
27	не только не	1	2
28	в самом деле	4	2
29	но все же	2	2
30	на то что	2	2
31	тем не менее	2	2
32	к тому же	3	2
33	но кроме того	1	1
34	в этом его	1	1
35	а между тем	1	1
36	того что и	1	1
37	в виду что	1	1
38	на самом деле	1	1
39	в настоящее время	2	1
40	в этом смысле	2	1
41	кажется что в	1	1
42	так что в	1	1
43	в какой они	1	1
44	он не только	1	1
45	в еще более	1	1
46	здесь не место	2	1
47	сам по себе	5	1
48	в той же	1	1
49	на этот вопрос	2	1
50	не укладывается в	2	1
51	и в другом	1	1
52	в ответе другого	1	1
53	вы говорите что	1	1
54	в котором все	1	1
55	он никогда не	1	1
56	одно и то	2	1
57	а как бы	1	1
58	и на материале	1	1
59	на этой почве	1	1
60	т е в	1	1
61	в конце концов	2	1
62	и то же	2	1
63	заставляя его служить	1	1
64	так или иначе	1	1
65	с нею и	1	1
66	в связи с	1	1
67	друг к другу	2	1
68	в конкретном и	1	1
69	на тему о	1	1
70	я не могу	2	1
71	и в том	1	1
72	вместо того чтобы	1	1
73	по отношению к	5	1
74	что как раз	1	1
75	ни одного слова	1	1
76	то же время	5	1
77	и кто ж	1	1
78	каких бы то	1	1
79	в то время	2	1
80	т п в	1	1
81	и это слово	1	1
82	не могло в	1	1
83	его служить своим	1	1
84	в то же	5	1
85	с полным правом	1	1
86	в том числе	1	1
87	это еще не	1	1
88	и что он	1	1
89	в отношении к	2	1
90	котором все эти	1	1
