N	3gram	Vygotskiy__5	TeoriaLi
1	по отношению к	12	8
2	в отличие от	2	7
3	в том что	11	6
4	в то же	1	6
5	того или иного	1	5
6	состоит в том	3	4
7	более или менее	1	4
8	с другой стороны	2	3
9	тем не менее	1	3
10	можно сказать что	5	3
11	в свою очередь	3	3
12	той или иной	1	3
13	в этом смысле	1	3
14	по своей природе	1	2
15	и того же	3	2
16	с точки зрения	9	2
17	но он не	4	2
18	не могло быть	1	2
19	с одной стороны	3	2
20	и то же	1	2
21	а с другой	2	2
22	одно и то	1	2
23	то что они	2	2
24	и тем самым	1	2
25	не только не	3	2
26	одного и того	3	2
27	тех или иных	1	2
28	сама по себе	4	2
29	не может быть	3	2
30	точки зрения и	1	1
31	таким образом что	2	1
32	том что в	2	1
33	на нее как	1	1
34	что ничто не	2	1
35	и потому что	1	1
36	он мог бы	1	1
37	этой точки зрения	4	1
38	это было бы	1	1
39	имеем в виду	1	1
40	подобно тому как	4	1
41	в том числе	1	1
42	никак не может	1	1
43	в этом случае	3	1
44	что он должен	1	1
45	что он не	2	1
46	что представляет собой	2	1
47	можно было ожидать	1	1
48	из того что	4	1
49	том числе и	1	1
50	между собой и	1	1
51	именно в этом	2	1
52	еще большей степени	1	1
53	с логической точки	1	1
54	первую очередь по	1	1
55	можно даже сказать	1	1
56	не совпадает с	1	1
57	в чем состоит	1	1
58	в первом случае	1	1
59	но не знает	1	1
60	таким образом и	1	1
61	к вопросу о	1	1
62	в себя и	1	1
63	в известном смысле	7	1
64	и по отношению	1	1
65	не могут быть	1	1
66	в связи с	1	1
67	исходит из того	1	1
68	так же точно	1	1
69	в первую очередь	1	1
70	логической точки зрения	1	1
71	так же как	7	1
72	тем или иным	2	1
73	на вопрос о	3	1
74	в то время	4	1
75	в еще большей	1	1
76	не менее чем	1	1
77	с этой точки	4	1
78	о том что	4	1
79	включает в себя	2	1
80	отношение к объекту	5	1
81	именно потому что	2	1
82	мы имеем в	1	1
83	они ни были	1	1
84	мере в какой	3	1
85	на деле его	1	1
86	той мере в	3	1
87	в той мере	3	1
88	для того чтобы	14	1
89	том что он	2	1
