N	3gram	Nazirov_Vr_1	Problema
1	о том что	1	9
2	с точки зрения	2	8
3	в том что	2	8
4	в связи с	3	7
5	в конце концов	1	6
6	тем не менее	1	5
7	с другой стороны	1	5
8	по крайней мере	1	4
9	в этом смысле	1	3
10	и то что	1	3
11	точно так же	1	3
12	а с другой	1	3
13	все же не	1	3
14	в то время	1	3
15	в русской литературе	3	3
16	как и у	3	2
17	равно как и	1	2
18	до сих пор	1	2
19	в это время	1	2
20	не может быть	2	2
21	во всяком случае	1	2
22	и о том	2	2
23	и никогда не	1	2
24	на то что	1	2
25	говорит о себе	1	1
26	то что я	1	1
27	о том как	1	1
28	имеется в виду	1	1
29	но для нас	1	1
30	в этом отношении	1	1
31	но это не	1	1
32	все же в	1	1
33	с тех пор	1	1
34	едва ли не	1	1
35	как раз в	2	1
36	но в то	2	1
37	на первый взгляд	1	1
38	и в этом	1	1
39	что у человека	1	1
40	или по крайней	1	1
41	не только как	1	1
42	что у него	1	1
43	то же время	4	1
44	это и есть	1	1
45	что в ней	1	1
46	связи с этим	1	1
47	уже в году	1	1
48	в то же	4	1
49	к себе на	1	1
50	и все же	5	1
51	в ту эпоху	1	1
