N	2gram	Kanaev_Sov_1	VeschiIm
1	не может	17	33
2	не только	4	31
3	может быть	12	29
4	и не	6	28
5	и в	7	26
6	и есть	2	23
7	это значит	1	22
8	значит что	1	22
9	а не	3	20
10	и следовательно	1	15
11	только в	1	14
12	что она	3	14
13	по себе	1	13
14	и что	2	13
15	все же	3	12
16	что это	2	12
17	есть не	1	12
18	сказать что	1	12
19	было бы	3	12
20	таким образом	11	11
21	что же	5	11
22	то же	3	10
23	что такое	2	10
24	уже не	2	10
25	в ней	1	10
26	как бы	4	10
27	бы то	1	9
28	прежде всего	5	9
29	в том	4	9
30	то ни	2	9
31	ни было	1	9
32	в самом	2	9
33	в себе	3	8
34	иное как	1	8
35	что иное	1	8
36	с ее	1	8
37	ничего не	6	8
38	не что	1	8
39	и это	1	8
40	но это	1	8
41	говорить о	2	7
42	не будет	1	7
43	и их	1	7
44	в этом	7	7
45	ли это	1	7
46	его в	1	7
47	и пр	2	7
48	в то	1	7
49	совершенно не	2	7
50	так как	4	7
51	том что	1	7
52	когда мы	3	6
53	жизни и	4	6
54	точки зрения	12	6
55	отличается от	3	6
56	крайней мере	1	6
57	по крайней	1	6
58	с ним	1	6
59	быть только	1	6
60	и только	1	6
61	что в	2	6
62	но если	1	6
63	должно быть	1	6
64	ясно что	3	6
65	она не	1	6
66	в результате	6	6
67	но что	1	6
68	но в	3	6
69	если мы	4	6
70	можно было	1	6
71	еще не	3	5
72	же это	4	5
73	того же	1	5
74	и для	1	5
75	не менее	2	5
76	отнюдь не	3	5
77	не в	3	5
78	а в	4	5
79	но не	1	5
80	это не	4	5
81	это и	1	5
82	у нас	3	5
83	свою очередь	2	5
84	тем не	2	5
85	только и	1	5
86	если бы	1	5
87	одна из	3	5
88	и до	1	5
89	чем же	1	5
90	в свою	2	5
91	же время	1	4
92	о том	1	4
93	как и	6	4
94	мы говорим	1	4
95	определенным образом	1	4
96	есть то	1	4
97	независимо от	1	4
98	мы не	9	4
99	то и	2	4
100	во всех	1	4
101	это что	1	4
102	между ними	1	4
103	нет и	4	4
104	и даже	2	4
105	в своем	1	4
106	с этим	2	4
107	говорить что	1	4
108	и потому	3	4
109	точка зрения	1	4
110	в и	2	4
111	и мы	3	4
112	с точки	5	4
113	быть и	2	4
114	с другой	1	4
115	должен быть	1	4
116	и все	3	4
117	из них	4	4
118	этот вопрос	1	4
119	и более	1	4
120	в данном	1	4
121	и чисто	1	3
122	вопрос о	4	3
123	на это	1	3
124	а это	1	3
125	себя самого	1	3
126	она может	2	3
127	в нем	3	3
128	и вообще	1	3
129	или как	1	3
130	в одном	3	3
131	вместе с	4	3
132	не важно	1	3
133	но как	1	3
134	явлений и	1	3
135	по самому	1	3
136	тот же	2	3
137	не быть	1	3
138	только на	1	3
139	один из	1	3
140	никогда не	1	3
141	мы имеем	1	3
142	принципиально не	2	3
143	к другому	1	3
144	и ни	1	3
145	ни о	1	3
146	мы видим	2	3
147	на этом	2	3
148	их в	4	3
149	несмотря на	1	3
150	все это	3	3
151	самом деле	2	3
152	и тогда	1	3
