N	3gram	Nazirov_Tv_1	Dialekti
1	и т д	1	15
2	в том что	6	9
3	что иное как	1	8
4	не что иное	1	8
5	по крайней мере	2	7
6	это значит что	1	7
7	то же время	12	6
8	в то же	13	6
9	но только не	1	2
10	равно как и	1	2
11	и в то	2	2
12	хотя бы и	1	2
13	и не мог	1	2
14	точно так же	2	2
15	то и другое	1	2
16	ту или иную	1	2
17	но в то	4	2
18	один из возможных	1	2
19	в свою очередь	1	2
20	что оно не	1	2
21	тем не менее	2	2
22	не может не	1	1
23	та же самая	2	1
24	дело в том	3	1
25	это-то и есть	1	1
26	у достоевского в	3	1
27	самом же деле	1	1
28	он не может	1	1
29	он видит и	1	1
30	в отличие от	1	1
31	он пришел к	1	1
32	все же это	1	1
33	и та же	2	1
34	можно сказать что	2	1
35	на самом же	1	1
36	некоторые из них	1	1
37	и тем не	1	1
38	как и на	1	1
39	в данном случае	2	1
40	не только в	2	1
41	такое время? время	1	1
42	в конце концов	1	1
43	и как бы	1	1
44	что он сам	1	1
45	в этот момент	1	1
46	на аршине пространства	1	1
47	в связи с	1	1
48	души и тела	1	1
49	я не могу	1	1
50	что такое время?	1	1
51	не мог не	1	1
52	а вместе с	1	1
53	имел в виду	1	1
54	лежащая в основе	1	1
55	одна и та	1	1
56	о том что	5	1
57	а что если	1	1
58	с другой стороны	1	1
59	это как бы	3	1
60	но это не	1	1
61	не значит что	1	1
62	в отношении к	1	1
63	по себе а	1	1
