N	2gram	Savitsky_P_1	NovoeSre
1	а не	2	17
2	и в	14	16
3	не может	4	16
4	и не	12	11
5	и есть	2	10
6	в эпоху	1	9
7	что в	4	9
8	в том	9	8
9	культуры и	1	7
10	в этом	10	7
11	может быть	5	7
12	как и	1	7
13	с его	1	6
14	не в	5	6
15	никогда не	1	6
16	должен быть	1	5
17	с ее	1	5
18	в ней	6	5
19	культуры в	2	5
20	и к	4	5
21	не только	17	5
22	в жизни	2	5
23	xix века	6	5
24	все это	2	5
25	в нем	3	5
26	быть может	6	4
27	и мы	2	4
28	государства и	1	4
29	в них	2	4
30	то что	4	4
31	это не	3	4
32	прежде всего	3	4
33	не было	2	4
34	должно быть	2	4
35	и потому	4	4
36	не менее	2	4
37	не имеет	1	4
38	потому что	3	4
39	народные массы	1	4
40	с другой	5	3
41	в ее	2	3
42	должна быть	1	3
43	вопрос о	1	3
44	еще не	1	3
45	во всех	2	3
46	в истории	1	3
47	наряду с	3	3
48	духа и	2	3
49	к ним	1	3
50	в мире	2	3
51	но и	6	3
52	не есть	1	3
53	и пр	5	3
54	не означает	1	3
55	с тем	3	3
56	к жизни	1	3
57	в россии	3	3
58	в прошлом	1	3
59	она не	1	3
60	в наши	1	3
61	которых не	1	2
62	и это	2	2
63	же как	1	2
64	связана с	1	2
65	века но	1	2
66	на путях	4	2
67	мы не	3	2
68	и с	2	2
69	для этого	1	2
70	мира а	1	2
71	стремление к	1	2
72	к духу	1	2
73	и что	1	2
74	и на	1	2
75	но не	3	2
76	с этим	2	2
77	xix век	2	2
78	духовного мира	1	2
79	помнить что	2	2
80	ни к	1	2
81	хотя и	3	2
82	но в	9	2
83	духа в	1	2
84	с одной	3	2
85	себя в	1	2
86	думать что	2	2
87	есть в	2	2
88	в себе	3	2
89	в судьбах	6	2
90	не могла	1	2
91	стремиться к	1	2
92	не будут	1	2
93	не к	2	2
94	что все	1	2
95	государство и	1	2
96	связаны с	1	2
97	русской революции	2	2
98	этом смысле	1	2
99	в природе	1	2
100	к более	1	2
101	народ русский	1	2
102	том что	4	2
103	всемирной истории	1	2
104	будет с	1	2
105	вместе с	1	2
106	так же	1	2
107	хозяйственной жизни	1	2
108	место в	1	2
109	мысли и	1	2
110	одной стороны	3	2
111	другой стороны	1	2
112	xviii века	1	2
113	но для	1	2
114	в смысле	6	2
115	в то	7	2
116	одна из	2	2
117	к духовному	1	2
118	того чтобы	1	2
119	в русском	2	2
120	хотя бы	8	2
121	а в	4	2
122	могут быть	3	2
123	не хотим	1	2
124	капитализм и	1	2
125	нужно помнить	2	1
126	ушла от	1	1
127	от этой	1	1
128	также что	1	1
129	коммунистической партии	1	1
130	и через	1	1
131	переход от	2	1
132	россию и	1	1
133	россии в	5	1
134	христианского мира	1	1
135	духа есть	1	1
136	по преимуществу	1	1
137	культуры на	1	1
138	был и	1	1
139	может идти	1	1
140	с собой	1	1
141	на нее	1	1
142	от истины	1	1
143	не с	1	1
144	по природе	1	1
145	века как	1	1
146	еще в	1	1
147	приобщается к	1	1
148	говорить о	2	1
149	верим в	1	1
150	оно есть	1	1
151	на себя	1	1
152	духовной и	1	1
153	в xix	2	1
154	вопрос об	1	1
155	в недрах	2	1
156	о тайнах	1	1
157	что его	1	1
158	россию от	1	1
159	в которую	2	1
160	россии и	4	1
161	вопросу о	1	1
162	переходит в	1	1
163	в его	2	1
164	в эти	1	1
165	отличие от	1	1
166	и только	1	1
167	востока и	1	1
168	в значительной	2	1
169	в своем	4	1
170	известном смысле	1	1
171	в формах	1	1
172	у в	1	1
173	и национальные	1	1
174	только в	7	1
175	и греческой	1	1
176	от европы	2	1
177	духовная почва	1	1
178	и такое	1	1
179	в самом	1	1
180	к чему	2	1
181	из этих	1	1
182	в известном	1	1
183	мира но	1	1
184	уже в	1	1
185	в большинстве	1	1
186	есть проблема	1	1
