N	2gram	Trubetskoy_1	DiskursI
1	в качестве	1	34
2	не только	7	28
3	в том	30	23
4	а не	1	22
5	то есть	2	20
6	тогда как	6	19
7	том что	19	19
8	может быть	16	17
9	как и	9	16
10	и в	23	16
11	в этом	12	15
12	еще не	5	14
13	но и	9	14
14	при этом	9	13
15	по своей	7	11
16	но не	2	11
17	прежде всего	3	11
18	и не	8	11
19	как в	1	10
20	далеко не	5	10
21	с другой	6	10
22	по отношению	9	9
23	в нем	3	9
24	не может	17	9
25	состоит в	1	9
26	с одной	3	9
27	одной стороны	2	9
28	в частности	2	9
29	отношению к	9	9
30	отнюдь не	2	8
31	но в	4	8
32	о том	7	8
33	так и	10	8
34	не было	2	7
35	в себе	5	7
36	то же	4	7
37	не в	8	7
38	в основе	2	7
39	роль в	1	7
40	со стороны	1	7
41	в его	5	7
42	только в	6	7
43	в своем	10	6
44	пока еще	1	6
45	и как	1	6
46	и на	6	5
47	во всех	10	5
48	отличие от	3	5
49	тому же	6	5
50	в силу	7	5
51	в котором	2	5
52	в их	4	5
53	в процессе	2	5
54	в себя	2	5
55	сводится к	2	5
56	или иной	1	5
57	а с	4	5
58	в данном	3	5
59	как бы	10	5
60	к тому	8	5
61	а в	3	5
62	то что	18	5
63	в своей	1	5
64	в которых	2	4
65	с его	1	4
66	в сторону	2	4
67	отношение к	4	4
68	в истории	3	4
69	и к	5	4
70	уже не	1	4
71	в целом	5	4
72	на его	1	4
73	лишь в	5	4
74	в них	2	4
75	потому что	9	4
76	могут быть	1	4
77	для себя	2	4
78	и т.д	4	4
79	же время	2	4
80	между тем	12	4
81	во втором	2	4
82	что он	7	4
83	для него	2	4
84	связи с	4	4
85	что в	8	4
86	также и	2	3
87	того же	9	3
88	и потому	3	3
89	в первом	1	3
90	имеет свою	1	3
91	столь же	5	3
92	различия между	3	3
93	с этим	11	3
94	перед нами	1	3
95	в самом	8	3
96	вследствие этого	2	3
97	зрения на	1	3
98	заключается в	2	3
99	это не	3	3
100	общения с	1	3
101	и того	3	3
102	точки зрения	13	3
103	в своих	2	3
104	однако в	1	3
105	в то	6	3
106	принадлежат к	1	3
107	к той	2	3
108	таким образом	31	3
109	должны быть	3	3
110	они и	1	3
111	как не	2	3
112	свою очередь	2	3
113	но при	1	3
114	и даже	1	3
115	что и	7	3
116	хотя бы	4	3
117	из них	5	3
118	к ним	2	3
119	тем что	1	3
120	именно в	5	3
121	имеет место	2	3
122	мира в	1	3
123	по своему	5	3
124	того что	6	3
125	один из	1	3
126	все же	13	3
127	в свою	2	3
128	сказать что	1	3
129	другой стороны	5	3
130	одним из	4	2
131	например в	1	2
132	в сущности	2	2
133	на себя	1	2
134	в виду	2	2
135	между собой	4	2
136	в различных	1	2
137	но как	2	2
138	как к	5	2
139	что касается	6	2
140	хотя и	4	2
141	целый ряд	4	2
142	с понятием	1	2
143	более или	7	2
144	не приходится	1	2
145	в тех	3	2
146	в этой	6	2
147	не следует	1	2
148	в принципе	1	2
149	том чтобы	2	2
150	и по	3	2
151	на этом	2	2
152	в каждом	1	2
153	различие между	1	2
154	и тем	1	2
155	иначе говоря	4	2
156	одного и	3	2
157	или менее	7	2
158	при встрече	1	2
159	и без	5	2
160	не от	1	2
161	мысли и	1	2
162	по крайней	1	2
163	то с	2	2
164	не менее	7	2
165	что с	5	2
166	в науке	1	2
167	к такому	2	2
168	нельзя не	1	2
169	и его	1	2
170	однако это	2	2
171	крайней мере	1	2
172	уже о	1	2
173	отличается от	6	2
174	же самое	1	2
175	числе и	1	2
176	частной жизни	1	2
177	не есть	2	2
178	как мы	2	2
179	с ее	2	2
180	говоря уже	1	2
181	данном случае	3	2
182	приводит к	1	2
183	на том	2	2
184	же касается	2	2
185	по этой	1	2
186	в другом	2	2
187	строго говоря	1	2
188	и вообще	3	2
189	во всяком	2	2
190	и что	8	2
191	в значительной	1	2
192	это было	1	2
193	них в	2	2
194	позднее и	1	2
195	а позднее	1	2
196	в разные	1	2
197	и ее	2	2
198	современной культуры	1	2
199	тот или	1	2
200	есть в	2	2
201	уже в	1	2
202	свидетельствует о	1	2
203	в равной	1	2
204	заметить что	1	2
205	следует признать	1	2
206	никогда не	4	2
207	бы это	1	2
208	из двух	2	2
209	к которому	1	2
210	а сам	1	2
211	зависит от	1	2
212	одну из	1	2
213	к его	1	2
214	что же	2	2
215	жизни в	1	2
216	в культуре	1	2
217	в особом	1	2
218	в начале	2	2
219	рассматривать как	2	2
220	не имея	1	2
221	о котором	7	2
222	своей собственной	1	2
223	и все	7	2
224	не более	2	2
225	будто бы	1	2
226	не говоря	1	2
227	они не	2	2
228	к этому	5	2
229	том числе	1	2
230	второй из	1	1
231	как известно	3	1
232	мы к	1	1
233	и то	4	1
234	этом пункте	1	1
235	самом деле	12	1
236	на самом	7	1
237	науки о	1	1
238	это и	1	1
239	и должны	1	1
240	от своей	2	1
241	и до	3	1
242	из его	1	1
243	и должен	1	1
244	той же	1	1
245	нам всегда	2	1
