N	2gram	Voloshinov_1	Analitik
1	не только	7	22
2	и в	16	18
3	как и	2	14
4	так и	4	14
5	в этом	9	14
6	и его	8	13
7	но и	4	13
8	том что	3	12
9	в качестве	1	12
10	и не	4	12
11	в частности	2	12
12	при этом	6	11
13	а в	3	10
14	как бы	5	10
15	что в	3	9
16	может быть	17	9
17	со стороны	1	9
18	а не	1	9
19	в том	3	9
20	с его	7	8
21	не случайно	1	8
22	и даже	4	8
23	как раз	1	7
24	в его	4	7
25	с другой	1	7
26	но не	1	7
27	и самого	1	6
28	еще не	5	6
29	в этой	4	6
30	он не	2	6
31	к тому	1	6
32	для него	6	6
33	о том	2	6
34	в начале	2	6
35	того же	2	5
36	той же	1	5
37	мы имеем	1	5
38	как нам	1	5
39	в самом	2	5
40	лишь в	1	5
41	однако в	1	5
42	в мире	1	5
43	или иной	1	5
44	в сущности	1	5
45	что и	2	5
46	уже не	1	5
47	в конце	1	5
48	никогда не	2	5
49	и т.п	2	5
50	в свою	1	5
51	прежде всего	9	5
52	я в	1	5
53	и на	4	4
54	столь же	1	4
55	что он	2	4
56	отнюдь не	4	4
57	и как	3	4
58	что по	1	4
59	и к	6	4
60	таким образом	9	4
61	приводит к	1	4
62	в итоге	2	4
63	в одном	3	4
64	имеем дело	1	4
65	не менее	2	4
66	в пределах	2	4
67	и сам	1	4
68	внимание на	1	4
69	можно сказать	4	4
70	крайней мере	3	4
71	себя в	1	4
72	не есть	2	4
73	по крайней	3	4
74	в данном	1	4
75	все же	1	4
76	с новыми	1	3
77	я и	6	3
78	едва ли	3	3
79	по его	1	3
80	его не	1	3
81	мы не	2	3
82	всех без	1	3
83	говорить о	2	3
84	уже в	1	3
85	о смерти	1	3
86	но как	2	3
87	что они	1	3
88	в рамках	1	3
89	с этим	2	3
90	из этих	2	3
91	с их	3	3
92	роль в	1	3
93	нашего времени	2	3
94	подобно тому	1	3
95	в году	1	3
96	без исключения	1	3
97	то же	2	3
98	не будет	2	3
99	его в	4	3
100	и того	1	3
101	одного и	1	3
102	точки зрения	8	3
103	все это	4	3
104	только не	1	3
105	ничего не	1	3
106	той или	1	3
107	с ее	4	3
108	говорит и	1	3
109	данном случае	1	3
110	путь к	2	3
111	было бы	2	3
112	дело с	1	3
113	на языке	1	3
114	во всем	1	3
115	этом отношении	1	3
116	что не	2	3
117	не всегда	1	3
118	как это	3	3
119	известной степени	1	3
120	по поводу	1	3
121	к этому	2	3
122	во сне	2	3
123	отношения к	3	2
124	самом деле	6	2
125	а для	1	2
126	целого в	1	2
127	в ней	1	2
128	во всех	3	2
129	со всеми	2	2
130	конечном счете	2	2
131	в общем	3	2
132	это и	1	2
133	на первой	1	2
134	нам кажется	2	2
135	когда он	1	2
136	но в	4	2
137	все эти	5	2
138	на его	1	2
139	что она	1	2
140	в нем	4	2
141	и вот	3	2
142	о его	1	2
143	свое время	1	2
144	и по	2	2
145	и ту	1	2
146	входит в	1	2
147	в жизни	2	2
148	в них	2	2
149	с тем	1	2
150	несмотря на	1	2
151	с точки	6	2
152	возникает в	2	2
153	дело в	1	2
154	одна из	1	2
155	на два	2	2
156	без остатка	1	2
157	обратим внимание	1	2
158	сводится к	2	2
159	в момент	1	2
160	могут быть	3	2
161	его за	1	2
162	в себя	1	2
163	те же	3	2
164	и здесь	1	2
165	и т.д	1	2
166	любви к	1	2
167	в конечном	3	2
168	один из	2	2
169	только в	4	2
170	и ее	4	2
171	с одной	1	2
172	для всех	4	2
173	с нею	2	2
174	в большинстве	3	2
175	всяком случае	3	2
176	нуждается в	5	2
177	мы можем	9	2
178	одной стороны	1	2
179	и прежде	1	2
180	говорит о	1	2
