N	2gram	Tiupa_Lite_1	UchenyiS
1	и в	8	14
2	а не	16	10
3	не только	24	10
4	прежде всего	11	8
5	и не	12	8
6	не может	5	7
7	в этом	12	7
8	то что	10	7
9	эстетического объекта	6	6
10	может быть	13	6
11	в искусстве	2	6
12	то же	5	5
13	и только	2	5
14	художественное произведение	2	5
15	в художественном	4	5
16	хотя бы	2	5
17	перестает быть	4	5
18	художественного творчества	3	5
19	с другой	3	4
20	но и	17	4
21	что такое	2	4
22	в их	3	4
23	в конечном	5	4
24	в россии	2	4
25	конечном счете	4	4
26	в этой	4	4
27	то ни	1	3
28	и то	2	3
29	это не	4	3
30	было бы	2	3
31	как и	6	3
32	для этого	4	3
33	в частности	15	3
34	в своей	4	3
35	и т.д	1	3
36	бы то	1	3
37	очевидно что	1	3
38	произведения искусства	3	3
39	в то	5	3
40	все же	4	3
41	но в	3	3
42	же время	5	3
43	в области	3	3
44	другой стороны	1	3
45	для него	2	3
46	не как	4	3
47	ни было	1	3
48	не о	1	3
49	как такового	1	3
50	крайней мере	1	2
51	одним из	5	2
52	и с	1	2
53	художественного произведения	1	2
54	материала и	1	2
55	до сих	1	2
56	а как	2	2
57	это было	1	2
58	самом деле	2	2
59	художественных произведений	1	2
60	в итоге	1	2
61	должна быть	2	2
62	в некоторых	1	2
63	превращается в	2	2
64	мы не	1	2
65	на эту	1	2
66	если бы	1	2
67	не столько	5	2
68	если не	1	2
69	том что	14	2
70	на первый	1	2
71	сводится к	3	2
72	но даже	1	2
73	нам представляется	1	2
74	с его	5	2
75	но не	4	2
76	в сторону	1	2
77	в его	7	2
78	по крайней	1	2
79	по существу	1	2
80	что и	1	2
81	более чем	3	2
82	сих пор	1	2
83	могли бы	1	2
84	в том	16	2
85	тех или	1	2
86	это уже	2	2
87	что он	5	2
88	в себе	7	2
89	искусства как	2	2
90	при таком	1	2
91	в самом	3	2
92	между тем	2	2
93	и у	1	2
94	только в	8	2
95	не в	8	2
96	для всех	1	2
97	и является	2	2
98	все они	2	2
99	не есть	2	2
100	этом отношении	2	2
101	или иных	1	2
102	могут быть	2	2
103	в конце	4	2
104	не случайно	2	2
105	как раз	4	2
106	тем что	2	2
107	таким образом	3	2
108	художественного задания	1	2
109	для себя	5	1
110	поэзии и	2	1
111	же как	1	1
112	в исторической	1	1
113	не делает	1	1
114	но по	1	1
115	человека и	2	1
116	то есть	6	1
117	в виду	3	1
118	взгляд представляется	1	1
119	данном случае	4	1
120	или иначе	9	1
121	претензии на	1	1
