N	2gram	Bakhtin_Fr_5	Vladivir
1	и в	45	40
2	то что	2	28
3	не только	14	25
4	и не	15	25
5	у него	4	24
6	то есть	25	24
7	том что	7	18
8	в том	10	18
9	но и	10	18
10	еще и	3	18
11	также и	7	17
12	что в	12	17
13	в этом	14	16
14	в его	13	14
15	не может	5	14
16	в виде	1	13
17	точки зрения	4	13
18	вовсе не	8	13
19	только в	4	13
20	в конце	7	12
21	а именно	2	12
22	сказать что	4	12
23	никогда не	1	11
24	потому что	7	11
25	таким образом	8	11
26	о том	4	11
27	в году	3	10
28	не просто	1	10
29	ни в	3	10
30	тем не	1	10
31	и его	13	10
32	то это	1	10
33	прежде всего	10	10
34	как раз	5	10
35	и потому	1	10
36	западной философии	1	9
37	что это	2	9
38	в себе	1	9
39	и с	10	9
40	в своей	3	9
41	не менее	3	9
42	под названием	2	9
43	как мы	8	8
44	в своем	11	8
45	в этой	6	8
46	он не	6	8
47	и что	2	8
48	а также	4	8
49	раз и	1	8
50	для него	3	8
51	может быть	2	8
52	а не	4	8
53	так же	8	8
54	хотя и	5	7
55	и как	5	7
56	и если	2	7
57	что все	2	7
58	с тем	2	7
59	как и	10	7
60	несмотря на	2	7
61	необходимо сказать	1	7
62	в то	11	7
63	что и	7	7
64	того что	3	7
65	так как	6	7
66	вместе с	3	7
67	к тому	2	7
68	а в	4	7
69	и на	5	6
70	кроме того	4	6
71	то в	1	6
72	не будет	1	6
73	не мог	4	6
74	с точки	2	6
75	и это	4	6
76	и от	4	6
77	так и	6	6
78	об этом	4	6
79	и здесь	4	6
80	и даже	4	6
81	если не	1	6
82	xix века	1	6
83	да и	1	6
84	но это	5	6
85	хотя бы	2	6
86	мы уже	4	5
87	в ней	8	5
88	тут же	2	5
89	в истории	2	5
90	все эти	5	5
91	тому же	4	5
92	можно было	4	5
93	в отношении	2	5
94	дело в	3	5
95	тем что	1	5
96	ничего не	4	5
97	у нас	1	5
98	ничего общего	1	5
99	еще в	2	5
100	что он	6	5
101	в одном	3	5
