N	2gram	Bakhtin_sl_1	Retstnzi
1	не может	14	4
2	и в	41	3
3	один из	4	2
4	себя от	2	1
5	то же	14	1
6	с другими	5	1
7	почти с	1	1
8	не из	2	1
9	во внехудожественной	1	1
10	в системе	1	1
11	в ней	4	1
12	может быть	14	1
13	и заставляет	2	1
14	литературного языка	20	1
15	из этих	3	1
16	и не	16	1
17	в его	13	1
18	художественной прозе	2	1
19	тех же	1	1
20	подхода к	5	1
21	он в	5	1
22	связи с	2	1
23	конечно и	2	1
24	не только	16	1
25	с точки	8	1
26	в каждом	4	1
27	не менее	1	1
28	для него	3	1
29	поставить в	1	1
30	если бы	1	1
31	с теми	1	1
32	о художественной	1	1
33	не оказать	1	1
34	тому что	2	1
35	при анализе	1	1
36	грамматических категорий	1	1
37	язык как	3	1
38	нет и	1	1
39	к тому	3	1
40	в особенности	8	1
41	несмотря на	1	1
42	смысл и	1	1
43	и все	4	1
44	в то	14	1
45	конкретного осуществления	1	1
46	бы в	1	1
47	речь и	3	1
48	без учета	1	1
49	художественного произведения	1	1
50	языка как	4	1
51	но и	16	1
52	точки зрения	16	1
53	влияния на	3	1
54	и на	14	1
55	может не	8	1
56	мы видим	2	1
57	в языке	5	1
58	же время	12	1
59	риторических форм	2	1
60	по своим	6	1
61	а не	15	1
