N	2gram	Tiupa_Lite_2	Russkaja
1	не может	9	22
2	и не	11	19
3	в том	10	17
4	в этом	9	17
5	и в	19	14
6	то что	7	13
7	то же	12	11
8	точки зрения	4	11
9	таким образом	1	11
10	в то	9	10
11	же время	9	10
12	но и	10	10
13	в себе	6	9
14	не только	8	9
15	том что	7	9
16	с точки	3	9
17	может быть	17	9
18	того чтобы	1	8
19	прежде всего	4	8
20	как на	3	8
21	самом деле	1	7
22	отнюдь не	4	7
23	и с	3	7
24	в данном	3	7
25	к тому	1	7
26	о том	2	7
27	ни к	1	7
28	если в	2	6
29	в своем	1	6
30	и к	2	6
31	в россии	2	6
32	с тем	2	6
33	в своих	2	6
34	и для	3	6
35	для того	2	6
36	что он	3	6
37	для всех	5	6
38	для него	4	6
39	на самом	1	6
40	и на	6	5
41	во имя	2	5
42	во всех	3	5
43	на то	1	5
44	в нем	3	5
45	при этом	6	5
46	он не	5	5
47	он должен	1	5
48	было бы	2	5
49	в своей	1	5
50	никогда не	3	5
51	потому что	2	5
52	лишь при	1	5
53	а потому	2	5
54	и только	2	5
55	хотя бы	2	5
56	или иной	1	5
57	себя и	2	5
58	из которых	2	5
59	по существу	3	5
60	а в	3	5
61	жизни в	4	5
62	и то	3	4
63	бы то	1	4
64	но не	5	4
65	себе и	3	4
66	себя в	6	4
67	все же	2	4
68	не в	4	4
69	в этой	3	4
70	на земле	1	4
71	то ни	1	4
72	что такой	1	4
73	его в	1	4
74	как и	10	4
75	которой он	1	4
76	в их	3	4
77	во всем	1	4
78	не могут	1	4
79	приводит к	1	4
80	в мире	9	4
81	можно было	1	4
82	и т.д	7	4
83	путь к	2	4
84	в его	4	4
85	советской власти	1	4
86	так как	3	4
87	со стороны	3	4
88	вместе с	5	4
89	что же	1	4
90	как бы	2	4
91	жизни и	4	4
92	что в	4	4
93	к этой	2	4
94	все что	2	4
95	и т	2	3
96	то в	2	3
97	советской россии	1	3
98	в будущем	1	3
99	еще не	2	3
100	он сам	1	3
101	самих себя	1	3
102	в самом	1	3
103	что это	1	3
104	на том	1	3
105	и по	1	3
106	в другом	3	3
107	всех этих	1	3
108	том чтобы	3	3
109	одна из	5	3
110	связи с	1	3
111	в сознании	1	3
112	той или	1	3
113	приходит к	1	3
114	данном случае	3	3
115	что может	1	3
116	для этого	2	3
117	сводится к	1	3
118	при котором	1	3
119	но мы	1	3
120	что и	2	3
121	того что	5	3
122	одной из	2	3
123	в качестве	5	3
124	тем чтобы	1	3
125	из них	2	3
126	в конце	2	3
127	друг друга	2	3
128	тем что	4	3
129	именно в	1	3
130	не было	2	3
131	и потому	1	3
132	культуры в	1	3
133	этом случае	2	3
134	конце концов	1	3
135	и как	3	3
136	из этого	1	3
137	себя как	2	2
138	речь идет	3	2
139	зависимость от	2	2
140	от своей	1	2
141	должна быть	1	2
142	из всех	1	2
143	на себя	2	2
144	но даже	1	2
145	в ней	4	2
146	в таком	1	2
147	взгляде на	1	2
148	по отношению	4	2
149	тогда как	9	2
150	существование в	2	2
151	не просто	1	2
152	по воле	1	2
153	и наконец	2	2
154	но в	2	2
155	не можем	1	2
156	все эти	1	2
157	во многих	1	2
158	и те	1	2
159	сами эти	1	2
160	состоит в	9	2
161	не к	2	2
162	и вот	1	2
163	в глазах	3	2
164	такое соединение	1	2
165	русской культуры	1	2
166	в этих	1	2
167	место в	1	2
168	собой все	1	2
169	их в	1	2
170	тому что	1	2
171	для нас	2	2
172	у него	2	2
173	на россию	1	2
174	в области	4	2
175	свое собственное	1	2
176	всю свою	1	2
177	для себя	2	2
178	и о	1	2
179	культуры и	1	2
180	во главе	1	2
181	за то	2	2
182	и что	2	2
183	любви к	1	2
184	от него	1	2
185	речь шла	1	2
186	что только	1	2
187	так что	4	2
188	уже не	2	2
189	только на	1	2
190	в начале	3	2
191	не так	2	2
192	чтобы она	1	2
193	к той	1	2
194	в других	1	2
195	даже и	2	2
196	и даже	8	2
197	а с	1	2
198	а не	20	2
199	в частности	4	2
200	так же	1	2
201	отношения к	1	2
202	есть и	1	2
203	но это	3	2
204	и от	1	2
205	в результате	2	2
206	в зависимость	1	2
207	с ним	2	2
208	отношении к	1	2
209	не играет	1	2
210	и состоит	1	2
211	ее в	1	2
212	тем самым	3	2
213	с новыми	1	1
214	в сфере	4	1
