N	3gram	Kanaev_Sov_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	5	8
3	это значит что	1	8
4	в том что	1	6
5	и та же	1	4
6	в связи с	1	4
7	одна и та	1	4
8	то же время	1	4
9	и может быть	1	3
10	что иное как	1	3
11	не может не	3	3
12	в самом деле	1	3
13	сами по себе	1	3
14	в то же	1	3
15	может быть и	2	3
16	не что иное	1	3
17	не может быть	4	3
18	мы уже знаем	1	3
19	может быть в	1	3
20	до сих пор	1	2
21	в зависимости от	4	2
22	может быть только	1	2
23	в данном случае	1	2
24	как мы это	1	2
25	тем не менее	2	2
26	не могут быть	1	2
27	или как он	1	2
28	во всяком случае	2	2
29	есть не что	1	2
30	с самого начала	3	2
31	но ведь это	1	2
32	времени и пространства	2	2
33	и прежде всего	1	2
34	то же самое	2	2
35	точки зрения и	1	1
36	вне времени и	2	1
37	уже знаем что	1	1
38	в обоих случаях	1	1
39	мы говорим о	1	1
40	но только не	1	1
41	равно как и	1	1
42	на самом деле	1	1
43	и до сих	1	1
44	в этом смысле	1	1
45	одной стороны и	1	1
46	и не может	1	1
47	и в то	1	1
48	бы то ни	1	1
49	сказать несколько слов	1	1
50	от всяких условий	1	1
51	значит что она	1	1
52	а в конце	1	1
53	и это конечно	1	1
54	со всеми его	1	1
55	так же как	1	1
56	не в том	1	1
57	с одной стороны	1	1
58	но мы уже	1	1
59	в том как	1	1
60	и в этом	1	1
61	все более и	1	1
62	когда мы говорим	1	1
63	а не только	1	1
64	в свое время	1	1
65	именно в том	1	1
66	из многих его	1	1
67	друг с другом	2	1
68	более и более	1	1
69	той или иной	1	1
70	но все же	1	1
71	но все эти	1	1
72	она не может	1	1
73	ли он в	1	1
