N	3gram	Tiupa_Vved_1	Problema
1	тем не менее	3	10
2	в том что	3	9
3	той или иной	2	8
4	то же самое	1	7
5	в связи с	1	7
6	в данном случае	6	7
7	сами по себе	1	6
8	во всяком случае	1	6
9	и в этом	1	6
10	в этом случае	1	5
11	по крайней мере	1	5
12	с другой стороны	1	5
13	не может быть	3	5
14	с той или	1	5
15	что иное как	1	4
16	в таком случае	1	4
17	в то же	4	4
18	той или другой	1	4
19	не что иное	1	4
20	не было бы	1	3
21	можно было бы	2	3
22	здесь не в	1	3
23	содержит в себе	1	3
24	как будто бы	3	3
25	само по себе	1	3
26	то есть в	1	3
27	о том что	4	3
28	уж во всяком	1	3
29	на этот раз	1	3
30	хотя и не	1	2
31	в той или	1	2
32	в настоящее время	1	2
33	о том как	1	2
34	и если мы	1	2
35	в отличие от	2	2
36	но и в	2	2
37	том или ином	1	2
38	отнюдь не является	1	2
39	в том или	1	2
40	не только в	2	2
41	на первый взгляд	1	2
42	несет на себе	1	2
43	но только в	1	2
44	на самом деле	3	2
45	и тем самым	2	2
46	можно сказать что	1	2
47	друг от друга	1	2
48	могло бы быть	1	2
49	как мы видели	2	2
50	то есть с	1	2
51	если бы он	1	1
52	но тут же	1	1
53	и того же	1	1
54	на котором он	1	1
55	герой нашего времени	1	1
56	а не в	1	1
57	более или менее	2	1
58	выражается в слове	1	1
59	в котором он	1	1
60	мы не должны	1	1
61	в первой главе	1	1
62	к тому или	1	1
63	из того что	1	1
64	но это не	1	1
65	а то и	2	1
66	во всей его	1	1
67	как он сам	1	1
68	войне и мире	2	1
69	мы читаем о	1	1
70	как и в	2	1
71	может быть не	3	1
72	в том чтобы	2	1
73	если бы мы	1	1
74	тому или иному	1	1
75	с одной стороны	5	1
76	в смысловом отношении	1	1
77	но при этом	2	1
78	другим потому что	2	1
79	во втором случае	1	1
80	в евгении онегине	1	1
81	благодаря тому что	1	1
82	на второй план	1	1
83	все же не	1	1
84	тем же самым	1	1
85	в нем не	1	1
86	может быть несколько	1	1
87	но и с	1	1
88	лермонтова герой нашего	1	1
89	но если бы	1	1
90	вовсе еще не	1	1
91	быть не только	1	1
92	и все же	4	1
93	и для нас	1	1
94	в войне и	2	1
95	мы не можем	1	1
96	и особенно в	1	1
97	то что мы	1	1
98	сказать и о	1	1
99	в первом случае	1	1
100	речь идет о	1	1
101	по сути дела	1	1
102	которая может быть	1	1
103	но на этот	1	1
104	на то что	1	1
105	одного и того	1	1
106	в этих случаях	2	1
107	к тому же	4	1
