N	3gram	Vinokur_Ku_3	Stilisti
1	в то же	1	9
2	в зависимости от	7	7
3	то же время	1	7
4	для того чтобы	11	7
5	с точки зрения	16	5
6	того или иного	3	5
7	прежде всего в	1	4
8	то же самое	1	4
9	ту или иную	1	4
10	то что мы	1	4
11	в свою очередь	1	4
12	той или иной	5	4
13	на самом деле	3	3
14	в этом случае	4	3
15	но и в	1	3
16	то или иное	2	3
17	не только в	3	3
18	но для того	1	3
19	но все же	1	3
20	как мы видели	2	3
21	само собой разумеется	1	2
22	и той же	1	2
23	тех случаях когда	1	2
24	и в то	1	2
25	вместе с тем	1	2
26	и в области	3	2
27	тот или иной	2	2
28	смысле этого слова	2	2
29	зависимости от того	3	2
30	чуть ли не	1	2
31	решительно ничего не	1	2
32	не должно быть	1	2
33	то же слово	1	2
34	не может быть	3	2
35	в тех случаях	1	2
36	и тем же	2	2
37	о том что	3	2
38	в связи с	4	2
39	к тому что	1	2
40	одной и той	1	2
41	тех или иных	1	2
42	тому что мы	1	1
43	в другом месте	1	1
44	и того же	2	1
45	нужно помнить что	1	1
46	двух точек зрения	1	1
47	и к тому	1	1
48	что мы в	1	1
49	одним и тем	2	1
50	по отношению к	2	1
51	более или менее	2	1
52	не говоря уже	2	1
53	в самом деле	11	1
54	и в отношении	1	1
55	не может обойтись	1	1
56	как раз и	2	1
57	и при этом	1	1
58	до сих пор	8	1
59	не надо думать	1	1
60	на минуту не	1	1
61	от того в	1	1
62	в собственном смысле	1	1
63	слов и выражений	2	1
64	не иначе как	1	1
65	мы видели есть	1	1
66	можно было бы	10	1
67	с нашей точки	1	1
68	на этот вопрос	1	1
69	то у нас	2	1
70	здесь же мы	1	1
71	по крайней мере	1	1
72	относится к внешней	1	1
73	значением слова и	1	1
74	в наши дни	1	1
75	в плоть и	1	1
76	язык вовсе не	1	1
77	хотя бы и	1	1
78	если мы возьмем	1	1
79	в процессе развития	1	1
80	в нашем смысле	2	1
81	мы наблюдаем в	1	1
82	тому или иному	1	1
83	с другими формами	1	1
84	именно так и	1	1
85	ответа на вопрос	1	1
86	и не могут	1	1
87	само слово как	1	1
88	и в этом	4	1
89	тем не менее	9	1
90	ни на минуту	1	1
91	или иной смысл	1	1
92	на вопросе о	1	1
93	собственном смысле слова	1	1
94	чем ближе он	1	1
95	на вопрос о	1	1
96	говорить и с	1	1
97	если мы будем	1	1
98	ничего удивительного что	1	1
99	это еще не	1	1
100	мы не можем	1	1
101	с какой точки	1	1
102	плоть и кровь	1	1
103	само по себе	1	1
104	в конечном счете	1	1
105	не только не	1	1
106	это отнюдь не	1	1
107	и в действительной	1	1
108	и не может	1	1
109	ни в какой	2	1
110	средством человеческого общения	1	1
111	тогда когда мы	1	1
112	нашей точки зрения	1	1
113	увидим ниже с	1	1
114	только тогда когда	4	1
115	мы имеем в	1	1
116	с другой стороны	3	1
117	как мы видим	1	1
118	только в том	2	1
119	они как бы	1	1
120	одного и того	2	1
121	уже не только	2	1
122	мы приходим к	1	1
123	не будет уже	1	1
124	теперь же мы	1	1
125	важную роль играет	1	1
126	в том что	8	1
127	именно потому что	1	1
128	этот вопрос в	1	1
129	и в вопросе	1	1
130	мы увидим что	1	1
131	отражается не только	1	1
