N	3gram	Potebnia_M_2	Otkroven
1	природы но и	1	3
2	для того чтобы	2	3
3	и в этом	1	2
4	это было бы	1	2
5	что у него	1	2
6	не может быть	2	2
7	не могут быть	3	2
8	с тем что	1	2
9	смысле этого слова	3	1
10	по сравнению с	1	1
11	остается и в	1	1
12	не в том	2	1
13	потому что в	1	1
14	друг к другу	1	1
15	того чтобы сделать	1	1
16	и в душе	1	1
17	есть не только	1	1
18	о том как	1	1
19	и не может	1	1
20	во всяком случае	7	1
21	не могут и	1	1
22	было для него	2	1
23	том случае если	1	1
24	сам по себе	4	1
25	это так что	1	1
26	даже и в	1	1
27	само по себе	2	1
28	после того как	2	1
29	тем что у	1	1
30	о том что	1	1
31	то что в	2	1
32	как это часто	1	1
33	есть одно из	1	1
34	и в самом	1	1
35	ни с какими	1	1
36	заключает в себе	4	1
37	в том что	7	1
38	на то что	3	1
39	того что человек	1	1
40	и не в	1	1
41	в том случае	1	1
42	или лучше сказать	1	1
43	как и в	1	1
44	от того что	4	1
45	в одно время	4	1
46	все что есть	1	1
