N	2gram	Tiupa_Disk_2	SlovoVZh
1	не может	9	16
2	может быть	16	14
3	точки зрения	4	14
4	как бы	4	13
5	и его	3	13
6	таким образом	1	12
7	и в	16	12
8	по отношению	4	11
9	в нашем	1	11
10	отношению к	4	11
11	и не	15	10
12	прежде всего	7	8
13	художественного произведения	1	7
14	сказать что	1	7
15	в ней	2	6
16	в том	8	6
17	только в	3	6
18	при этом	17	6
19	в нем	7	6
20	слова и	1	6
21	в процессе	1	6
22	должна быть	2	5
23	то же	6	5
24	можно сказать	3	5
25	отнюдь не	6	5
26	как в	8	5
27	но в	11	5
28	и др	1	5
29	в жизни	1	5
30	а не	14	5
31	как и	16	5
32	и следовательно	1	5
33	том что	10	5
34	никогда не	2	5
35	то что	5	5
36	мы все	1	4
37	за пределы	1	4
38	в этом	16	4
39	все же	6	4
40	в самом	1	4
41	уже не	3	4
42	не только	10	4
43	ни было	1	4
44	отношение к	2	4
45	так и	9	4
46	с другой	5	4
47	не в	3	4
48	его в	3	4
49	дело в	2	4
50	жизни и	3	4
51	и на	5	4
52	здесь не	2	3
53	самом деле	1	3
54	формы и	1	3
55	в котором	3	3
56	в пределах	4	3
57	еще не	6	3
58	мы не	1	3
59	о том	4	3
60	и герой	1	3
61	бы то	1	3
62	но и	11	3
63	между тем	2	3
64	точка зрения	1	3
65	того что	1	3
66	быть и	1	3
67	когда он	1	3
68	и наконец	3	3
69	и ее	3	3
70	все эти	3	3
71	только на	1	3
72	в себе	19	3
73	в поэзии	1	3
74	слово в	1	3
75	да и	1	3
76	в творчестве	3	3
77	для него	5	3
78	он должен	1	3
79	не к	2	3
80	внутренней речи	3	3
81	то ни	1	3
82	и с	2	3
83	точек зрения	1	3
84	ни в	7	3
85	в некоторых	1	3
86	в них	3	3
87	в своей	6	3
88	в такой	1	3
89	тем не	1	3
90	и более	1	3
91	из этого	1	3
92	не менее	7	3
93	все это	2	3
94	но для	1	3
95	и для	2	3
96	бы мы	1	3
97	с ним	1	3
98	или не	1	3
99	на границе	1	3
100	и то	4	2
101	как это	1	2
102	опираясь на	1	2
103	в себя	2	2
104	действия и	1	2
105	по природе	2	2
106	на материале	1	2
107	мы имеем	2	2
108	мы в	1	2
109	совпадает с	2	2
110	и здесь	1	2
111	творящего и	1	2
112	возможна только	1	2
113	с его	6	2
114	и что	1	2
115	нас же	1	2
116	в чем	1	2
117	тем как	1	2
