N	2gram	Nazirov_Vr_1	UchenyiS
1	и в	8	14
2	не только	9	10
3	и не	5	8
4	прежде всего	1	8
5	в этом	8	7
6	не может	2	7
7	то что	7	7
8	может быть	4	6
9	все это	4	5
10	то же	5	5
11	в их	1	4
12	с другой	1	4
13	но и	7	4
14	в этой	2	4
15	в россии	5	4
16	в своей	2	3
17	все же	6	3
18	в то	5	3
19	же время	5	3
20	по нашему	3	3
21	в частности	1	3
22	к сожалению	1	3
23	другой стороны	1	3
24	для него	2	3
25	но в	6	3
26	вряд ли	1	3
27	и то	2	3
28	было бы	1	3
29	и т.д	1	3
30	это не	4	3
31	нашему мнению	1	3
32	как и	6	3
33	одним из	3	2
34	а между	1	2
35	для всех	1	2
36	в себе	2	2
37	мы получаем	1	2
38	и с	6	2
39	же не	2	2
40	нас в	1	2
41	конце концов	1	2
42	в итоге	1	2
43	но не	1	2
44	с его	3	2
45	ничего не	1	2
46	и у	3	2
47	этом смысле	1	2
48	тем что	3	2
49	о чем	2	2
50	их и	1	2
51	не все	1	2
52	крайней мере	1	2
53	это было	1	2
54	что он	4	2
55	в том	3	2
56	между тем	5	2
57	а о	1	2
58	таким образом	2	2
59	на первый	2	2
60	по крайней	1	2
61	всех этих	1	2
62	в его	3	2
63	сих пор	1	2
64	как раз	2	2
65	могут быть	1	2
66	его и	2	2
67	в самом	1	2
68	в сторону	1	2
69	этом отношении	1	2
70	в конце	3	2
71	но это	2	2
72	не есть	1	2
73	том что	3	2
74	до сих	1	2
75	это то	1	1
76	в процессе	1	1
77	и что	8	1
78	до конца	1	1
79	в качестве	1	1
80	он не	3	1
81	без труда	1	1
82	об этом	5	1
83	свое место	1	1
84	еще раз	1	1
85	отнюдь не	2	1
86	один пример	1	1
87	все что	1	1
88	он ставит	1	1
89	материал и	1	1
90	ничуть не	1	1
91	бы в	1	1
92	по его	1	1
93	или по	1	1
94	в свое	1	1
95	в виду	4	1
96	этот процесс	1	1
97	что только	1	1
98	тем более	2	1
99	независимо от	1	1
100	в известном	2	1
101	этого не	1	1
102	же как	2	1
103	достоевского и	7	1
104	из первых	1	1
105	единства и	1	1
106	в период	2	1
107	себя на	1	1
108	первый план	1	1
109	но он	3	1
110	художником и	1	1
111	только как	1	1
112	о котором	1	1
113	о нем	6	1
114	о том	4	1
115	как нам	1	1
116	что же	1	1
117	правда не	1	1
118	идет не	1	1
119	равно как	1	1
120	что в	7	1
121	он был	3	1
122	а это	1	1
123	первый взгляд	1	1
124	это же	1	1
125	как на	1	1
126	так он	1	1
127	же в	2	1
128	известном письме	1	1
129	того что	1	1
130	той же	1	1
131	в этот	3	1
132	уже не	2	1
133	к этому	3	1
134	говорить не	1	1
135	так и	1	1
136	в таком	1	1
137	о которой	2	1
138	человека и	1	1
139	по мнению	2	1
140	в той	2	1
141	только при	1	1
142	и все	7	1
143	развитие в	1	1
144	и это	2	1
145	не было	5	1
146	на то	3	1
147	для начала	1	1
148	никогда не	2	1
149	и даже	6	1
150	что для	1	1
151	в котором	6	1
152	его на	2	1
153	из которых	1	1
154	у него	5	1
155	возвращается в	1	1
156	еще один	1	1
157	в нем	6	1
158	что этот	1	1
159	в ней	4	1
160	все в	1	1
161	этого и	1	1
162	именно этот	1	1
163	того как	1	1
164	гораздо больше	1	1
165	доказывает что	1	1
166	и явно	1	1
167	это в	2	1
168	содержания в	1	1
169	далеко не	3	1
170	он уже	1	1
171	на большую	1	1
172	он и	1	1
173	как литературные	1	1
174	вне его	1	1
175	их в	2	1
176	но для	1	1
177	в своем	3	1
178	такое понимание	1	1
179	именно к	1	1
