N	3gram	Medvedev_V_1	RusskieA
1	в том что	5	15
2	и т д	14	9
3	вместе с тем	3	6
4	в связи с	3	4
5	о том что	3	4
6	к тому что	3	4
7	к этому же	1	2
8	может быть и	1	2
9	один из них	1	2
10	все же не	1	2
11	не только у	1	2
12	в свою очередь	1	2
13	после того как	1	2
14	по этому поводу	7	2
15	не значит что	1	2
16	прямо и непосредственно	1	1
17	хотя и не	1	1
18	по этому вопросу	1	1
19	одном и том	2	1
20	т е тот	1	1
21	иметь в виду	2	1
22	в виду что	1	1
23	в противном случае	2	1
24	по отношению к	7	1
25	по меньшей мере	1	1
26	подобно тому как	2	1
27	же как и	1	1
28	виду что в	1	1
29	в таком случае	1	1
30	что мы имеем	1	1
31	в этом отношении	13	1
32	и т п	9	1
33	еще не означает	1	1
34	из приведенных выше	3	1
35	можно было бы	2	1
36	в своем дневнике	1	1
37	на этот вопрос	1	1
38	говорит о том	1	1
39	некоторые из них	1	1
40	видно из приведенных	3	1
41	вот что пишет	1	1
42	т е в	2	1
43	не только в	2	1
44	как видно из	1	1
45	по существу в	1	1
46	и том же	2	1
47	имеет ничего общего	1	1
48	его следующим образом	1	1
49	как будто бы	1	1
50	во всех этих	1	1
51	на основании этих	1	1
52	не только для	1	1
53	приводит к тому	1	1
54	во всяком случае	1	1
55	те из них	1	1
56	так же как	1	1
57	не имеет ничего	1	1
58	бросается в глаза	1	1
59	в одном и	1	1
60	о том же	3	1
61	в то время	1	1
62	ничего общего с	1	1
63	в одном из	3	1
64	вопрос о том	1	1
65	ни одна из	1	1
66	между тем это	1	1
67	можно сказать что	4	1
68	развитии может быть	1	1
69	совершенно очевидно что	1	1
70	описывает его следующим	1	1
71	мы видим что	1	1
72	которые не имели	1	1
73	только тогда когда	1	1
74	как мы знаем	1	1
75	в данном случае	1	1
