N	2gram	Propp_Isto_5	FransuaR
1	и в	25	65
2	и др	3	24
3	как бы	2	22
4	и не	11	22
5	вовсе не	2	18
6	в том	6	16
7	в этом	10	15
8	но в	1	14
9	в нем	7	13
10	мы уже	4	12
11	и на	8	11
12	прежде всего	6	11
13	все эти	8	10
14	не только	13	10
15	и его	9	10
16	но и	13	10
17	и потому	2	10
18	том числе	1	10
19	во всех	2	9
20	в его	12	9
21	все это	4	9
22	всех этих	1	8
23	в своем	1	8
24	в основе	1	8
25	в дальнейшем	4	8
26	и даже	1	8
27	здесь в	1	8
28	по своему	1	8
29	и другие	1	8
30	формы и	2	7
31	его в	9	7
32	точки зрения	2	7
33	уже говорили	1	7
34	только в	7	7
35	числе и	1	7
36	жизни и	2	7
37	на самом	1	6
38	они были	1	6
39	в ней	5	6
40	еще не	8	6
41	все же	10	6
42	и у	1	6
43	главным образом	1	6
44	при этом	1	6
45	том что	8	6
46	никогда не	3	6
47	как мы	5	6
48	в литературе	1	6
49	одно из	1	6
50	так как	11	6
51	может быть	17	6
52	не знает	1	6
53	сказать что	2	6
54	отличие от	1	5
55	его развития	1	5
56	как в	6	5
57	этих форм	1	5
58	как и	7	5
59	в своей	2	5
60	потому что	7	5
61	тело и	1	5
62	для него	1	5
63	в одном	1	5
64	или иной	1	5
65	еще и	1	5
66	и пр	3	5
67	превращается в	7	5
68	связь с	8	5
69	в частности	7	5
70	xix века	1	5
71	и все	3	5
72	в своих	1	5
73	здесь и	1	4
74	и к	1	4
75	в самом	1	4
76	в этой	3	4
77	и еще	1	4
78	на всю	1	4
79	входит в	5	4
80	во время	7	4
81	в их	1	4
82	в отличие	1	4
83	не в	6	4
84	до сих	2	4
85	мы остановимся	1	4
86	можно только	1	4
87	связи с	8	4
88	в жизни	1	4
89	из них	2	4
90	отношение к	1	4
91	сих пор	2	4
92	это уже	2	4
93	мира и	1	4
94	для нас	5	4
95	совершенно не	2	4
96	самом деле	2	3
97	мы и	2	3
98	нового рождения	1	3
99	в себя	3	3
100	уже не	11	3
101	но все	5	3
102	то что	7	3
103	в себе	1	3
104	но на	1	3
105	в xvii	1	3
106	и с	3	3
107	на этой	4	3
108	и других	2	3
109	это не	6	3
110	в ее	4	3
111	с точки	1	3
112	но это	7	3
113	даже в	2	3
114	эти формы	1	3
115	на котором	1	3
116	ничего не	2	3
117	и здесь	7	3
118	в виду	1	3
119	и вообще	3	3
120	с ним	4	3
121	о нем	3	3
122	с другой	9	3
123	к нему	3	3
124	во всей	1	3
125	в форме	3	3
126	что он	22	3
127	но как	1	3
128	друг друга	3	3
129	в других	2	3
130	связан с	2	3
131	не были	1	3
132	нет ничего	1	3
133	в тех	1	3
134	в состоянии	1	3
135	но для	2	3
136	в более	3	3
137	не может	6	3
138	что в	8	3
139	в искусстве	1	3
140	одним из	2	2
141	например в	5	2
142	мы здесь	4	2
143	иногда довольно	1	2
144	на тех	2	2
145	не вполне	1	2
146	которое в	1	2
147	и он	6	2
148	форм в	1	2
149	это время	2	2
150	на них	2	2
151	время в	2	2
152	но не	5	2
153	античности и	1	2
