N	3gram	Bakhtin_Fr_6	RusskieA
1	в том что	2	18
2	в этот день	1	10
3	в данном случае	2	6
4	для того чтобы	1	6
5	вместе с тем	1	4
6	в некоторых местах	1	4
7	о том что	5	4
8	мы видели что	1	4
9	не может быть	1	3
10	к земле и	1	2
11	на части и	1	2
12	мы не будем	1	2
13	на самом же	1	2
14	самом же деле	1	2
15	в то время	1	2
16	после того как	1	2
17	с одной стороны	4	2
18	а именно в	1	2
19	в другом месте	4	1
20	том что в	1	1
21	и связанных с	1	1
22	с таким же	1	1
23	в руках и	1	1
24	более или менее	1	1
25	в настоящее время	1	1
26	о том как	1	1
27	на этом же	1	1
28	но и в	2	1
29	как мы увидим	2	1
30	между тем как	1	1
31	а так как	1	1
32	в этом отношении	3	1
33	таким образом в	2	1
34	что в некоторых	1	1
35	из того что	1	1
36	как и всем	1	1
37	в предыдущей главе	2	1
38	смысле этого слова	1	1
39	за ноги и	1	1
40	что именно в	1	1
41	во всех этих	2	1
42	в природе и	1	1
43	как и вообще	1	1
44	дело в том	1	1
45	тесно связаны с	3	1
46	одним из самых	2	1
47	с другой стороны	2	1
48	все то что	4	1
49	влияние и на	2	1
50	тогда когда они	1	1
51	между собой и	1	1
52	все это различные	1	1
53	к себе в	1	1
54	и все это	1	1
55	у нас на	1	1
56	связан и другой	1	1
57	что смерть есть	1	1
58	можно сказать что	1	1
59	с тем и	1	1
60	она как мы	1	1
61	в этой же	1	1
62	как мы уже	6	1
63	в ряде мест	2	1
64	и в другие	1	1
