N	3gram	Propp_Isto_4	Sovremen
1	мы не можем	1	6
2	в зависимости от	1	4
3	не может быть	4	4
4	мы видели что	3	3
5	что же это	1	3
6	еще не может	1	2
7	тем не менее	2	2
8	же это за	1	2
9	может быть и	1	2
10	так как он	2	2
11	то же самое	2	2
12	таким образом из	1	1
13	и может быть	1	1
14	в том как	1	1
15	много и они	1	1
16	что иное как	3	1
17	не могут быть	1	1
18	только частное значение	1	1
19	в одном случае	3	1
20	не в том	1	1
21	же как у	1	1
22	одни и те	1	1
23	в связи с	2	1
24	он уже не	1	1
25	но для чего	1	1
26	не представляет никакого	1	1
27	он может быть	1	1
28	так же как	12	1
29	а не только	1	1
30	в этом случае	3	1
31	как он в	1	1
32	до сих пор	5	1
33	мы должны признать	1	1
34	есть не что	1	1
35	друг на друга	1	1
36	она и не	1	1
37	и те же	1	1
38	совершенно так же	6	1
39	и не может	1	1
40	но все же	4	1
41	мы знаем что	7	1
42	одна из них	1	1
43	но уже в	1	1
44	но мы знаем	2	1
45	может быть только	1	1
46	к которому они	1	1
47	и могут быть	1	1
48	мы видим что	1	1
49	не что иное	3	1
50	как мы видим	1	1
51	но мы уже	1	1
52	мы уже знаем	1	1
53	и становится его	1	1
54	между ним и	1	1
55	в данном случае	3	1
56	на этот вопрос	2	1
57	же самое что	1	1
58	тот же процесс	1	1
