N	2gram	Berdyaev_N_1	Dialekti
1	не есть	3	40
2	и не	11	30
3	по себе	1	25
4	и в	16	18
5	может быть	7	17
6	и есть	10	16
7	в нем	5	16
8	ни в	6	15
9	не имеет	4	15
10	потому что	4	14
11	значит что	4	14
12	а не	17	14
13	не только	5	13
14	и даже	2	13
15	то что	4	13
16	что в	9	13
17	в этом	7	12
18	было бы	1	12
19	и что	2	12
20	не может	16	12
21	в себе	2	11
22	что он	1	11
23	так как	1	11
24	это значит	1	11
25	все это	5	11
26	что такое	3	10
27	прежде всего	4	10
28	сказать что	3	10
29	так и	2	9
30	это не	4	9
31	том что	2	9
32	никогда не	6	9
33	это есть	7	9
34	в том	8	9
35	но это	6	8
36	в каком	1	8
37	к нему	1	8
38	что она	2	7
39	что не	1	7
40	не существует	3	7
41	но и	3	7
42	хотя бы	2	6
43	в чем	1	6
44	но в	2	6
45	с другой	3	6
46	не в	6	6
47	она не	3	6
48	в то	2	6
49	с ним	1	6
50	можно сказать	1	6
51	не было	4	6
52	говорить о	1	5
53	я не	2	5
54	в своем	1	5
55	и с	2	5
56	и мы	4	5
57	в этих	1	5
58	но если	1	5
59	в виду	1	5
60	есть только	1	5
61	можно было	2	5
62	не с	1	5
63	мы должны	1	5
64	и пр	3	5
65	есть и	1	5
66	или не	1	5
67	а в	2	5
68	это и	2	4
69	мы говорим	2	4
70	то это	1	4
71	он есть	1	4
72	и более	1	4
73	есть всегда	1	4
74	к ней	1	4
75	к тому	3	4
76	не могу	1	4
77	быть может	4	4
78	о том	4	4
79	это я	1	4
80	но не	2	4
81	и жизни	1	4
82	в котором	1	4
83	в конце	1	4
84	как это	2	4
85	хотя и	2	4
86	так же	2	4
87	другой стороны	2	4
88	во всяком	1	4
89	нем нет	2	3
90	только потому	1	3
91	должна быть	3	3
92	но она	2	3
93	в ней	5	3
94	мысли и	2	3
95	к богу	2	3
96	говорит что	1	3
97	конечно не	3	3
98	от этого	1	3
99	в самом	1	3
100	от бога	6	3
101	он не	8	3
102	и еще	1	3
103	не значит	3	3
104	но все	1	3
105	в одну	2	3
106	этом смысле	2	3
107	в них	4	3
108	должно быть	4	3
109	в основе	3	3
110	та или	1	3
111	или иная	1	3
112	ли это	2	3
113	могут быть	2	3
114	и всех	1	3
115	чтобы понять	1	3
116	нуждается в	1	3
117	может иметь	1	3
118	не хотят	2	3
119	только в	1	3
120	и из	1	3
121	ничем не	1	3
122	и потому	4	3
123	в его	1	3
124	и все	4	3
125	или нет	1	3
126	жизни и	8	3
127	думать что	2	3
128	же как	2	2
129	историческую эпоху	1	2
130	вопрос о	3	2
131	время как	2	2
132	оно есть	1	2
133	исторической эпохи	3	2
134	быть в	2	2
135	из этих	1	2
136	нужно быть	1	2
137	себе и	1	2
138	с этим	2	2
139	помнить что	2	2
140	о самом	1	2
141	не был	1	2
142	все эти	2	2
143	тоже не	1	2
144	дальше и	1	2
145	это конечно	1	2
146	в мире	3	2
147	это было	3	2
148	с другими	1	2
149	как и	7	2
150	для чего	2	2
151	до сих	1	2
152	не больше	1	2
153	в своей	3	2
154	будет в	1	2
155	то он	1	2
156	всяком случае	1	2
157	во всем	1	2
158	и от	2	2
159	не должна	1	2
160	говорим что	1	2
161	не знает	6	2
162	не менее	4	2
163	мысли в	2	2
164	к ним	3	2
165	сами не	1	2
166	нет ни	1	2
167	мы охотно	1	2
168	и это	2	2
169	как не	8	2
170	на нем	1	2
171	в эпоху	9	2
172	для этого	2	2
173	мы живем	5	2
174	меня это	2	2
175	для того	1	2
176	и быть	1	2
177	с одной	2	2
178	по небу	1	2
179	есть своя	1	2
180	же и	1	2
181	уже не	2	2
182	и у	1	2
183	из них	1	2
184	и их	1	2
185	ее на	1	2
186	стремится к	3	2
187	он и	1	2
188	как в	3	2
189	одной стороны	2	2
190	есть мир	1	2
191	еще не	3	2
192	как например	1	2
193	такой же	2	2
194	сих пор	1	2
195	она должна	1	2
196	и для	4	2
197	ни к	2	2
198	реально не	1	2
199	всегда есть	1	2
200	и сейчас	1	2
201	как результат	1	2
202	я могу	1	2
203	я ни	1	1
204	новое время	4	1
205	что образ	1	1
206	действовать и	2	1
207	силы и	2	1
208	невежество в	1	1
209	перед лицом	1	1
210	и до	1	1
211	и этот	1	1
212	он также	1	1
213	мы не	2	1
214	общества и	2	1
215	существует что	1	1
216	мир не	1	1
217	о формах	1	1
218	и бытия	1	1
219	понять смысл	1	1
220	на себя	1	1
221	как я	1	1
222	легче чем	1	1
223	начала должно	1	1
224	и ночи	2	1
225	думаю что	1	1
226	себя а	1	1
227	на их	1	1
228	во всех	3	1
229	в ее	3	1
230	совсем не	12	1
231	при нем	1	1
232	нет и	2	1
233	в той	1	1
234	во вне	2	1
235	что нет	1	1
236	стихии и	1	1
237	к идее	1	1
238	и к	5	1
239	в каком-то	1	1
240	становится все	1	1
241	слоя с	1	1
242	к чему	1	1
243	мыслить как	1	1
244	ней и	1	1
245	в которой	1	1
246	по преимуществу	1	1
247	что ничего	1	1
248	с их	2	1
249	эпохи и	4	1
250	не могла	2	1
251	не заинтересована	1	1
252	вообще не	1	1
253	к одному	1	1
254	не к	2	1
255	в силу	1	1
256	перед ними	1	1
257	показал что	1	1
258	людей и	1	1
259	него и	1	1
260	не хотела	1	1
261	от других	1	1
262	не будет	7	1
263	что все	2	1
264	в состоянии	1	1
265	чего он	1	1
266	мы уже	1	1
267	них не	1	1
268	а по	1	1
269	теми которые	1	1
270	ли он	1	1
271	а это	1	1
272	заинтересована в	1	1
273	весь мир	1	1
274	в новое	3	1
275	в жизни	5	1
276	люди не	2	1
277	нет в	1	1
278	в этой	1	1
279	этого не	1	1
280	всю жизнь	1	1
281	не всегда	1	1
282	они являются	1	1
283	луны он	1	1
284	этом я	1	1
285	более глубоком	1	1
286	но я	2	1
287	привело к	1	1
288	и культуры	2	1
289	в такой	1	1
290	место в	2	1
291	символы а	1	1
292	мир и	2	1
293	но он	1	1
294	сами по	1	1
295	том чтобы	2	1
296	не могли	2	1
297	и вся	1	1
298	и очень	1	1
299	дня и	3	1
300	xviii века	2	1
301	есть прежде	1	1
302	религия не	1	1
303	того чтобы	2	1
304	не их	1	1
305	жизни не	3	1
306	под этим	1	1
307	явление в	1	1
308	по своей	1	1
309	и его	1	1
310	вот почему	2	1
311	как будто	2	1
312	понимают и	1	1
313	в будущем	2	1
314	он переходит	1	1
315	с старой	2	1
316	уже никакой	2	1
317	и оно	1	1
318	не та	1	1
319	не могут	1	1
320	когда мы	2	1
321	нельзя указать	1	1
322	сама жизнь	2	1
323	должны быть	1	1
324	всего что	1	1
325	оно не	1	1
326	на это	1	1
327	но сама	1	1
328	него как	1	1
329	применить к	1	1
330	должен быть	5	1
331	над нами	1	1
332	в каких	1	1
