N	3gram	Bakhtin_sl_2	Tvorches
1	в то же	4	13
2	в романах достоевского	1	13
3	то же время	4	12
4	в том что	4	6
5	о том что	1	5
6	но в то	3	4
7	с самого начала	1	3
8	это как бы	1	3
9	том что в	1	2
10	то есть не	1	2
11	в его романах	2	2
12	и т п	33	2
13	не только в	2	2
14	на протяжении всего	1	2
15	и в то	1	2
16	человеку как к	1	2
17	тем не менее	1	2
18	человека и его	2	2
19	этой проблемы в	1	1
20	не может не	1	1
21	хотя и не	1	1
22	и наконец в	2	1
23	как один из	1	1
24	дело не только	1	1
25	с установкой на	3	1
26	по отношению к	4	1
27	ибо у него	1	1
28	в его понимании	1	1
29	и способы его	1	1
30	до сих пор	2	1
31	в мировой литературе	2	1
32	хотя бы и	2	1
33	сами по себе	1	1
34	что он не	1	1
35	в отличие от	12	1
36	но все это	1	1
37	не менее чем	1	1
38	не могут быть	2	1
39	во всей ее	1	1
40	гоголя и достоевского	1	1
41	все более и	1	1
42	на этой почве	1	1
43	в ту же	1	1
44	с одной стороны	5	1
45	о нем и	1	1
46	в связи с	2	1
47	это не значит	1	1
48	мы уже говорили	1	1
49	и в романе	2	1
50	не может и	1	1
51	роман xix века	1	1
52	в создании образа	1	1
53	при этом с	1	1
54	он живет и	1	1
55	так и от	1	1
56	по себе а	1	1
57	в свою очередь	2	1
58	более и более	1	1
59	в романе мы	1	1
60	с другой стороны	1	1
61	человека но это	1	1
62	человек и его	12	1
63	в отношении к	4	1
64	как и в	1	1
65	и т д	2	1
