N	3gram	Vygotskiy__2	Sovremen
1	в зависимости от	6	3
2	мы не можем	3	3
3	что же это	1	2
4	друг с другом	2	2
5	с помощью которых	1	2
6	из этих двух	1	1
7	дело идет о	1	1
8	каждая из этих	1	1
9	том что эта	1	1
10	в отличие от	3	1
11	друг на друга	1	1
12	так же как	1	1
13	не может не	1	1
14	видели что это	1	1
15	точки зрения и	1	1
16	дело в том	1	1
17	и все же	1	1
18	на этот вопрос	5	1
19	мы видим не	1	1
20	в процессе развития	5	1
21	видели далее что	1	1
22	с одной стороны	7	1
23	она не может	1	1
24	мы видели далее	1	1
25	первое и основное	1	1
26	совершенно так же	1	1
27	одной стороны и	2	1
28	таким образом один	1	1
29	и тот же	1	1
30	в том что	21	1
31	шаг за шагом	1	1
32	все более и	1	1
33	образом один и	1	1
34	на этот раз	1	1
35	то же самое	2	1
36	или как он	1	1
37	по его мнению	1	1
38	представление о том	1	1
39	мы видели что	3	1
40	более и более	1	1
41	один и тот	1	1
42	не может быть	6	1
