N	3gram	Vygotskiy__5	Russkaja
1	друг с другом	7	14
2	в то же	1	10
3	с точки зрения	9	9
4	в том что	11	7
5	на самом деле	1	6
6	во всяком случае	1	6
7	для того чтобы	14	6
8	до сих пор	3	5
9	более или менее	1	4
10	к тому чтобы	4	4
11	не может быть	3	4
12	не может не	1	3
13	в этом случае	3	3
14	в лучшем случае	3	3
15	вместе с тем	2	3
16	можно было бы	3	3
17	и не может	2	3
18	и то что	2	3
19	к вопросу о	1	3
20	той или иной	1	3
21	только в том	1	2
22	что он не	2	2
23	чтобы понять что	1	2
24	и во всяком	1	2
25	и вместе с	1	2
26	того или иного	1	2
27	о том что	4	2
28	и тем самым	1	2
29	друг от друга	4	2
30	в другом случае	1	2
31	к тому что	1	2
32	сама по себе	4	2
33	и в другом	2	2
34	в другом месте	4	1
35	и того же	3	1
36	в том виде	1	1
37	но мы должны	1	1
38	или хотя бы	1	1
39	теснейшим образом связаны	1	1
40	том виде как	1	1
41	в силу этого	1	1
42	состоит в том	3	1
43	в начале этой	1	1
44	знаем что это	1	1
45	того чтобы их	1	1
46	в свою очередь	3	1
47	по отношению к	12	1
48	с другом не	1	1
49	в самом деле	2	1
50	в том числе	1	1
51	то же самое	4	1
52	в том же	1	1
53	то что эта	1	1
54	общей для всех	1	1
55	что он может	2	1
56	имеют между собой	2	1
57	с ним в	1	1
58	в этом отношении	5	1
59	что не только	1	1
60	том числе и	1	1
61	на этот вопрос	4	1
62	но мы знаем	1	1
63	то и другое	2	1
64	о сущности и	1	1
65	во всех областях	1	1
66	и в частности	2	1
67	не идет дальше	1	1
68	сводится к тому	1	1
69	в применении к	1	1
70	и что в	1	1
71	в том чтобы	1	1
72	то этим самым	1	1
73	смысле этого слова	1	1
74	но при этом	2	1
75	не только для	1	1
76	в связи с	1	1
77	эта точка зрения	2	1
78	не может ли	1	1
79	друг к другу	1	1
80	тем что они	1	1
81	в полной мере	1	1
82	так же как	7	1
83	и таким образом	1	1
84	само собой разумеется	1	1
85	собой разумеется что	1	1
86	между собой и	1	1
87	от того что	2	1
88	заключается в том	5	1
89	в этом и	1	1
90	тех или иных	1	1
91	так как это	3	1
92	с самого начала	5	1
93	то это есть	1	1
94	вопрос о том	3	1
95	он еще не	1	1
96	в результате этого	1	1
97	но все же	2	1
98	одного и того	3	1
99	совершенно очевидно что	1	1
100	тем не менее	1	1
101	что оно является	2	1
102	том что для	1	1
103	и вопрос о	1	1
