N	2gram	Medvedev_V_1	Narrotol
1	не только	25	31
2	но и	10	27
3	и не	19	23
4	может быть	22	15
5	в качестве	11	14
6	в частности	11	14
7	как и	7	13
8	а не	7	13
9	а в	3	13
10	в этом	26	12
11	только в	7	12
12	и в	26	11
13	в данном	1	11
14	и его	6	10
15	то есть	1	9
16	во времени	1	9
17	то что	6	9
18	то же	10	8
19	не может	17	8
20	данном случае	1	8
21	в том	15	8
22	уже не	1	8
23	но в	2	7
24	том что	8	7
25	если бы	3	7
26	на протяжении	1	7
27	у него	6	7
28	и он	2	6
29	в самом	4	6
30	не в	6	6
31	в этой	4	6
32	в себе	6	6
33	тому же	1	6
34	об этом	9	6
35	к тому	4	6
36	у чехова	1	6
37	в его	14	6
38	как бы	5	6
39	один из	5	6
40	как раз	3	6
41	или в	3	6
42	а также	1	6
43	жизни и	3	6
44	той или	1	5
45	перед нами	4	5
46	так и	5	5
47	точки зрения	3	5
48	в своей	4	5
49	потому что	1	5
50	можно сказать	4	5
51	действующих лиц	5	5
52	в соответствии	1	5
53	с анной	1	5
54	то в	1	4
55	на себя	1	4
56	еще не	2	4
57	с его	3	4
58	но не	2	4
59	как в	1	4
60	все же	5	4
61	хотя и	2	4
62	из этих	7	4
63	в нем	6	4
64	из них	9	4
65	по себе	2	4
66	соответствии с	1	4
67	в одном	4	4
68	вплоть до	2	4
69	в то	6	4
70	одна из	4	4
71	не по	2	4
72	того чтобы	3	4
73	никогда не	4	4
74	в сознании	4	4
75	что на	1	4
76	в ней	2	4
77	что у	2	4
78	о том	10	4
79	внимание на	1	4
80	же время	5	4
81	того что	3	4
82	для него	8	4
83	или иной	2	4
84	прежде всего	13	4
85	из наиболее	1	4
86	о чем	2	4
87	мира в	1	4
88	этом и	2	4
89	как известно	2	3
90	речь идет	1	3
91	также и	2	3
92	и то	1	3
93	самом деле	1	3
94	всего лишь	3	3
95	мы имеем	3	3
96	а для	2	3
97	он сам	2	3
98	но как	3	3
99	в своем	8	3
100	и как	3	3
101	в целом	4	3
102	он не	2	3
103	для того	3	3
104	подобно тому	2	3
105	при которой	1	3
106	это не	7	3
107	в жизни	2	3
108	в слове	3	3
109	не всегда	1	3
110	еще раз	1	3
111	в ходе	1	3
112	и ее	4	3
113	их в	6	3
114	не менее	2	3
115	как будто	1	3
116	этом отношении	13	3
117	у нас	2	3
118	начиная с	2	3
119	еще в	1	3
120	различного рода	3	3
121	сводится к	3	3
122	о нем	1	3
123	лишь в	2	3
124	в конечном	7	3
125	между тем	5	3
126	что он	4	3
127	по отношению	7	3
128	в прозе	1	3
129	могло бы	2	3
130	может служить	1	3
131	именно в	2	3
132	при всей	2	3
133	не было	7	3
134	как это	12	3
135	тому как	2	3
136	исходя из	1	3
137	в начале	1	3
138	но для	2	3
139	не является	5	3
140	и все	1	3
141	отношению к	7	3
142	что в	10	3
143	а о	2	2
144	в сфере	2	2
145	и через	2	2
146	в зависимости	6	2
147	иным как	1	2
148	всех его	2	2
149	и для	2	2
150	не вполне	2	2
151	зависимости от	5	2
152	меньшей степени	2	2
153	между собой	1	2
154	в чем	2	2
155	как если	1	2
156	порой и	1	2
157	если в	2	2
158	в едином	1	2
159	во сне	21	2
160	отнюдь не	3	2
161	в той	1	2
162	сознания в	1	2
163	в известном	1	2
164	лица и	2	2
165	роль в	4	2
166	на то	1	2
167	так сказать	2	2
168	и еще	1	2
169	доме или	1	2
170	заключает в	1	2
171	одно и	1	2
172	человека в	2	2
173	говорил о	1	2
174	а по	1	2
175	входит в	1	2
176	это было	1	2
177	для них	1	2
178	этого не	1	2
179	он и	2	2
180	в этих	1	2
181	рассказа о	1	2
182	рассказе о	1	2
183	сих пор	1	2
184	у тургенева	3	2
185	она не	3	2
186	не имеет	1	2
187	видел во	1	2
188	дело не	1	2
189	не могло	1	2
190	казалось бы	1	2
191	связи с	4	2
192	не столь	3	2
193	ли не	2	2
194	же самое	2	2
195	они и	1	2
196	как мы	1	2
197	в театре	1	2
198	значения и	1	2
199	с ее	1	2
200	свою очередь	1	2
201	здесь не	1	2
202	другой стороны	8	2
203	в пределах	5	2
204	что может	1	2
205	по мере	1	2
206	с ним	1	2
207	ситуации и	1	2
208	имеем дело	1	2
209	никак не	1	2
210	до сих	1	2
211	с другой	11	2
212	в форме	3	2
213	же в	6	2
214	такова природа	1	2
215	большей или	3	2
216	чем он	1	2
217	с ними	4	2
218	дело с	1	2
219	всяком случае	1	2
220	они могут	1	2
221	который в	1	2
222	только на	1	2
223	его и	1	2
224	сами по	1	2
225	в конце	3	2
226	к ним	1	2
227	не о	2	2
228	друг друга	1	2
229	каждый из	1	2
230	при отсутствии	1	2
231	в особенности	2	2
232	и даже	2	2
233	в области	2	2
234	о своей	1	2
235	в результате	5	2
236	как у	2	2
237	что не	3	2
238	героя и	1	2
239	в сумасшедшем	1	2
240	и составляет	1	2
241	зависит от	2	2
