N	2gram	Voloshinov_1	Komedia
1	и в	16	26
2	и не	4	14
3	едва ли	3	14
4	так и	4	12
5	к тому	1	12
6	и его	8	12
7	в том	3	11
8	может быть	17	11
9	на протяжении	2	10
10	но и	4	10
11	в этом	9	10
12	вместе с	3	9
13	что в	3	9
14	если бы	1	9
15	столь же	1	9
16	том что	3	9
17	было бы	2	8
18	что и	2	7
19	и на	4	7
20	не только	7	7
21	и здесь	1	6
22	еще не	5	6
23	таким образом	9	6
24	в нем	4	6
25	того чтобы	1	6
26	то что	3	6
27	во время	3	6
28	о том	2	6
29	и с	8	5
30	с тем	1	5
31	к этому	2	5
32	в качестве	1	5
33	с этим	2	5
34	для того	1	5
35	ни в	5	5
36	один из	2	5
37	с его	7	5
38	что он	2	5
39	все же	1	4
40	как и	2	4
41	точки зрения	8	4
42	прежде всего	9	4
43	и для	2	4
44	не менее	2	4
45	что это	2	4
46	как это	3	4
47	в руках	1	4
48	его в	4	4
49	же в	1	4
50	в начале	2	4
51	в его	4	4
52	в этих	3	4
53	еще в	1	4
54	как мы	4	4
55	из этих	2	4
56	хотя и	1	4
57	что для	1	4
58	это было	1	4
59	с их	3	4
60	в них	2	4
61	у него	2	4
62	в самом	2	4
63	в частности	2	4
64	на этот	1	4
65	о его	1	4
66	меньше всего	2	4
67	только в	4	4
68	уже в	1	4
69	так как	4	4
70	можно было	1	4
71	для всех	4	3
72	для нас	2	3
73	к их	1	3
74	в связи	1	3
75	тех же	3	3
76	искать в	1	3
77	жизни и	3	3
78	того же	2	3
79	человека в	1	3
80	не может	8	3
81	даже не	3	3
82	и их	4	3
83	друг другу	1	3
84	что его	1	3
85	в период	1	3
86	к нему	1	3
87	в своей	2	3
88	во всех	3	3
89	а в	3	3
90	как он	1	3
91	но не	1	3
92	с этой	2	3
93	здесь в	1	3
94	дело с	1	3
95	но если	1	3
96	то же	2	3
97	по всему	2	3
98	но в	4	3
99	и сам	1	3
100	не имеет	1	3
101	интерес к	1	3
102	что на	2	3
103	той же	1	3
104	по поводу	1	3
105	в этой	4	3
106	мы можем	9	3
107	его современников	1	3
108	все это	4	3
109	вопрос о	1	3
110	и столь	1	3
111	себя в	1	3
112	в ней	1	3
113	и особенно	1	3
114	связи с	1	3
115	мы знаем	3	3
116	что по	1	2
117	вовсе не	1	2
118	во всяком	3	2
119	все время	1	2
120	от всех	1	2
121	говорить о	2	2
122	да еще	2	2
123	бы то	1	2
124	от этого	1	2
125	одна из	1	2
126	в один	4	2
127	на это	1	2
128	в духе	1	2
129	и ее	4	2
130	и все	4	2
131	как видим	1	2
132	наконец в	1	2
133	сих пор	3	2
134	хотя бы	4	2
135	мы не	2	2
136	в конце	1	2
137	до сих	3	2
138	в голову	2	2
139	друг с	1	2
140	а на	2	2
141	в другой	1	2
142	в течение	1	2
143	в уже	1	2
144	в одном	3	2
145	в нашем	1	2
146	не более	1	2
147	философии и	1	2
148	этом смысле	3	2
149	отношение к	5	2
150	похож на	1	2
151	с другом	1	2
152	то ни	1	2
153	как не	2	2
154	связанных с	2	2
155	чем на	1	2
156	в любви	1	2
157	и к	6	2
158	которые в	1	2
159	теперь в	1	2
160	с которым	1	2
161	современной ему	2	2
162	отнюдь не	4	2
163	тот же	1	2
164	и это	6	2
165	и есть	3	2
166	еще более	1	2
167	сказать о	1	2
168	и еще	1	2
169	нет и	2	2
170	всяком случае	3	2
171	он был	1	2
172	и жизнь	1	2
173	скрывать от	1	2
174	мы имеем	1	2
175	со стороны	1	2
176	в философии	1	2
177	по своему	2	2
178	с ними	4	2
179	достаточно назвать	1	2
180	не всегда	1	2
181	одной стороны	1	2
182	и тех	1	2
183	с одной	1	2
184	в мире	1	2
185	и что	1	2
186	как известно	1	2
187	он не	2	2
188	на этом	3	2
189	роль в	1	2
190	от того	1	2
191	его собственный	1	2
192	под названием	1	2
193	одних и	1	2
194	с другой	1	2
195	однако в	1	2
196	в развитии	2	2
197	чем это	1	2
198	с самого	4	2
199	ни было	2	2
200	в следующем	1	2
201	не следует	1	2
202	что она	1	2
203	в виду	1	2
204	как бы	5	2
205	в свои	1	1
206	все эти	5	1
207	любовь к	1	1
208	и этот	2	1
209	главным образом	1	1
210	в полном	1	1
211	ее объектом	1	1
212	нуждается в	5	1
213	приводит к	1	1
214	по сравнению	3	1
215	опоры на	1	1
216	сравнению с	3	1
217	имеем дело	1	1
218	если они	1	1
219	в другом	1	1
220	в одно	2	1
221	по смыслу	1	1
222	с нею	2	1
223	только как	3	1
224	можем сказать	2	1
225	и самый	1	1
226	говорит о	1	1
227	и ни	1	1
228	в состоянии	1	1
229	значение и	1	1
230	в разных	1	1
231	так же	2	1
232	ко всему	1	1
233	предположить что	1	1
234	на которые	1	1
235	может привести	1	1
236	как на	1	1
237	не был	1	1
238	нельзя сказать	1	1
239	быть даже	1	1
240	действительно не	1	1
241	для внутреннего	1	1
242	но всегда	1	1
243	а то	1	1
244	его помощью	1	1
245	и чрезвычайно	1	1
246	что не	2	1
247	в каком	2	1
248	на ее	1	1
249	только при	1	1
250	а вместе	1	1
251	бы он	1	1
252	связь с	1	1
253	к ее	1	1
254	значение для	1	1
255	в жизни	2	1
256	одна и	1	1
257	память о	1	1
258	о роли	1	1
259	в сознании	1	1
260	в большинстве	3	1
261	образом и	1	1
262	самым существенным	1	1
263	из сказанного	2	1
264	и теперь	3	1
265	но мы	4	1
266	с помощью	2	1
267	как источник	1	1
268	на его	1	1
269	углу комнаты	1	1
270	не знает	2	1
271	то и	1	1
272	та же	1	1
273	таким путем	2	1
274	как раз	1	1
275	это касается	1	1
276	это уже	1	1
277	становится ясным	1	1
278	жизнь в	1	1
279	еще одно	1	1
280	в знаменитом	1	1
281	в область	2	1
282	в эту	1	1
283	его времени	1	1
284	в ходу	1	1
285	и всех	2	1
286	и были	1	1
287	сводится к	2	1
288	остановимся на	1	1
289	что же	1	1
290	среди них	1	1
291	по которой	1	1
292	во власти	1	1
293	между собой	2	1
294	человека все	1	1
295	является его	1	1
296	здесь она	1	1
297	вещей и	1	1
298	с совершенно	1	1
299	не нашел	1	1
300	с ним	2	1
301	а не	1	1
302	первый взгляд	1	1
303	и самого	1	1
304	его мать	1	1
305	а для	1	1
306	быть не	1	1
307	о смерти	1	1
308	для него	6	1
309	между ними	3	1
310	под которым	1	1
311	во всей	2	1
312	отношения к	3	1
313	мир в	1	1
314	в себя	1	1
