N	3gram	Medvedev_U_1	Istorich
1	с другой стороны	3	8
2	с одной стороны	1	7
3	в этом случае	1	6
4	в том что	2	5
5	до сих пор	2	4
6	не только в	1	4
7	мы имеем в	1	4
8	в данном случае	1	3
9	не может быть	4	3
10	на первый план	1	2
11	том что она	1	1
12	это не все	1	1
13	более или менее	1	1
14	в своей работе	1	1
15	для тех кто	1	1
16	с тем что	1	1
17	но это не	1	1
18	на первый взгляд	1	1
19	и то что	2	1
20	еще ничего не	2	1
21	на своем месте	1	1
22	вот почему и	1	1
23	так или иначе	1	1
24	она сводится к	1	1
25	все же не	1	1
26	то что все	1	1
27	можно сказать что	1	1
28	на то что	1	1
29	в изобразительном искусстве	1	1
30	друг с другом	1	1
31	и с другой	1	1
