N	3gram	Vinokur_Ku_1	Morfolog
1	и т д	14	47
2	в этих случаях	1	13
3	в этом случае	2	9
4	в связи с	3	8
5	не может быть	3	8
6	по отношению к	8	4
7	с точки зрения	9	4
8	с другой стороны	6	4
9	тем не менее	4	4
10	в первом случае	1	3
11	и пр а	1	3
12	и пр и	1	3
13	на самом деле	2	3
14	но все же	2	3
15	состоит в том	3	2
16	более или менее	3	2
17	в тех случаях	2	2
18	в настоящее время	1	2
19	в таких случаях	1	2
20	в собственном смысле	1	2
21	точно так же	1	2
22	мы приходим к	1	2
23	после чего следует	1	2
24	в иных случаях	2	2
25	с одной стороны	1	2
26	это не значит	1	2
27	собственном смысле слова	1	2
28	тех случаях когда	2	2
29	в большинстве случаев	1	2
30	для того чтобы	15	2
31	в том что	15	2
32	но кроме того	1	1
33	и может быть	1	1
34	можно себе представить	1	1
35	с ними и	1	1
36	могут быть распределены	1	1
37	не всегда так	1	1
38	случаях когда в	1	1
39	то это значит	1	1
40	это необходимо для	1	1
41	а вовсе не	1	1
42	т д это	1	1
43	это было бы	1	1
44	ответить на этот	1	1
45	т д словом	1	1
46	это уже не	1	1
47	том что он	4	1
48	о том как	3	1
49	что иное как	1	1
50	что же касается	4	1
51	и там где	1	1
52	следующим образом если	1	1
53	до сих пор	4	1
54	том случае если	1	1
55	мы увидим как	1	1
56	только в тех	1	1
57	можно было бы	3	1
58	в противном случае	1	1
59	хотя и здесь	1	1
60	не то что	1	1
61	в том случае	1	1
62	в научной литературе	1	1
63	одно и то	1	1
64	в применении к	1	1
65	стоит в связи	1	1
66	на этот вопрос	1	1
67	в целом и	2	1
68	и то же	1	1
69	во втором случае	1	1
70	иметь в виду	1	1
71	и здесь несомненно	1	1
72	она все же	1	1
73	т д все	1	1
74	во всяком случае	5	1
75	вместо того чтобы	1	1
76	потому что они	1	1
77	самом деле в	1	1
78	что несмотря на	1	1
79	во всех этих	1	1
80	то же время	2	1
81	может быть заменено	2	1
82	далеко не всегда	1	1
83	мы имеем в	1	1
84	те или иные	1	1
85	о характере этого	1	1
86	о том что	5	1
87	то же с	1	1
88	той или иной	1	1
89	т е не	1	1
90	себе представить что	1	1
91	на то что	2	1
92	то же в	2	1
93	в то же	2	1
94	сюда же относятся	1	1
95	к тому что	2	1
96	не что иное	1	1
97	т е о	2	1
98	с этим мы	1	1
99	то что они	1	1
100	дело не в	1	1
101	или нет в	1	1
102	всех этих случаях	1	1
103	что и в	1	1
104	очень многое не	1	1
105	увидим ниже не	1	1
106	того или другого	1	1
