N	4gram	Vygotskiy__4	Marksizm
1	в то же время	1	8
2	бы то ни было	1	4
3	в точном смысле этого	1	3
4	точном смысле этого слова	2	3
5	какой бы то ни	1	2
6	в том что он	1	2
7	в таком случае это	1	2
8	то же самое что	2	1
9	дело в том что	1	1
10	если бы это было	1	1
11	ни в какой мере	1	1
12	не что иное как	1	1
13	дела в самом деле	1	1
14	и в свою очередь	1	1
15	как это делают некоторые	1	1
16	это было так то	1	1
17	вступить в противоречие с	1	1
18	следует ли отсюда что	1	1
19	смысле этого слова и	2	1
