N	2gram	Berdyaev_M_2	Formalny
1	т е	4	32
2	и не	18	30
3	и в	46	27
4	может быть	21	25
5	не может	15	24
6	так и	4	21
7	и его	5	19
8	в этом	20	18
9	а не	13	17
10	самом деле	1	16
11	точки зрения	2	16
12	то же	5	15
13	в нем	22	15
14	между ними	1	15
15	на самом	1	14
16	как и	13	14
17	с точки	1	14
18	не в	9	12
19	если бы	3	12
20	в самом	5	11
21	в жизни	4	11
22	и от	3	11
23	не могут	1	10
24	место в	2	10
25	но и	15	10
26	в действительности	2	9
27	не только	18	9
28	лишь в	2	9
29	так как	8	9
30	так же	6	9
31	как бы	8	8
32	входит в	1	8
33	ни в	3	8
34	в пределах	1	8
35	только в	3	8
36	то что	5	8
37	и все	5	8
38	что в	4	8
39	с тем	1	7
40	потому что	12	7
41	его в	3	7
42	между тем	2	7
43	в его	5	7
44	в том	3	7
45	для них	1	7
46	все это	1	7
47	но в	10	6
48	все эти	1	6
49	в своей	5	6
50	и ее	1	6
51	и теперь	1	6
52	все время	2	6
53	было бы	1	6
54	что он	7	6
55	с другой	1	6
56	вместе с	2	6
57	и для	7	6
58	бы в	2	6
59	хотя бы	7	6
60	в своих	3	6
61	совсем не	5	5
62	независимо от	1	5
63	в каждом	3	5
64	того чтобы	4	5
65	в ней	11	5
66	что они	3	5
67	никогда не	18	5
68	связи с	2	5
69	друг друга	12	5
70	лишь для	1	5
71	тем что	3	5
72	и потому	7	5
73	тому как	2	5
74	что же	2	5
75	не есть	13	4
76	мы не	1	4
77	он был	9	4
78	менее всего	3	4
79	как в	7	4
80	и как	1	4
81	в целом	1	4
82	и те	2	4
83	бы ни	1	4
84	подобно тому	2	4
85	в ее	1	4
86	том что	4	4
87	по себе	2	4
88	она не	8	4
89	тогда когда	2	4
90	к тому	5	4
91	роль в	1	4
92	следовательно и	1	4
93	о том	3	4
94	как ее	2	4
95	же и	2	4
96	уже в	2	4
97	для того	5	4
98	прежде всего	12	4
99	до конца	4	4
100	да и	2	4
101	от всех	1	4
102	из этого	1	4
103	жизни и	6	4
104	они не	4	4
105	формы и	1	3
106	же как	3	3
107	того же	1	3
108	должна быть	1	3
109	той же	3	3
110	и на	3	3
111	в которых	1	3
112	во всех	2	3
113	то он	2	3
114	как со	1	3
115	нет и	1	3
116	бы и	5	3
117	что это	6	3
118	формы в	1	3
119	в себе	10	3
120	этот процесс	2	3
121	и с	3	3
122	те же	5	3
123	это не	5	3
124	и тем	1	3
125	ее в	2	3
126	в этих	2	3
127	от его	2	3
128	и более	1	3
129	по отношению	2	3
130	тому что	4	3
131	в основе	2	3
132	исторического процесса	1	3
133	этом отношении	1	3
134	они и	4	3
135	оно не	2	3
136	еще в	2	3
137	жизнь и	4	3
138	в эпоху	1	3
139	и что	2	3
140	их в	1	3
141	в них	3	3
142	в какой	1	3
143	одни и	2	3
144	уже не	4	3
145	его и	1	3
146	в конце	5	3
147	не о	2	3
148	пришли к	1	3
149	души и	2	3
150	у нас	11	3
151	она есть	2	3
152	в той	1	3
153	того что	6	3
154	отношению к	2	3
155	лишь как	3	3
156	жизни в	3	3
157	сказать что	3	3
158	и эта	2	3
159	смысле слова	3	2
160	отношения к	2	2
