N	3gram	Vinokur_St_1	Myslijsy
1	в том что	17	16
2	смысле этого слова	1	7
3	по отношению к	3	5
4	по крайней мере	2	5
5	не в том	2	5
6	а в том	1	5
7	то же время	4	5
8	в то же	4	5
9	с другой стороны	6	4
10	но и в	2	4
11	в то время	2	4
12	не только в	4	4
13	потому что он	1	3
14	далеко не все	1	3
15	потому что не	1	3
16	до сих пор	7	3
17	что он не	1	3
18	что в то	1	3
19	одним и тем	2	3
20	и тем же	2	3
21	с одной стороны	2	3
22	в том как	3	3
23	то тем самым	1	3
24	и т д	21	3
25	только в том	3	3
26	в том смысле	2	3
27	тем не менее	2	3
28	для того чтобы	10	3
29	не может быть	5	3
30	что и в	4	3
31	а между тем	1	2
32	том что он	1	2
33	в том же	1	2
34	в этом отношении	7	2
35	и т п	9	2
36	не могла бы	1	2
37	в том чтобы	1	2
38	и в том	2	2
39	именно в том	1	2
40	так и в	4	2
41	как и в	2	2
42	и в самом	3	2
43	как бы ни	1	2
44	с этой стороны	1	2
45	к тому что	1	2
46	то все же	1	1
47	том смысле что	1	1
48	уже в прошлом	1	1
49	если бы она	1	1
50	в свое время	2	1
51	так же и	1	1
52	а не в	1	1
53	не говоря уже	1	1
54	на самом деле	6	1
55	в самом деле	5	1
56	так что в	1	1
57	как увидим ниже	1	1
58	сказать будто в	1	1
59	во многих случаях	2	1
60	сих пор еще	1	1
61	одной точки зрения	1	1
62	отношению к своему	1	1
63	говоря уже о	1	1
64	и в других	1	1
65	сами по себе	1	1
66	каждой из этих	1	1
67	а может быть	1	1
68	за то что	3	1
69	и говорить о	1	1
70	в том случае	1	1
71	и то что	2	1
72	что разница между	1	1
73	ясно что и	1	1
74	то время как	1	1
75	в таких случаях	1	1
76	то что оно	1	1
77	в данном случае	6	1
78	но столь же	1	1
79	с одной точки	1	1
80	же и в	2	1
81	не все в	1	1
82	в разной мере	1	1
83	ему самому и	1	1
84	так или иначе	2	1
85	с нашей точки	1	1
86	и что в	1	1
87	в одно целое	1	1
88	он не знает	1	1
89	чтобы найти эти	1	1
90	как в самом	1	1
91	каждое из них	1	1
92	было бы не	2	1
93	тем что в	2	1
94	и таким образом	1	1
95	в каждом отдельном	1	1
96	каждого из них	2	1
97	только то что	1	1
98	таким образом в	1	1
99	было бы совершенно	1	1
100	и о том	1	1
101	вовсе не в	2	1
102	заключается в том	3	1
103	в такой форме	1	1
104	и по этому	1	1
105	о том что	11	1
106	ничего общего с	3	1
107	если бы мы	2	1
108	том что этот	1	1
109	звуков а не	1	1
110	может быть иначе	1	1
111	на то что	4	1
112	друг от друга	1	1
113	тем более что	2	1
114	живой речи в	1	1
115	та и другая	1	1
116	после того как	1	1
117	заключается именно в	1	1
118	по этому поводу	2	1
119	быть не может	1	1
120	том что как	1	1
121	не имел бы	1	1
122	и та и	1	1
123	могло бы быть	1	1
124	и тогда и	1	1
125	том что и	1	1
126	то что называют	1	1
127	с другой и	1	1
