N	2gram	Vygotskiy__4	Marksizm
1	может быть	12	28
2	и в	20	19
3	как бы	7	19
4	и не	8	19
5	в процессе	27	18
6	не может	6	18
7	точки зрения	24	17
8	то же	16	16
9	и его	5	16
10	как мы	13	15
11	в этом	24	15
12	в сущности	4	14
13	так сказать	1	14
14	таким образом	25	14
15	не только	15	13
16	с точки	11	13
17	связи с	3	13
18	речи и	1	13
19	речевого общения	1	12
20	в нем	2	11
21	если бы	5	11
22	не в	4	10
23	так и	5	10
24	и т.п	2	10
25	но и	9	10
26	том что	35	10
27	самом деле	7	9
28	при этом	12	9
29	как и	9	9
30	для него	2	9
31	в основе	17	9
32	а не	7	9
33	по отношению	1	8
34	в то	1	8
35	только в	10	8
36	слова в	9	8
37	отнюдь не	3	8
38	не является	5	8
39	отношению к	1	8
40	на самом	1	7
41	его в	6	7
42	и более	7	7
43	никогда не	5	7
44	в том	42	7
45	в языке	2	7
46	прежде всего	2	7
47	в связи	3	7
48	и для	4	7
49	но в	3	7
50	в таком	2	7
51	мы уже	5	6
52	и значение	1	6
53	во всех	1	6
54	и как	9	6
55	в самом	6	6
56	если мы	10	6
57	слова и	5	6
58	ни в	3	6
59	в смысле	4	6
60	того чтобы	7	6
61	к тому	6	6
62	для того	5	6
63	речи мы	1	6
64	же самое	7	6
65	и следовательно	1	6
66	между тем	9	6
67	мы можем	5	6
68	с помощью	31	6
69	ни было	1	6
70	речевое общение	1	6
71	в свою	2	6
72	смысле слова	1	5
73	того же	9	5
74	и на	6	5
75	все же	5	5
76	является не	4	5
77	то ни	1	5
78	на этой	1	5
79	в данном	2	5
80	в их	12	5
81	самого начала	1	5
82	свою очередь	2	5
83	с самого	1	5
84	и здесь	2	5
85	к нему	2	5
86	в его	11	5
87	в форме	1	5
88	отношении к	1	5
89	значения в	1	5
90	в той	2	5
91	этого слова	11	5
92	и того	5	5
93	значения слова	8	5
94	тем более	1	5
95	совершенно не	3	5
96	как слово	1	5
97	к этому	4	5
98	так же	11	5
99	тем же	4	4
100	должна быть	2	4
101	а как	1	4
102	и ее	1	4
103	к целому	1	4
104	бы то	1	4
105	как если	1	4
106	конечно не	1	4
107	только на	2	4
108	в себе	10	4
109	на то	5	4
110	данное слово	2	4
111	в данной	2	4
112	это не	5	4
113	было бы	8	4
114	и тем	8	4
115	в слове	2	4
116	мы видели	6	4
117	одного и	6	4
118	тому что	4	4
119	в отношении	10	4
120	ничего не	1	4
121	русском языке	1	4
122	и т.д	2	4
123	для себя	1	4
124	выражения и	1	4
125	по мере	4	4
126	в русском	1	4
127	того что	10	4
128	с ними	1	4
129	что он	6	4
130	и их	1	4
131	как раз	1	4
132	смысле этого	7	4
133	в основном	1	4
134	к пониманию	3	4
135	бы в	3	4
136	то что	15	4
137	сказать что	6	4
138	и то	10	3
139	не имеют	3	3
140	высшей степени	2	3
141	на материале	1	3
142	в ней	2	3
143	еще не	2	3
144	столь же	3	3
145	для других	2	3
146	отличие от	2	3
147	относится к	1	3
148	в истории	10	3
149	с этим	5	3
150	перед нами	5	3
151	все эти	5	3
152	в этой	3	3
153	нами в	4	3
154	слово в	6	3
155	он не	1	3
156	не как	1	3
157	одно и	6	3
158	здесь мы	2	3
159	той же	6	3
160	с другими	1	3
161	мы постараемся	2	3
162	по себе	1	3
163	истории языка	1	3
164	в этих	3	3
165	в своей	7	3
166	в отличие	2	3
167	мысли и	2	3
168	какое бы	1	3
169	не имеет	2	3
170	они являются	7	3
171	же слова	2	3
172	в каком	2	3
173	у нас	1	3
174	языка в	1	3
175	могут быть	7	3
176	бы он	1	3
177	не есть	2	3
178	и это	2	3
179	оно может	3	3
180	значения и	1	3
181	на основе	10	3
182	о том	5	3
183	и лишь	1	3
184	что и	9	3
185	слов и	1	3
186	одной из	3	3
187	в какой	3	3
188	не идет	1	3
189	с одной	9	3
