N	2gram	Tiupa_Narr_1	Hudozhes
1	в мире	9	23
2	в качестве	21	19
3	то есть	19	18
4	состоит в	13	16
5	и не	20	16
6	не только	32	15
7	и в	19	15
8	в том	18	15
9	тогда как	12	13
10	может быть	25	13
11	в частности	14	13
12	при этом	9	12
13	и его	5	12
14	а в	11	12
15	но не	5	11
16	в этом	17	11
17	в себе	8	11
18	художественного текста	2	11
19	то же	4	10
20	по отношению	7	10
21	представляет собой	13	10
22	как бы	4	10
23	так и	9	10
24	а не	12	10
25	отношению к	6	10
26	но и	23	10
27	такого рода	7	9
28	точки зрения	10	9
29	в его	9	9
30	в рамках	12	8
31	своего рода	12	8
32	сводится к	3	8
33	себя в	5	8
34	присутствия в	3	8
35	отличие от	5	7
36	но в	6	7
37	в принципе	4	7
38	внутренней речи	1	7
39	в отличие	5	7
40	в то	3	7
41	или иной	5	7
42	с другой	8	7
43	с его	6	6
44	отношение к	2	6
45	том что	14	6
46	не в	14	6
47	в основе	5	6
48	же время	4	6
49	по своей	3	6
50	в ее	3	6
51	приводит к	2	6
52	в состав	1	6
53	не сводится	2	6
54	в тексте	16	6
55	не может	10	6
56	что в	3	6
57	в их	1	5
58	более или	2	5
59	в самом	1	5
60	то что	11	5
61	не предполагает	5	5
62	ни в	3	5
63	тем самым	6	5
64	коммуникативного события	12	5
65	могут быть	3	5
66	той или	4	5
67	с ее	3	5
68	по сути	2	5
69	картина мира	5	5
70	внутреннего зрения	4	5
71	можно сказать	5	5
72	а также	7	5
73	того что	1	5
74	и одновременно	2	5
75	только в	4	5
76	речевая маска	5	5
77	уже не	5	5
78	и т.п	8	5
79	между ними	2	5
80	другой стороны	4	5
81	или менее	2	5
82	в нем	4	5
83	героя и	4	5
84	отношения к	2	4
85	и то	1	4
86	мы имеем	2	4
87	место в	1	4
88	высказывания в	6	4
89	говорить о	2	4
90	жизни как	3	4
91	еще не	7	4
92	как к	2	4
93	кто говорит	2	4
94	хотя и	3	4
95	сознания в	1	4
96	и как	5	4
97	он не	3	4
98	креативная компетенция	6	4
99	без исключения	2	4
100	в другом	1	4
101	и тем	4	4
102	в слове	1	4
103	личностного присутствия	1	4
104	в ходе	1	4
105	не столько	4	4
106	личности в	2	4
107	говоря словами	2	4
108	и т.д	7	4
109	входит в	1	4
110	между тем	3	4
111	в форме	5	4
112	во времени	8	4
113	для него	2	4
114	со стороны	9	4
115	к которому	2	4
116	прежде всего	4	4
117	а на	1	4
118	не знает	1	4
119	воспринимающего сознания	1	4
120	как это	6	4
121	например в	2	4
122	к тому	7	4
123	сказать что	4	4
124	речи и	1	4
125	того же	1	3
126	значении этого	3	3
127	авторской позиции	2	3
128	и ее	2	3
129	в целом	1	3
130	в виду	1	3
131	как правило	4	3
132	конечном счете	2	3
133	как говорит	3	3
134	субъекта и	2	3
135	в акте	1	3
136	в художественном	1	3
137	как уже	1	3
138	и к	1	3
139	или иного	2	3
140	в противоположность	2	3
141	всего лишь	2	3
142	в притче	3	3
143	картины мира	5	3
144	это позиция	2	3
145	лишь в	1	3
146	его в	2	3
147	это не	2	3
148	этом смысле	1	3
