N	3gram	Losev_Prob_4	formyVre
1	и т п	1	11
2	с точки зрения	11	8
3	в связи с	3	7
4	для того чтобы	2	7
5	не только в	4	5
6	в то же	2	4
7	в эпоху возрождения	1	3
8	имеем в виду	3	3
9	в том числе	1	3
10	о том как	1	3
11	и в то	1	3
12	не в смысле	1	3
13	и прежде всего	2	3
14	в том что	8	3
15	и т д	3	3
16	а следовательно и	1	2
17	прежде всего в	1	2
18	равно как и	1	2
19	то же самое	6	2
20	пространства и времени	1	2
21	до сих пор	1	2
22	сами по себе	2	2
23	том числе и	1	2
24	это значит что	7	2
25	мы имеем в	1	2
26	и говорить о	1	1
27	в чем не	1	1
28	действительности и прежде	1	1
29	не имеем в	1	1
30	в той или	7	1
31	то есть как	1	1
32	и сама жизнь	1	1
33	то есть не	3	1
34	об этом свидетельствует	1	1
35	на самом деле	3	1
36	как и во	1	1
37	каждой из них	2	1
38	так что в	1	1
39	весь мир как	1	1
40	том что он	1	1
41	мы вовсе не	1	1
42	только в том	3	1
43	тот или иной	2	1
44	они вовсе не	1	1
45	в конце концов	1	1
46	что он не	1	1
47	по своему содержанию	5	1
48	на каждом из	1	1
49	точном смысле слова	1	1
50	то что в	1	1
51	же самое время	2	1
52	это вовсе не	1	1
53	в литературе и	1	1
54	есть не в	1	1
55	что весь этот	1	1
56	все эти образы	2	1
57	с этой точки	1	1
58	вместе с тем	3	1
59	одно и то	1	1
60	конечно не в	1	1
61	того чтобы не	1	1
62	в этих двух	1	1
63	то время как	2	1
64	как и в	1	1
65	в данном случае	5	1
66	для того и	1	1
67	она еще не	1	1
68	с одной стороны	1	1
69	самой жизни и	2	1
70	на первый взгляд	1	1
71	в значительной мере	2	1
72	в них свои	1	1
73	и в условиях	1	1
74	а также и	2	1
75	или что то	1	1
76	по сравнению с	1	1
77	до того что	1	1
78	при этом здесь	2	1
79	но здесь это	1	1
80	это не значит	1	1
81	здесь в ряд	1	1
82	все это было	1	1
83	с другой стороны	6	1
84	в новое и	1	1
85	этой точки зрения	1	1
86	что то же	1	1
87	и понятия которые	1	1
88	только в пределах	2	1
89	ни в чем	1	1
90	человеческой жизни в	1	1
91	и как бы	1	1
92	то есть в	6	1
93	на земле то	1	1
94	в то время	2	1
95	том что они	1	1
96	и вместе с	1	1
97	в свою очередь	1	1
98	о том что	3	1
99	с самого начала	1	1
100	времени и пространстве	1	1
101	выходит за пределы	1	1
102	то же отношение	1	1
103	но все же	1	1
104	не выходит за	2	1
105	а вместе с	1	1
106	же самое мы	1	1
107	в другом случае	2	1
108	все эти особенности	1	1
109	к тому что	1	1
110	чем они глубже	1	1
111	во всех случаях	1	1
112	и все они	2	1
113	вовсе не является	2	1
114	человек вовсе не	1	1
115	нечего и говорить	1	1
116	остановиться на одной	1	1
117	это свидетельствует о	1	1
118	новое отношение к	1	1
119	той или иной	11	1
120	в отношении других	1	1
121	вовсе не имеем	1	1
