N	3gram	Propp_Isto_7	Tvorches
1	и т д	16	11
2	по отношению к	1	3
3	до сих пор	2	3
4	не может быть	3	3
5	в самом деле	1	2
6	в одной из	2	2
7	на этот вопрос	2	2
8	так же как	4	2
9	все же не	1	2
10	с другой стороны	8	2
11	так и в	2	2
12	и т п	1	2
13	о том что	5	2
14	в том что	4	2
15	в другом месте	1	1
16	хотя и не	1	1
17	в которой он	1	1
18	и потому что	1	1
19	о том как	1	1
20	т д и	1	1
21	же как и	1	1
22	в нем и	1	1
23	чтобы иметь представление	1	1
24	то это означало	1	1
25	можно было бы	1	1
26	точно так же	2	1
27	но уже в	1	1
28	только потому что	1	1
29	в этой связи	1	1
30	что они имеют	1	1
31	ином мире на	1	1
32	и что в	1	1
33	в первый раз	1	1
34	у него за	1	1
35	на глазах у	1	1
36	еще не все	3	1
37	это одна из	1	1
38	в связи с	1	1
39	при этом на	1	1
40	ответ на этот	1	1
41	что у него	4	1
42	в ином мире	5	1
43	в то время	2	1
44	мы не можем	2	1
45	другой стороны и	2	1
46	т д в	2	1
47	и всякий раз	1	1
48	мы знаем что	1	1
49	перед нами открывается	1	1
50	но это не	2	1
51	к самому себе	1	1
52	о том чтобы	1	1
53	на то чтобы	2	1
54	как и в	2	1
