N	3gram	Berdyaev_N_1	Dialekti
1	это значит что	1	21
2	не может быть	4	6
3	о том что	1	5
4	подобно тому как	3	4
5	то время как	1	4
6	в то время	1	4
7	сами по себе	1	3
8	с одной стороны	2	3
9	в том что	1	3
10	как и в	1	3
11	но это значит	1	2
12	он не может	2	2
13	в зависимости от	1	2
14	так же как	2	2
15	не могут быть	1	2
16	с другой стороны	2	2
17	во всяком случае	1	2
18	это и есть	1	2
19	такой же мере	1	1
20	бытия и небытия	1	1
21	мы говорим что	1	1
22	по существу своему	1	1
23	как я уже	1	1
24	же как и	1	1
25	до сих пор	1	1
26	и не может	1	1
27	в основе их	1	1
28	и во всех	1	1
29	для себя и	1	1
30	я думаю что	1	1
31	может быть только	1	1
32	только потому что	1	1
33	жизнь не может	1	1
34	не значит что	3	1
35	в такой же	1	1
36	не в том	1	1
37	не в силах	1	1
38	это не значит	2	1
39	оснований думать что	1	1
40	я не могу	1	1
41	это конечно не	1	1
42	когда мы говорим	2	1
43	истории и не	1	1
44	значит что в	2	1
45	не менее чем	1	1
46	и к ней	1	1
47	ни в чем	1	1
48	в нем нет	2	1
49	и пр в	1	1
50	не существует что	1	1
51	в том смысле	1	1
52	что все категории	1	1
53	от бога и	1	1
54	в природе но	1	1
